"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","121","312","132","4","12","16"
"2","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","122","132","223","13","16","23"
"3","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","211","121","321","2","4","6"
"4","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","133","233","333","25","26","27"
"5","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","311","321","132","3","6","16"
"6","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","121","112","133","4","10","25"
"7","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","331","212","332","9","11","18"
"8","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","111","321","232","1","6","17"
"9","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","131","322","323","7","15","24"
"10","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","311","122","323","3","13","24"
"11","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","321","322","223","6","15","23"
"12","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","112","332","133","10","18","25"
"13","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","222","223","233","14","23","26"
"14","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","111","322","233","1","15","26"
"15","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","231","312","223","8","12","23"
"16","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","212","132","332","11","16","18"
"17","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","211","221","231","2","5","8"
"18","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","111","311","213","1","3","20"
"19","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","221","113","133","5","19","25"
"20","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","311","232","123","3","17","22"
"21","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","131","322","113","7","15","19"
"22","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","231","123","133","8","22","25"
"23","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","331","313","123","9","21","22"
"24","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","312","322","213","12","15","20"
"25","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","331","312","323","9","12","24"
"26","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","121","122","313","4","13","21"
"27","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","311","131","112","3","7","10"
"28","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","231","312","122","8","12","13"
"29","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","211","222","113","2","14","19"
"30","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","111","311","313","1","3","21"
"31","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","222","123","233","14","22","26"
"32","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","321","332","213","6","18","20"
"33","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","122","322","113","13","15","19"
"34","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","211","231","322","2","8","15"
"35","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","331","332","333","9","18","27"
"36","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","231","322","113","8","15","19"
