"","workerid","item","slide_number","language","MUsharedother","target","obj2","obj3","itemCode","MUnumchoices","MUsharedlistenerpick","MUalign","utterance","response","gender","age"
"88",5,117530,18,"english",NA,331,313,231,"2sameNANA",2,NA,"same","square",0.55,"Male","27"
"89",5,7020,19,"english",NA,221,321,331,"3sameNANA",3,NA,"same","blue",0.75,"Male","27"
"90",5,150040,20,"english",NA,113,123,332,"1sameNANA",1,NA,"same","solid",0.8,"Male","27"
"91",6,209900,6,"eng",NA,112,122,133,"3sameNANA",3,NA,"same","cloud",0.65,"Female","32"
"92",6,276650,7,"eng",NA,113,333,222,"2sameNANA",2,NA,"same","green",0.25,"Female","32"
"93",6,188441,8,"eng",NA,132,331,323,"2sameNANA",2,NA,"same","polka-dotted",0.75,"Female","32"
"94",6,6350,9,"eng",1,221,211,331,"3diff21",3,2,"diff","blue",0.15,"Female","32"
"95",6,87210,10,"eng",NA,211,312,113,"3sameNANA",3,NA,"same","solid",0.5,"Female","32"
"96",6,280920,11,"eng",NA,213,313,333,"3sameNANA",3,NA,"same","green",0.7,"Female","32"
"97",6,18001,12,"eng",NA,111,131,312,"2diff2NA",2,2,"diff","cloud",0.35,"Female","32"
"98",6,94680,13,"eng",NA,113,212,232,"1sameNANA",1,NA,"same","green",0.7,"Female","32"
"99",6,273450,14,"eng",NA,232,322,333,"2diff1NA",2,1,"diff","red",0.7,"Female","32"
"100",6,5522,15,"eng",1,321,131,231,"3diff11",3,1,"diff","blue",0.3,"Female","32"
"101",6,208170,16,"eng",NA,133,311,312,"1sameNANA",1,NA,"same","polka-dotted",0.35,"Female","32"
"102",6,81150,17,"eng",2,232,332,312,"3diff12",3,1,"diff","red",0.7,"Female","32"
"103",6,1940,18,"eng",2,221,121,321,"3diff22",3,2,"diff","striped",0.3,"Female","32"
"104",6,153570,19,"eng",NA,123,132,313,"1sameNANA",1,NA,"same","striped",0.5,"Female","32"
"105",6,255681,20,"eng",NA,233,323,121,"2sameNANA",2,NA,"same","green",0.7,"Female","32"
"106",7,17450,6,"English",NA,221,121,312,"2diff2NA",2,2,"diff","blue",0.15,"Male","33"
"107",7,280110,7,"English",NA,312,313,333,"2sameNANA",2,NA,"same","solid",0.9,"Male","33"
"108",7,272460,8,"English",NA,333,232,221,"1sameNANA",1,NA,"same","square",0.95,"Male","33"
"109",7,34021,9,"English",1,112,212,222,"3diff21",3,2,"diff","red",0,"Male","33"
"110",7,77331,10,"English",NA,322,332,311,"3sameNANA",3,NA,"same","square",1,"Male","33"
"111",7,292451,11,"English",NA,233,133,333,"3sameNANA",3,NA,"same","green",0.9,"Male","33"
"112",7,103410,12,"English",NA,212,213,312,"3sameNANA",3,NA,"same","solid",0.8,"Male","33"
"113",7,103511,13,"English",NA,111,213,122,"2diff1NA",2,1,"diff","solid",0.85,"Male","33"
"114",7,143442,14,"English",2,322,222,123,"3diff12",3,1,"diff","striped",0.85,"Male","33"
"115",7,54110,15,"English",NA,331,132,222,"2sameNANA",2,NA,"same","polka-dotted",0.85,"Male","33"
"116",7,291642,16,"English",2,233,232,333,"3diff22",3,2,"diff","polka-dotted",0.8,"Male","33"
"117",7,125150,17,"English",NA,132,131,313,"1sameNANA",1,NA,"same","red",1,"Male","33"
"118",7,5522,18,"English",1,321,131,231,"3diff11",3,1,"diff","blue",0.85,"Male","33"
"119",7,206850,19,"English",NA,112,133,331,"1sameNANA",1,NA,"same","red",1,"Male","33"
"120",7,117530,20,"English",NA,331,313,231,"2sameNANA",2,NA,"same","square",0.8,"Male","33"
"121",8,8910,6,"english",NA,311,112,121,"2sameNANA",2,NA,"same","solid",0.8,"Male","29"
"122",8,64230,7,"english",2,222,221,232,"3diff22",3,2,"diff","circle",0.7,"Male","29"
"123",8,21930,8,"english",NA,212,112,312,"1sameNANA",1,NA,"same","circle",0.65,"Male","29"
"124",8,76081,9,"english",NA,332,222,311,"2sameNANA",2,NA,"same","red",0.35,"Male","29"
"125",8,63962,10,"english",NA,232,222,211,"3sameNANA",3,NA,"same","circle",0.7,"Male","29"
"126",8,190900,11,"english",NA,311,332,323,"3sameNANA",3,NA,"same","square",0.3,"Male","29"
"127",8,83162,12,"english",NA,113,111,131,"3sameNANA",3,NA,"same","cloud",0.7,"Male","29"
"128",8,114040,13,"english",1,211,111,313,"3diff21",3,2,"diff","solid",0.35,"Male","29"
"129",8,17450,14,"english",NA,221,121,312,"2diff2NA",2,2,"diff","blue",0.75,"Male","29"
"130",8,268730,15,"english",NA,222,112,333,"1sameNANA",1,NA,"same","circle",0.4,"Male","29"
"131",8,244212,16,"english",1,131,332,233,"3diff11",3,1,"diff","polka-dotted",0.7,"Male","29"
"132",8,134270,17,"english",NA,123,321,311,"2diff1NA",2,1,"diff","striped",0.3,"Male","29"
"133",8,158961,18,"english",2,223,221,212,"3diff12",3,1,"diff","circle",0.75,"Male","29"
"134",8,150810,19,"english",NA,231,213,123,"1sameNANA",1,NA,"same","polka-dotted",0.3,"Male","29"
"135",8,14371,20,"english",NA,212,311,231,"2sameNANA",2,NA,"same","solid",0.7,"Male","29"
"136",9,211330,6,"english",NA,222,312,133,"1sameNANA",1,NA,"same","circle",0.8,"Male","25"
"137",9,87371,7,"english",1,113,311,312,"3diff11",3,1,"diff","solid",0.25,"Male","25"
"138",9,284951,8,"english",NA,223,113,333,"3sameNANA",3,NA,"same","green",0.8,"Male","25"
"139",9,11201,9,"english",NA,111,112,331,"2diff2NA",2,2,"diff","cloud",0.3,"Male","25"
"140",9,4700,10,"english",NA,311,321,231,"2sameNANA",2,NA,"same","square",0.75,"Male","25"
"141",9,73251,11,"english",NA,212,332,231,"2diff1NA",2,1,"diff","red",0.2,"Male","25"
"142",9,125150,12,"english",NA,132,131,313,"1sameNANA",1,NA,"same","red",0.25,"Male","25"
"143",9,288341,13,"english",NA,133,333,231,"3sameNANA",3,NA,"same","polka-dotted",0.75,"Male","25"
"144",9,20371,14,"english",2,312,311,112,"3diff22",3,2,"diff","solid",0.3,"Male","25"
"145",9,156562,15,"english",NA,223,221,231,"3sameNANA",3,NA,"same","circle",0.85,"Male","25"
"146",9,124232,16,"english",2,322,312,313,"3diff12",3,1,"diff","square",0.85,"Male","25"
"147",9,273161,17,"english",NA,333,312,232,"2sameNANA",2,NA,"same","square",0.1,"Male","25"
"148",9,148781,18,"english",NA,123,113,221,"2sameNANA",2,NA,"same","green",0.4,"Male","25"
"149",9,149100,19,"english",NA,331,113,123,"1sameNANA",1,NA,"same","square",0.8,"Male","25"
"150",9,153880,20,"english",1,123,113,313,"3diff21",3,2,"diff","green",0.25,"Male","25"
"151",10,159911,6,"English",NA,221,223,312,"2diff2NA",2,2,"diff","striped",0.75,"Male","28"
"152",10,200150,7,"English",2,123,323,313,"3diff12",3,1,"diff","green",0.75,"Male","28"
"153",10,267420,8,"English",NA,331,333,122,"1sameNANA",1,NA,"same","blue",0.15,"Male","28"
"154",10,7151,9,"English",NA,131,111,331,"3sameNANA",3,NA,"same","blue",0.65,"Male","28"
"155",10,274412,10,"English",2,331,332,333,"3diff22",3,2,"diff","polka-dotted",0.7,"Male","28"
"156",10,188380,11,"English",NA,323,231,132,"1sameNANA",1,NA,"same","green",0.9,"Male","28"
"157",10,87172,12,"English",NA,113,111,312,"3sameNANA",3,NA,"same","solid",0.65,"Male","28"
"158",10,31580,13,"English",NA,222,211,331,"1sameNANA",1,NA,"same","red",0.1,"Male","28"
"159",10,157210,14,"English",NA,221,223,331,"2sameNANA",2,NA,"same","striped",0.35,"Male","28"
"160",10,56861,15,"English",NA,232,221,311,"2sameNANA",2,NA,"same","circle",0.95,"Male","28"
"161",10,122310,16,"English",NA,321,222,313,"2sameNANA",2,NA,"same","striped",0.7,"Male","28"
"162",10,185270,17,"English",1,323,121,222,"3diff11",3,1,"diff","striped",0.4,"Male","28"
"163",10,87210,18,"English",NA,211,312,113,"3sameNANA",3,NA,"same","solid",0.6,"Male","28"
"164",10,21560,19,"English",NA,312,321,212,"2diff1NA",2,1,"diff","square",0.35,"Male","28"
"165",10,25902,20,"English",1,121,122,112,"3diff21",3,2,"diff","cloud",0.65,"Male","28"
"166",11,292052,6,"english",1,233,333,313,"3diff21",3,2,"diff","green",0.3,"Female","46"
"167",11,192111,7,"english",NA,322,323,332,"2diff2NA",2,2,"diff","striped",0.6,"Female","46"
"168",11,14371,8,"english",NA,212,311,231,"2sameNANA",2,NA,"same","solid",0.6,"Female","46"
"169",11,273801,9,"english",1,311,332,333,"3diff11",3,1,"diff","square",0.4,"Female","46"
"170",11,99760,10,"english",NA,213,111,331,"1sameNANA",1,NA,"same","circle",0.95,"Female","46"
"171",11,81771,11,"english",2,113,111,311,"3diff12",3,1,"diff","solid",0.15,"Female","46"
"172",11,273161,12,"english",NA,333,312,232,"2sameNANA",2,NA,"same","square",0.7,"Female","46"
"173",11,83970,13,"english",NA,113,311,231,"2diff1NA",2,1,"diff","solid",0.15,"Female","46"
"174",11,209600,14,"english",NA,131,133,122,"3sameNANA",3,NA,"same","cloud",0.8,"Female","46"
"175",11,84300,15,"english",NA,131,113,231,"2sameNANA",2,NA,"same","cloud",0.8,"Female","46"
"176",11,188380,16,"english",NA,323,231,132,"1sameNANA",1,NA,"same","green",0.75,"Female","46"
"177",11,267420,17,"english",NA,331,333,122,"1sameNANA",1,NA,"same","blue",0.6,"Female","46"
"178",11,155412,18,"english",2,221,223,321,"3diff22",3,2,"diff","striped",0.7,"Female","46"
"179",11,92731,19,"english",NA,132,131,113,"3sameNANA",3,NA,"same","cloud",0.65,"Female","46"
"180",11,187300,20,"english",NA,312,322,323,"3sameNANA",3,NA,"same","square",0.75,"Female","46"
"181",12,292220,6,"English",NA,223,233,333,"3sameNANA",3,NA,"same","green",0.8,"Male","39"
"182",12,269020,7,"English",NA,122,222,333,"2sameNANA",2,NA,"same","red",0.8,"Male","39"
"183",12,11980,8,"English",NA,112,231,331,"1sameNANA",1,NA,"same","red",0.3,"Male","39"
"184",12,143442,9,"English",2,322,222,123,"3diff12",3,1,"diff","striped",1,"Male","39"
"185",12,103412,10,"English",2,212,213,312,"3diff22",3,2,"diff","solid",0.9,"Male","39"
"186",12,219380,11,"English",NA,133,113,232,"2diff2NA",2,2,"diff","green",0.3,"Male","39"
"187",12,111360,12,"English",NA,213,331,332,"1sameNANA",1,NA,"same","circle",0,"Male","39"
"188",12,157210,13,"English",NA,221,223,331,"2sameNANA",2,NA,"same","striped",0.15,"Male","39"
"189",12,209900,14,"English",NA,112,122,133,"3sameNANA",3,NA,"same","cloud",0.95,"Male","39"
"190",12,49871,15,"English",NA,132,231,112,"2sameNANA",2,NA,"same","polka-dotted",0.85,"Male","39"
"191",12,287221,16,"English",1,213,323,333,"3diff11",3,1,"diff","green",0.75,"Male","39"
"192",12,288341,17,"English",NA,133,333,231,"3sameNANA",3,NA,"same","polka-dotted",0.75,"Male","39"
"193",12,58480,18,"English",NA,232,231,121,"1sameNANA",1,NA,"same","red",1,"Male","39"
"194",12,228580,19,"English",NA,133,323,331,"2diff1NA",2,1,"diff","green",0.75,"Male","39"
"195",12,266360,20,"English",1,333,331,312,"3diff21",3,2,"diff","square",0.7,"Male","39"
"196",13,213480,6,"english",NA,133,132,321,"1sameNANA",1,NA,"same","green",0.75,"Male","25"
"197",13,276650,7,"english",NA,113,333,222,"2sameNANA",2,NA,"same","green",0.75,"Male","25"
"198",13,138130,8,"english",NA,212,131,123,"1sameNANA",1,NA,"same","circle",0.65,"Male","25"
"199",13,275600,9,"english",NA,121,113,333,"2sameNANA",2,NA,"same","cloud",0.7,"Male","25"
"200",13,212840,10,"english",NA,322,222,133,"2diff2NA",2,2,"diff","striped",0.7,"Male","25"
"201",13,63520,11,"english",NA,112,122,232,"3sameNANA",3,NA,"same","red",0.7,"Male","25"
"202",13,132011,12,"english",1,112,213,313,"3diff11",3,1,"diff","solid",0.6,"Male","25"
"203",13,103511,13,"english",NA,111,213,122,"2diff1NA",2,1,"diff","solid",0.75,"Male","25"
"204",13,7120,14,"english",NA,111,131,331,"3sameNANA",3,NA,"same","blue",0.7,"Male","25"
"205",13,273161,15,"english",NA,333,312,232,"2sameNANA",2,NA,"same","square",0.7,"Male","25"
"206",13,23372,16,"english",NA,122,121,321,"3sameNANA",3,NA,"same","striped",0.7,"Male","25"
"207",13,79780,17,"english",2,332,132,122,"3diff12",3,1,"diff","red",0.3,"Male","25"
"208",13,7281,18,"english",1,331,131,211,"3diff21",3,2,"diff","blue",0.6,"Male","25"
"209",13,134311,19,"english",2,121,123,321,"3diff22",3,2,"diff","striped",0.3,"Male","25"
"210",13,147480,20,"english",NA,123,331,332,"1sameNANA",1,NA,"same","green",0.4,"Male","25"
"211",14,287680,6,"english",NA,333,133,111,"2diff2NA",2,2,"diff","green",0.75,"Male","25"
"212",14,15842,7,"english",1,112,212,311,"3diff21",3,2,"diff","solid",0.85,"Male","25"
"213",14,227620,8,"english",NA,123,133,223,"3sameNANA",3,NA,"same","green",0.9,"Male","25"
"214",14,66382,9,"english",NA,232,122,322,"3sameNANA",3,NA,"same","red",0.85,"Male","25"
"215",14,282350,10,"english",NA,123,333,222,"2sameNANA",2,NA,"same","green",0.75,"Male","25"
"216",14,142442,11,"english",1,322,121,123,"3diff11",3,1,"diff","striped",0.85,"Male","25"
"217",14,95501,12,"english",NA,121,113,332,"2diff1NA",2,1,"diff","cloud",0.75,"Male","25"
"218",14,117200,13,"english",NA,221,331,313,"1sameNANA",1,NA,"same","circle",0.9,"Male","25"
"219",14,102610,14,"english",NA,311,312,213,"3sameNANA",3,NA,"same","solid",0.85,"Male","25"
"220",14,64230,15,"english",2,222,221,232,"3diff22",3,2,"diff","circle",0.85,"Male","25"
"221",14,125150,16,"english",NA,132,131,313,"1sameNANA",1,NA,"same","red",0.8,"Male","25"
"222",14,64980,17,"english",2,232,222,312,"3diff12",3,1,"diff","red",0.85,"Male","25"
"223",14,269020,18,"english",NA,122,222,333,"2sameNANA",2,NA,"same","red",0.8,"Male","25"
"224",14,55320,19,"english",NA,231,132,322,"1sameNANA",1,NA,"same","blue",0.9,"Male","25"
"225",14,175171,20,"english",NA,223,123,211,"2sameNANA",2,NA,"same","striped",0.7,"Male","25"
"241",16,258212,6,"english",2,131,133,233,"3diff12",3,1,"diff","polka-dotted",0.65,"Male","33"
"242",16,188441,7,"english",NA,132,331,323,"2sameNANA",2,NA,"same","polka-dotted",0.65,"Male","33"
"243",16,74461,8,"english",NA,332,312,112,"2sameNANA",2,NA,"same","square",0.6,"Male","33"
"244",16,99760,9,"english",NA,213,111,331,"1sameNANA",1,NA,"same","circle",0.6,"Male","33"
"245",16,95380,10,"english",NA,113,211,332,"1sameNANA",1,NA,"same","green",0.35,"Male","33"
"246",16,269020,11,"english",NA,122,222,333,"2sameNANA",2,NA,"same","red",0.6,"Male","33"
"247",16,165311,12,"english",NA,331,132,223,"2diff1NA",2,1,"diff","polka-dotted",0.45,"Male","33"
"248",16,5030,13,"english",NA,131,111,231,"2diff2NA",2,2,"diff","cloud",0.6,"Male","33"
"249",16,7120,14,"english",NA,111,131,331,"3sameNANA",3,NA,"same","blue",0.8,"Male","33"
"250",16,270261,15,"english",1,333,312,322,"3diff11",3,1,"diff","square",0.6,"Male","33"
"251",16,114040,16,"english",1,211,111,313,"3diff21",3,2,"diff","solid",0.65,"Male","33"
"252",16,257582,17,"english",NA,233,223,323,"3sameNANA",3,NA,"same","green",0.6,"Male","33"
"253",16,280920,18,"english",NA,213,313,333,"3sameNANA",3,NA,"same","green",0.4,"Male","33"
"254",16,11980,19,"english",NA,112,231,331,"1sameNANA",1,NA,"same","red",0.65,"Male","33"
"255",16,180401,20,"english",2,321,323,331,"3diff22",3,2,"diff","square",0.6,"Male","33"
"256",17,272610,6,"English",NA,131,232,333,"3sameNANA",3,NA,"same","polka-dotted",0.65,"Female","52"
"257",17,7322,7,"English",1,311,331,131,"3diff21",3,2,"diff","blue",0.2,"Female","52"
"258",17,284950,8,"English",1,223,113,333,"3diff11",3,1,"diff","green",0.1,"Female","52"
"259",17,224760,9,"English",NA,133,123,222,"2diff2NA",2,2,"diff","cloud",0.3,"Female","52"
"260",17,265731,10,"English",NA,312,311,333,"3sameNANA",3,NA,"same","square",0.7,"Female","52"
"261",17,66351,11,"English",NA,322,122,232,"3sameNANA",3,NA,"same","red",0.7,"Female","52"
"262",17,255681,12,"English",NA,233,323,121,"2sameNANA",2,NA,"same","green",0.75,"Female","52"
"263",17,9961,13,"English",2,112,111,131,"3diff12",3,1,"diff","cloud",0.3,"Female","52"
"264",17,275600,14,"English",NA,121,113,333,"2sameNANA",2,NA,"same","cloud",0.7,"Female","52"
"265",17,259581,15,"English",2,233,213,133,"3diff22",3,2,"diff","green",0.15,"Female","52"
"266",17,117200,16,"English",NA,221,331,313,"1sameNANA",1,NA,"same","circle",1,"Female","52"
"267",17,207170,17,"English",NA,133,311,212,"1sameNANA",1,NA,"same","polka-dotted",1,"Female","52"
"268",17,274230,18,"English",NA,332,333,131,"2sameNANA",2,NA,"same","square",0.25,"Female","52"
"269",17,74860,19,"English",NA,332,311,122,"2diff1NA",2,1,"diff","square",0.25,"Female","52"
"270",17,122520,20,"English",NA,231,222,313,"1sameNANA",1,NA,"same","blue",1,"Female","52"
"271",18,14451,6,"english",NA,231,121,212,"2sameNANA",2,NA,"same","blue",0.5,"Male","27"
"272",18,218570,7,"english",NA,133,331,113,"2diff1NA",2,1,"diff","polka-dotted",0.5,"Male","27"
"273",18,33760,8,"english",NA,222,212,131,"2diff2NA",2,2,"diff","circle",0.5,"Male","27"
"274",18,141270,9,"english",1,123,221,222,"3diff11",3,1,"diff","striped",0.5,"Male","27"
"275",18,207310,10,"english",NA,221,212,133,"1sameNANA",1,NA,"same","striped",0.5,"Male","27"
"276",18,142430,11,"english",NA,322,121,123,"1sameNANA",1,NA,"same","square",0.5,"Male","27"
"277",18,75730,12,"english",NA,122,312,332,"1sameNANA",1,NA,"same","cloud",0.5,"Male","27"
"278",18,134311,13,"english",2,121,123,321,"3diff22",3,2,"diff","striped",0.5,"Male","27"
"279",18,176440,14,"english",2,123,223,322,"3diff12",3,1,"diff","striped",0.5,"Male","27"
"280",18,4700,15,"english",NA,311,321,231,"2sameNANA",2,NA,"same","square",0.5,"Male","27"
