workerid,language,enjoyment,gender,age,comments,assess,education
0,english,2,Male,48,good,Yes,3
1,english,1,Female,36,,No,3
2,,-1,Female,37,,Yes,-1
3,English,1,Male,31,None,Yes,1
4,english,1,Male,30,very good,Yes,3
5,english,1,Male,26,,Yes,2
6,english,1,Female,31,,Yes,2
7,english,2,Male,28,"God bless and have a nice day! Jesus loves you. You gonna have an awesome career full of blessings! 
",Yes,2
8,English,1,Male,25,,Yes,1
