"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.0886169616869785,0,0.0872975604946892,0,0,0.0402046368680265,0.0899821055789737,0,113.886514165964,0.0411704154608941,0,-0.27031007207211,0,0.105211239260688,0.105211239260688
"2",0.370145495695189,0.276988664621388,0.372537871733516,0.454809094155731,0.0129387062154663,0.252737884872717,0.0810270998055568,0.222771893837747,0.197566700088161,0.197566700088161,0.017960589529482,0.238893900866251,0.067164587688789,0.0082462739769892,0.0189222990759371
"3",0.0457005415253129,-6.56779536389081e-101,-4.41010045527605e-101,0.00853090275864066,-2.0479441264601e-101,3.39986055920946e-101,-6.56779536389081e-101,0,-2.0479441264601e-101,0,-6.56779536389081e-101,0,-1.7185025692666e-101,-6.56779536389081e-101,0
"4",0,0.0888276632575515,0,0.0605951893952207,0,0,0.0980946371350594,0.00697226782174545,0.198911346041116,0.00202837482910595,0.00202837482910595,0.00697226782174545,0.00512282520456639,0.0691852191089162,0.0595881367158577
"5",0,6.09625272485204e-09,1.19835679720515e-05,0.000337541634001126,0.0647586460781905,0.277000075472044,0,0.113520844094571,3.11664187642891e-07,1.8676128702988e-06,0,0.0649531044550109,0.000337541634001126,0.0300326801720548,0.00311782140749531
"6",0,0.64790228444643,0,0.219826428382221,0.492985766050122,0.973814472471653,0,0.111025635938841,0,0.0975110289589489,0.31502213102487,0.156922309628963,0.00107225599041921,0.228174805902215,0
"7",4.6454519342376e-08,0.00351272863538104,0,6.74723570338598e-05,0.000932806827823887,1.13966781815444e-06,0,0,4.6454519342376e-08,4.6454519342376e-08,2.35071294144018e-05,3.15896847918884e-06,0,2.35071294144018e-05,0.00748699160199423
"8",0.453951998083033,0.255809254619861,0.392613249383618,0.254708971712309,0.455719805356376,0,0.00487967186852417,0.00866710455370023,0.0709230326884838,0.00866710455370023,0.640468335759856,0.0709230326884838,0.284423507284185,0.00487967186852417,0.43055979072621
"9",0.187902415600537,0.00107680823578121,0.000275575188617615,0.00030313666543217,0.0309653457824519,0.148098301885152,0.00236825290194202,7.39224786711068e-06,0.00858464091867606,0.00304036385566313,0.0308564456865008,0.0606550546111004,0,0.0606550546111004,7.39224786711068e-06
"10",0.128116820360185,0.458725047659732,0.17508906155683,0.0350514669631237,0,0.101195175670963,0.00589187565902972,0,0.143836687714754,0.16367779054424,0.290355292017237,0.401837523036614,0,0.27780147963326,0.0879254426268612
"11",0,0.013714111111172,0.0155681368578603,0.00391699945043854,0.00768401996397289,0.0135796722404191,0.115386776578713,0.0302827368175375,0.0155681368578604,0.0192894381041194,0,0.0135035108945517,0.0914405346846506,0.0553772464063183,0.036342439244183
"12",0,0.480261642492738,0,0.516889713259004,0,0.14593863796144,0.00777635610749869,0.0104999721374329,0.0058753157770632,0.00918437484090203,0.011127597692885,0.0296016238466614,0.0143721631140046,0.00589612282882035,0.0500894645537578
"13",0,0,7.09983182548513e-103,0.0566329870534386,0.0557191660350775,0.0566329870534386,0,0.0566329870534386,0.0566329870534386,0.0548210082905034,0.0167797138804865,0.0566329870534386,0.0167821266185983,75.790562485807,0
"14",0.240178447413454,0.162801791837537,0.252862669605515,0.229385831054706,0.285620162584239,0.344039581612686,0.194537336168996,0,0.0926881861707771,0.320933493465282,0.10990494908059,0,0.0105836399750588,0.285620162584239,0.0277627609606464
"15",1.20149380600638e-101,0,-4.08544823364366e-101,-5.90383235122118e-101,-8.22559094033409e-101,-4.08544823364366e-101,2.10899172873269e-103,0,0,-6.49898931163307e-101,-8.22559094033409e-101,-9.3227873909882e-101,-0.346573590279973,-4.0575509603238e-101,0
"16",0.00138674500159907,0,0.0347209254945628,0.273922415734108,0.0302793464648808,0.269143313500409,0.0702177531209677,0.0276143952750173,0,0.0803551462912987,0.0716791754662971,0.866720056920028,0.00138674500159907,0.153976740854746,0.0643421476826126
