date,workerid,amount
Wed Apr 10 09:10:45 PDT 2019,A2C4R0TBPZGWTD,0.45
Wed Apr 10 09:23:52 PDT 2019,A2AGQGMZVSZVUJ,0.45
Wed Apr 10 09:29:25 PDT 2019,A3CXK1KSRGU27V,0.45
Wed Apr 10 09:30:35 PDT 2019,A2LF84L3K71GR2,0.45
Wed Apr 10 09:36:06 PDT 2019,AK27D3SD6EZX6,0.45
Wed Apr 10 09:36:15 PDT 2019,AD5PG2OAEDLK5,0.45
Wed Apr 10 09:40:45 PDT 2019,A1ZEPXYST777IH,0.45
Wed Apr 10 09:41:48 PDT 2019,ANIITSP13CDYN,0.45
Wed Apr 10 10:36:18 PDT 2019,A1IBQ7MUUTWLS9,0.45
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
