workerid,response6,response4,response5,response2,response3,response1,property1,property2,obj3,obj2,slide_number,condition,trial_type,target,utterance,item,pref1,pref2,pref3,pref4,pref5,pref6
0,0.8,0.75,0.15,0.9,0.2,0.75,shape,texture,232,232,3,3/3,multi_slider,232,circle,265,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.25,0.25,0.2,0.85,0.15,0.3,color,shape,133,132,4,1/3,multi_slider,131,polka-dotted,200,clouds,circles,squares,blue things,red things,green things
0,0.2,0.75,0.2,0.7,0.2,0.85,shape,texture,113,213,5,2/3,multi_slider,113,cloud,16,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.15,0.85,0.2,0.65,0.8,0.65,texture,shape,132,112,6,2/3,multi_slider,112,solid,15,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.8,0.7,0.15,0.9,0.2,0.65,texture,shape,223,123,7,1/2,multi_slider,133,polka-dotted,90,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.75,0.75,0.75,0.15,0.8,0.1,shape,color,113,113,8,1/3,multi_slider,213,green,194,blue things,red things,green things,clouds,circles,squares
0,0.1,0.85,0.1,0.1,0.9,0.1,shape,color,311,311,9,3/3,multi_slider,311,blue,300,clouds,circles,squares,blue things,red things,green things
0,0.15,0.8,0.15,0.8,0.8,0.85,shape,texture,332,232,10,1/3,multi_slider,132,red,157,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.15,0.15,0.8,0.2,0.85,0.85,shape,texture,233,233,11,3/3,multi_slider,233,green,275,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0.1,0.85,0.1,0.9,0.15,0.75,texture,color,221,221,12,3/3,multi_slider,221,blue,274,solid things,striped things,polka-dotted things,blue things,red things,green things
0,0.9,0.4,0.3,0.85,0.15,0.15,shape,color,132,232,13,1/3,multi_slider,332,polka-dotted,158,blue things,red things,green things,clouds,circles,squares
0,0.15,0.15,0.8,0.1,0.8,0.75,shape,texture,232,232,14,3/3,multi_slider,232,red,299,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0.9,0.15,0.25,0.9,0.1,0.1,shape,color,312,112,15,2/3,multi_slider,312,red,14,blue things,red things,green things,clouds,circles,squares
0,0.2,0.2,0.85,0.15,0.15,0.7,shape,color,213,111,16,2/2,multi_slider,211,circle,133,blue things,red things,green things,clouds,circles,squares
0,0.25,0.25,0.2,0.2,0.2,0.85,texture,color,121,131,17,1/3,multi_slider,111,solid,180,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0.85,0.05,0,0.95,0.05,0.75,texture,color,312,332,3,1/1,multi_slider,323,square,226,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.7,0.1,0.05,0.05,0.05,0.9,texture,color,221,213,4,2/2,multi_slider,213,solid,131,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.05,0.05,0.7,0.8,0.1,0.05,texture,color,133,131,5,1/1,multi_slider,122,striped,246,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0.1,0.8,0,0.9,0.05,0.05,texture,color,322,331,6,1/2,multi_slider,312,red,100,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0.1,0.1,0.9,0.1,0.05,0.85,texture,color,131,111,7,1/3,multi_slider,121,cloud,184,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0.05,0.95,0,0.05,0.05,0.95,shape,texture,323,113,8,2/2,multi_slider,113,solid,135,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0.75,0.05,0.1,0.85,0.15,0.1,texture,shape,312,312,9,1/3,multi_slider,322,square,162,solid things,striped things,polka-dotted things,clouds,circles,squares
1,0.85,0,0.05,0,0.85,0.05,shape,texture,331,331,10,3/3,multi_slider,331,blue,272,solid things,striped things,polka-dotted things,clouds,circles,squares
1,0.85,0.05,0.05,0,0.8,0.05,shape,texture,232,232,11,1/3,multi_slider,332,polka-dotted,167,solid things,striped things,polka-dotted things,clouds,circles,squares
1,0.7,0.1,0.15,0.05,0.05,0.8,shape,texture,233,133,12,2/3,multi_slider,133,polka-dotted,18,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0.05,0.8,0.1,0.15,0.05,0.9,shape,color,331,131,13,2/3,multi_slider,131,blue,37,clouds,circles,squares,blue things,red things,green things
1,0.05,0.8,0.05,0.05,0.05,0.9,shape,color,211,113,14,2/2,multi_slider,111,solid,128,clouds,circles,squares,blue things,red things,green things
1,0.05,0.8,0.1,0.05,0.1,0.9,shape,texture,113,113,15,3/3,multi_slider,113,cloud,253,solid things,striped things,polka-dotted things,clouds,circles,squares
1,0.75,0.05,0.05,0.05,0,0.75,shape,color,122,123,16,1/1,multi_slider,321,blue,217,blue things,red things,green things,clouds,circles,squares
1,0.05,0.05,0.75,0.1,0.7,0.05,shape,color,121,223,17,2/2,multi_slider,223,striped,143,blue things,red things,green things,clouds,circles,squares
2,0.05,0.15,0,0.2,0,0.55,shape,texture,113,113,3,3/3,multi_slider,113,cloud,253,clouds,circles,squares,solid things,striped things,polka-dotted things
2,0.5,0.75,0.5,0.5,0.5,0.5,shape,color,111,111,4,3/3,multi_slider,111,cloud,267,blue things,red things,green things,clouds,circles,squares
2,0,0.55,0,0.6,0,0.6,shape,color,131,131,5,3/3,multi_slider,131,cloud,252,clouds,circles,squares,blue things,red things,green things
2,0.5,1,0.2,0.1,0.75,0.45,color,texture,112,132,6,1/2,multi_slider,131,cloud,73,solid things,striped things,polka-dotted things,blue things,red things,green things
2,0.5,0.7,0.3,0.35,0.65,0.5,texture,color,222,223,7,1/2,multi_slider,213,solid,70,blue things,red things,green things,solid things,striped things,polka-dotted things
2,0.9,0.15,0.5,0.1,1,0.5,color,shape,112,312,8,1/2,multi_slider,313,solid,66,blue things,red things,green things,clouds,circles,squares
2,0.5,0.5,0.5,0.5,0.5,0.5,shape,texture,312,322,9,1/2,multi_slider,222,circle,94,solid things,striped things,polka-dotted things,clouds,circles,squares
2,0.5,0.5,0.5,0.2,0.5,0.85,shape,color,211,113,10,2/2,multi_slider,111,blue,128,clouds,circles,squares,blue things,red things,green things
