date,workerid,amount
Tue Dec 04 11:00:15 PST 2018,A2WYCY1FMQOD5F,0.5
Tue Dec 04 11:03:30 PST 2018,A2BJULD0NVFD30,0.5
Tue Dec 04 11:04:51 PST 2018,A2EJ7U3TZAKROG,0.5
Tue Dec 04 11:09:47 PST 2018,A120PN22KW0VPY,0.5
Tue Dec 04 11:10:10 PST 2018,A1NSHNH3MNFRGW,0.5
Tue Dec 04 11:11:53 PST 2018,A30RAYNDOWQ61S,0.5
Tue Dec 04 11:14:46 PST 2018,A1TYMXIYUUUL6F,0.5
Tue Dec 04 11:22:59 PST 2018,AKNYT1NTK2UFK,0.5
Tue Dec 04 12:43:01 PST 2018,A3JZLYQ606HJJR,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
