"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.0886173523436488,0,0.0873016132933263,0,0,0.0402041655630913,0.0899630528846073,0,113.886801324808,0.0411703772767022,0,-0.27031007207211,0,0.105211512078158,0.105211512078158
"2",0.370168023975562,0.277024207844224,0.372537072708458,0.454808689835843,0.0129280829521526,0.252739464353459,0.0810307814698067,0.222805065536125,0.197573843639571,0.197573843639571,0.0179732519319369,0.238900607138567,0.0671375274849327,0.00824528124695541,0.0189208389064749
"3",0.0457005415253129,-4.0546510810816e-101,-4.0546510810816e-101,0.00853090275864066,-4.0546510810816e-101,0,-4.0546510810816e-101,0,-4.0546510810816e-101,0,-4.0546510810816e-101,0,0,-4.0546510810816e-101,0
"4",0,0.0827836864562161,0,0.0627658573422473,0,0,0.108468465120863,0.00557365191877592,0.187454136183374,0.00257569560269993,0.00257569560269993,0.00557365191877592,0.00499565926136513,0.0985944329618563,0.0603649158253505
"5",0,0,0,0,0.0997336420670955,0.220464311071907,0,0.095173200257432,0,0,0,0.0250009314180631,0,0.0103141253312601,0.0111332241115298
"6",0,0.629520437894207,0,0.227379243510902,0.462490588913174,0.914211545207483,0,0.149136028776143,0,0.080202861365036,0.303470975560276,0.179967894498228,0.00216255661692438,0.216878594552828,0
"7",9.4621371848902e-10,0.000775775441560388,0,0.0002972032223357,0.00177271835131913,5.59576121920697e-08,0,0,9.4621371848902e-10,9.4621371848902e-10,8.53567335553306e-07,3.04901152103909e-08,0,8.53567335553306e-07,0.00631978085517668
"8",0.367508987264377,0.450491690343597,0.427862197541334,0.290342806525913,0.351616961233981,0,0.00522415811478566,0.0120375993683447,0.0666297172248909,0.0120375993683447,0.617924169309995,0.0666297172248909,0.263643563947195,0.00522415811478566,0.425237483169655
"9",0.298172660939378,2.22044604925031e-16,0.00289811250609834,4.44089209850063e-16,0.0293118787077618,0.0872166007605686,0.00477454969678952,0,0.00297694475930877,0.00196080257568973,0.0153854094283502,0.0383522902423186,0,0.0383522902423186,0
"10",0.128131106571872,0.457957916096161,0.175103306349342,0.0356836441494458,0,0.109413172616483,0.00567062698697487,0,0.143848504754456,0.163672857096624,0.308897926896384,0.40182480057345,0,0.27777023693748,0.0885456210432047
"11",0,0.00634614640516538,0.010147381868617,0.00146875437522739,0.00600690278617259,0.00852521664517042,0.118278315018334,0.0558289823828371,0.0101473818686171,0.0142216200811142,0,0.0300484457041825,0.0677985270857033,0.0395023956426382,0.0155140906353678
"12",0,0.480237664010196,0,0.525337459317908,0,0.145938328533988,0.0106325227595862,0.0120142579528173,0.00587840001842018,0.0134300979571762,0.0201272614902014,0.0296014708624002,0.0351509748619158,0.00575736788083936,0.0503819722800798
"13",0,0,0,0.0566345244275237,0.0557178564424416,0.0566345244275237,0,0.0566345244275237,0.0566345244275237,0.0548224292181499,0.016779867557745,0.0566345244275237,0.0167823801897795,75.7893791805028,0
"14",0.240122638224426,0.162781975296777,0.252776987267291,0.229385685841034,0.285621072601028,0.356298427764011,0.194538687251252,0,0.093333347183634,0.329420522672425,0.109986028113128,0,0.0105838632276754,0.285621072601028,0.0277486435924379
"15",1.20149380600638e-101,0,-4.0546510810816e-101,-6.19406327556021e-101,-8.1093021621632e-101,-4.0546510810816e-101,0,0,0,-6.99251279022462e-101,-8.1093021621632e-101,-1.28418704100159e-100,-0.346573590279973,-4.0546510810816e-101,0
"16",0.00288542412371807,0,0.0492410942661967,0.300506416141137,0.0330592646654181,0.240609846780718,0.0727645091642185,0.0209319638808464,0,0.0825796995151141,0.0737907225742718,0.871902523981859,0.00288542412371807,0.152382742861827,0.0707489110136973
