"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1.12797649947013,0,1.38629436111989,0,0,0.0847422220961879,2.19722457733622,0,3.74520818350878,1.09861228866811,0,-0.27031007207211,0,0.441683331662095,0.441683331662095
"2",1.38629436111989,0.461975948827815,0.699332784522567,0.997519567514652,0.266041026879218,0.175129109283748,0.0483276690074817,0.110516861317636,0.84609021873103,0.84609021873103,0.532526549708481,0.176573297628738,0.135704339282954,0.0213250187671358,0.0365788614249059
"3",0.0457813990655284,0.00016798625382839,0.000189168181547964,0.00853090275864066,8.55292202733589e-05,0.000138618737426739,0.00016798625382839,0,8.55292202733589e-05,0,0.00016798625382839,0,8.08575402154418e-05,0.00016798625382839,0
"4",0,0.793976191318872,0,0.693232709780219,0,0,0.993619893892338,0.00016798625382839,1.21310301208398,4.11672641455006e-05,4.11672641455006e-05,0.00016798625382839,0.000117608256905813,1.79175946922805,0.693228038100161
"5",0,0,0,0,0.0647574234843688,0.277015869572515,0,0.113506708924691,0,0,0,0.0649551314127415,0,0.0300391488513799,0.00311818074143208
"6",0,0.693147180559945,0,0.19188698514851,0.493529680342367,1.02745095696598,0,0.103107098092112,0,0,0,0.156534942196376,0,0.275425547029646,0
"7",0,0.00351276098296104,0,6.61217155383314e-05,0.000930852884620914,0,0,0,0,0,0,0,0,0,0.00749391412534381
"8",0.486382084044075,0.205551925056984,0.532526549708481,0.388511083210707,0.499827091217367,0,0,0,0,0,0.680766335972878,0,0.285054746484012,0,0.434901910498988
"9",0.185297156521391,2.22044604925031e-16,0.000317773194355792,4.44089209850063e-16,0.0310414249263388,0.148133396535661,0.00231968763266937,0,0.00861506902303771,0.00320476009291427,0.0308550622216614,0.0606531571920397,0,0.0606531571920397,0
"10",0.279803832445233,0.491374550665518,0.176574607616589,0.0114846351706093,0,1.25579841951899,0.0215148732481132,0,0.11707048022606,0.304137509006367,1.79175946922805,0.769052591389549,0,0.789166343630723,0.704578761702505
"11",0,0.0174975165554425,0.0175841681797967,0.00679010359871949,0.00812791966807774,0.0154792669915299,0.320342794896442,0.511226266163235,0.0175841681797968,0.317851420520009,0,0.434321798009061,0.102080829902173,0.0627449351411525,0.0501575457954416
"12",0,0.528682011125547,0,0.693147180559945,0,0.0566330122651324,0.113266024530265,0.0566330122651324,0.0603371133730784,0.0666174695630916,0.0922231823435277,0.115524530093324,0.0432641831322822,0.0588915178281919,0.0588915178281919
"13",0,0,6.72151625617011e-05,0.230070344592513,1.79175946922805,0.230070344592513,0,0.230070344592513,0.230070344592513,1.38629436111989,0.01720346484147,0.230070344592513,0.693147180559945,2.70122851327326,0
"14",0.244507937090835,0.153767359138514,0.693147180559945,0.239124355170213,0.378325786131477,0.903716795942878,0.192289422532574,0,0.110234138435153,0.268237079855021,0.00853090275864066,0,0.0414132254392237,0.378325786131477,0.010934614329229
"15",0.000117608256905813,0,0.00016798625382839,0.693147180559945,0.000411539879390585,0.00016798625382839,4.11672641455006e-05,0.000117608256905813,0,0.693232709780219,0.000411539879390585,2.19722457733622,-0.346573590279973,0.000189168181547964,0
"16",0.494631937214073,0,0.0137565645276186,0.496270623492582,0.0200290285262926,1.38629436111989,1.6043116425429,0.0338248237601216,0,0.535654650081895,1.26816125249073,0.299947978301235,0.494631937214073,1.57720031405165,0.693147180559945
