"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,27.4594491243272,362.118775267127,304.312814326031,95071.6642074493,32352.6499922355,32352.6478303424,353.908621926918,278.087767340517,276.313812453756
"2",1,12.8727769404668,0,0,0,0,0,0,0,0
"3",2,7.11754193559217,0,0,0,0,0,0,0,0
"4",3,21.9098265690739,0,0,0,0,0,0,0,0
"5",4,1.73602257488915,0,0,0,0,0,0,0,0
"6",5,7.00423420018224,0,0,0,0,0,0,0,0
"7",6,0.160541328616879,0,0,0,0,0,0,0,0
"8",7,7.10170850912671,0,0,0,0,0,0,0,0
"9",8,2.76617875641459,0,0,0,0,0,0,0,0
"10",9,21.059561609369,0,0,0,0,0,0,0,0
"11",10,11.8061393929518,0,0,0,0,0,0,0,0
"12",11,7.53393801725973,0,0,0,0,0,0,0,0
"13",13,30.9494833531992,0,0,0,0,0,0,0,0
"14",14,4.87885778481278,0,0,0,0,0,0,0,0
"15",15,32.9583686600433,0,0,0,0,0,0,0,0
"16",16,20.0640440260629,0,0,0,0,0,0,0,0
"17",17,14.2541224096914,0,0,0,0,0,0,0,0
"18",18,23.2221345937308,0,0,0,0,0,0,0,0
"19",19,26.4782298617967,0,0,0,0,0,0,0,0
"20",20,12.37425946303,0,0,0,0,0,0,0,0
"21",21,4.72976598710914,0,0,0,0,0,0,0,0
"22",22,4.90676062516557,0,0,0,0,0,0,0,0
"23",23,0.454034261058178,0,0,0,0,0,0,0,0
"24",24,31.2511013267789,0,0,0,0,0,0,0,0
"25",25,3.97072323996613,0,0,0,0,0,0,0,0
"26",26,9.73014113499489,0,0,0,0,0,0,0,0
"27",27,25.2680826393665,0,0,0,0,0,0,0,0
"28",28,14.8385616013721,0,0,0,0,0,0,0,0
"29",29,0.505301493827724,0,0,0,0,0,0,0,0
"30",30,16.9034349790183,0,0,0,0,0,0,0,0
"31",31,8.15880686508403,0,0,0,0,0,0,0,0
"32",32,0.186647003024126,0,0,0,0,0,0,0,0
"33",33,13.7531969527792,0,0,0,0,0,0,0,0
"34",34,25.8771704361575,0,0,0,0,0,0,0,0
"35",35,11.9671122494064,0,0,0,0,0,0,0,0
"36",36,0.482205695612658,0,0,0,0,0,0,0,0
"37",37,4.02566130555013,0,0,0,0,0,0,0,0
"38",38,9.82942258965446,0,0,0,0,0,0,0,0
"39",39,13.9860108616074,0,0,0,0,0,0,0,0
"40",40,1.79814687459275,0,0,0,0,0,0,0,0
"41",41,16.3512056180371,0,0,0,0,0,0,0,0
"42",42,20.8900068789007,0,0,0,0,0,0,0,0
"43",43,1.08807066394398,0,0,0,0,0,0,0,0
"44",45,24.8639269489029,0,0,0,0,0,0,0,0
"45",46,1.13515731700604,0,0,0,0,0,0,0,0
"46",47,13.8078694351151,0,0,0,0,0,0,0,0
"47",48,14.6874248607936,0,0,0,0,0,0,0,0
"48",49,3.22233381004131,0,0,0,0,0,0,0,0
"49",50,8.87826985536726,0,0,0,0,0,0,0,0
"50",51,2.93686013041872,0,0,0,0,0,0,0,0
"51",52,10.4881947276683,0,0,0,0,0,0,0,0
"52",53,7.71396069295275,0,0,0,0,0,0,0,0
"53",54,0.273386263799969,0,0,0,0,0,0,0,0
"54",56,32.2652214794834,0,0,0,0,0,0,0,0
"55",57,14.587528850606,0,0,0,0,0,0,0,0
"56",58,2.22546751276437,0,0,0,0,0,0,0,0
"57",59,10.2893318866865,0,0,0,0,0,0,0,0
"58",60,0.179580842470257,0,0,0,0,0,0,0,0
"59",61,9.1314766744196,0,0,0,0,0,0,0,0
"60",62,8.24301183005215,0,0,0,0,0,0,0,0
"61",63,8.94036902677135,0,0,0,0,0,0,0,0
"62",64,17.8368268252901,0,0,0,0,0,0,0,0
"63",65,4.70777648372741,0,0,0,0,0,0,0,0
"64",66,4.31010256886795,0,0,0,0,0,0,0,0
"65",67,9.6104350265786,0,0,0,0,0,0,0,0
"66",69,0.369618041393881,0,0,0,0,0,0,0,0
"67",70,14.6904642981692,0,0,0,0,0,0,0,0
"68",71,13.1833474640173,0,0,0,0,0,0,0,0
"69",72,6.88062905684323,0,0,0,0,0,0,0,0
"70",73,19.3762738182078,0,0,0,0,0,0,0,0
"71",74,4.08105639454046,0,0,0,0,0,0,0,0
"72",75,7.13184644591692,0,0,0,0,0,0,0,0
"73",76,10.8825964907669,0,0,0,0,0,0,0,0
"74",77,2.49999294637021,0,0,0,0,0,0,0,0
"75",78,9.75609282766359,0,0,0,0,0,0,0,0
"76",79,15.4798542708388,0,0,0,0,0,0,0,0
"77",80,10.0241301226044,0,0,0,0,0,0,0,0
"78",81,1.03714730370132,0,0,0,0,0,0,0,0
"79",82,29.6745222611744,0,0,0,0,0,0,0,0
"80",83,0.855068551440128,0,0,0,0,0,0,0,0
"81",84,29.662531794039,0,0,0,0,0,0,0,0
"82",85,10.5449940432217,0,0,0,0,0,0,0,0
"83",86,31.238879782651,0,0,0,0,0,0,0,0
"84",87,3.13901523084877,0,0,0,0,0,0,0,0
"85",88,8.78889830934488,0,0,0,0,0,0,0,0
"86",89,8.73171672839688,0,0,0,0,0,0,0,0
