"","workerData","model","softness","obedience","type","cross_validated","Nr"
"120",0.34483,0,"0","0","iterative","no",1
"121",0.17391,0,"0","0","iterative","no",1
"122",0.14286,0.5,"0","0","iterative","no",1
"123",0,0,"0","0","iterative","no",1
"124",0.08,0,"0","0","iterative","no",1
"125",0.04762,0,"0","0","iterative","no",1
"126",0.4878,0.33333,"0","0","iterative","no",1
"127",0.51282,0.33333,"0","0","iterative","no",1
"128",0.44444,0.33333,"0","0","iterative","no",1
"129",0.43478,0,"0","0","iterative","no",1
"130",1,0,"0","0","iterative","no",1
"131",0.60606,0,"0","0","iterative","no",1
"132",0.41667,1,"0","0","iterative","no",1
"133",0.19355,0,"0","0","iterative","no",1
"134",0.36111,1,"0","0","iterative","no",1
"135",0.27027,0,"0","0","iterative","no",1
"136",0.5,1,"0","0","iterative","no",1
"137",0,0,"0","0","iterative","no",1
"138",0.4,0.33333,"0","0","iterative","no",1
"139",1,0.66667,"0","0","iterative","no",1
"140",0.18919,0,"0","0","iterative","no",1
"141",0.10345,0,"0","0","iterative","no",1
"142",0.44444,0,"0","0","iterative","no",1
"143",0.47059,0,"0","0","iterative","no",1
"144",0.11111,0,"0","0","iterative","no",1
"145",0,0.33333,"0","0","iterative","no",1
"146",0.2,0.33333,"0","0","iterative","no",1
"147",0,0,"0","0","iterative","no",1
"148",0.59091,0,"0","0","iterative","no",1
"149",0.70588,0,"0","0","iterative","no",1
"150",0.16129,0,"0","0","iterative","no",1
"151",0,0.33333,"0","0","iterative","no",1
"152",0.44828,1,"0","0","iterative","no",1
"153",0.31818,0.33333,"0","0","iterative","no",1
"154",0.33333,0,"0","0","iterative","no",1
"155",0.33333,0,"0","0","iterative","no",1
"156",0.36364,1,"0","0","iterative","no",1
"157",0,1,"0","0","iterative","no",1
"158",0.31034,0,"0","0","iterative","no",1
"159",0.66667,1,"0","0","iterative","no",1
"160",0.33333,0,"0","0","iterative","no",1
"161",0.95238,1,"0","0","iterative","no",1
"162",0.53846,0,"0","0","iterative","no",1
"163",0.54286,1,"0","0","iterative","no",1
"164",0.42424,0,"0","0","iterative","no",1
"165",0.19355,0,"0","0","iterative","no",1
"166",0.30233,0,"0","0","iterative","no",1
"167",0.23529,0,"0","0","iterative","no",1
"168",0.13889,0,"0","0","iterative","no",1
"169",0.21429,0,"0","0","iterative","no",1
"170",0.58824,1,"0","0","iterative","no",1
"171",0.4186,0,"0","0","iterative","no",1
"172",0.44737,1,"0","0","iterative","no",1
"173",0.33898,0,"0","0","iterative","no",1
"174",0.34615,0,"0","0","iterative","no",1
"175",0.33333,0.33333,"0","0","iterative","no",1
"176",0.33333,0,"0","0","iterative","no",1
"177",0.23077,0.33333,"0","0","iterative","no",1
"178",0.71429,1,"0","0","iterative","no",1
"179",0.23684,0.33333,"0","0","iterative","no",1
"180",0.07895,0,"0","0","iterative","no",1
"181",1,1,"0","0","iterative","no",1
"182",0,0,"0","0","iterative","no",1
"183",0.33333,0,"0","0","iterative","no",1
"184",0.33333,0,"0","0","iterative","no",1
"185",0.41667,0,"0","0","iterative","no",1
"186",0,0,"0","0","iterative","no",1
"187",0,0,"0","0","iterative","no",1
"188",0.3871,0,"0","0","iterative","no",1
"189",0.10714,0,"0","0","iterative","no",1
"190",0.02941,0.33333,"0","0","iterative","no",1
"191",0.18421,0,"0","0","iterative","no",1
"192",0.34375,0,"0","0","iterative","no",1
"193",0.28571,0,"0","0","iterative","no",1
"194",1,1,"0","0","iterative","no",1
"195",0.25,0,"0","0","iterative","no",1
"196",0.65217,1,"0","0","iterative","no",1
"197",0.13043,0,"0","0","iterative","no",1
"198",0.375,0.66667,"0","0","iterative","no",1
"199",0.14286,0,"0","0","iterative","no",1
"200",0.2,0,"0","0","iterative","no",1
"201",0.37143,0,"0","0","iterative","no",1
"202",0.34884,0,"0","0","iterative","no",1
"203",0,0,"0","0","iterative","no",1
"204",0.45714,1,"0","0","iterative","no",1
"205",0.2,0,"0","0","iterative","no",1
"206",0.76923,1,"0","0","iterative","no",1
"207",0,0,"0","0","iterative","no",1
"208",0,0,"0","0","iterative","no",1
"209",0,0,"0","0","iterative","no",1
"210",0.51515,1,"0","0","iterative","no",1
"211",0.58065,0,"0","0","iterative","no",1
"212",0.05882,0.07407,"0","0","iterative","no",1
"213",1,1,"0","0","iterative","no",1
"214",0.45455,0,"0","0","iterative","no",1
"215",0.25,0,"0","0","iterative","no",1
"216",0,0,"0","0","iterative","no",1
"217",0.13889,0.33333,"0","0","iterative","no",1
"218",0.17241,0.33333,"0","0","iterative","no",1
"219",0.32258,0.33333,"0","0","iterative","no",1
