workerid,language,enjoyment,gender,age,comments,assess,education
0,English,1,Male,35,It was alright but seemed to drag on a bit long.,Yes,1
1,english,2,Female,38,,Yes,2
2,english,1,Male,30,interesting hit,Yes,3
3,English,1,Female,26,,Yes,2
4,English,2,Female,51,,Yes,3
5,english,2,Female,42,,Yes,3
6,English,2,Male,49,,Yes,4
7,ENGLISH,1,Male,39,,Yes,3
8,english,1,Other,33,"It was ok, not great.",Yes,3
