"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"15",1,"blue",3,"VeryGood",122,331,311,"cloud","striped","red","square","dotted","blue","square","plain","blue","pattern","plain","striped","dotted",3,2,13,9,3,3,13,9
"16",1,"red",2,"Bad",122,321,132,"cloud","striped","red","square","striped","blue","cloud","dotted","red","pattern","plain","striped","dotted",3,2,13,6,16,6,13,16
"17",1,"square",1,"VeryGood",313,333,111,"square","plain","green","square","dotted","green","cloud","plain","blue","pattern","plain","striped","dotted",1,2,21,27,1,21,27,1
"18",1,"blue",1,"Good",231,221,323,"circle","dotted","blue","circle","striped","blue","square","striped","green","pattern","plain","striped","dotted",3,2,8,5,24,8,5,24
"19",1,"green",2,"Good",223,233,122,"circle","striped","green","circle","dotted","green","cloud","striped","red","pattern","plain","striped","dotted",3,2,23,26,13,26,23,13
"20",1,"cloud",3,"VeryGood",322,123,113,"square","striped","red","cloud","striped","green","cloud","plain","green","pattern","plain","striped","dotted",1,2,15,22,19,19,15,22
"21",2,"dotted",1,"VeryGood",331,332,122,"square","dotted","blue","square","dotted","red","cloud","striped","red","color","green","blue","red",1,3,9,18,13,9,18,13
"22",2,"circle",2,"VeryGood",323,233,232,"square","striped","green","circle","dotted","green","circle","dotted","red","color","green","blue","red",1,3,24,26,17,26,24,17
"23",2,"cloud",2,"VeryGood",232,113,112,"circle","dotted","red","cloud","plain","green","cloud","plain","red","color","green","blue","red",1,3,17,19,10,19,17,10
"24",2,"square",3,"VeryGood",332,211,331,"square","dotted","red","circle","plain","blue","square","dotted","blue","color","green","blue","red",1,3,18,2,9,9,18,2
"25",2,"circle",1,"Good",222,312,221,"circle","striped","red","square","plain","red","circle","striped","blue","color","green","blue","red",1,3,14,12,5,14,12,5
"26",2,"dotted",3,"Good",333,121,332,"square","dotted","green","cloud","striped","blue","square","dotted","red","color","green","blue","red",1,3,27,4,18,18,27,4
