workerid,language,enjoyment,gender,age,comments,assess,education
0,English,2,Female,41,Fun once you get the hang of it!,Yes,3
1,english,1,Male,24,,Yes,2
2,English,2,Male,25,,Yes,2
3,english,2,Male,53,,Yes,3
4,English,1,Male,26,,No,2
5,English,2,Female,25,,Yes,3
6,English,2,Male,55,"Everything was clear and understandable.  I had no  technical problems or software problems.

Thanks you and Marry Christmas!",Yes,3
7,,-1,Male,29,,Confused,1
8,English,1,Female,23,,Yes,3
