workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,trial_type,slide_number,condition,ambiguous,pref8,item,numFeatures,pref1,pref2,pref3,pref4,pref5,pref6,pref7
0,0,0,0,0,0,1,1,0,1,striped,331,123,212,multi_slider,3,111111,False,circle,1277,9,cloud,solid,green,square,polka-dotted,blue,red
0,0,NA,0,0,0,1,0,NA,NA,NA,213,312,223,multi_slider,4,212122,True,NA,737,6,solid,square,striped,red,green,circle,NA
0,NA,NA,0,0,1,0,0,NA,NA,NA,312,222,322,multi_slider,5,322112,True,NA,1521,5,striped,solid,square,circle,red,NA,NA
0,NA,NA,0,NA,0,1,0,NA,NA,NA,132,112,132,multi_slider,6,322132,True,NA,1774,4,polka-dotted,red,solid,cloud,NA,NA,NA
0,NA,NA,0,NA,0,0,1,NA,NA,NA,211,221,221,multi_slider,7,323212,True,NA,191,4,solid,striped,circle,blue,NA,NA,NA
0,0,0,0,0,0,1,0,0,NA,NA,111,233,332,multi_slider,8,111112,True,square,2150,8,cloud,blue,solid,red,circle,green,polka-dotted
0,0,NA,0,0,1,0,0,NA,NA,NA,123,112,111,multi_slider,9,113212,True,NA,1081,6,green,striped,red,cloud,solid,blue,NA
0,NA,NA,1,0,0,0,0,NA,NA,NA,231,311,311,multi_slider,10,123212,True,NA,1875,5,blue,square,circle,polka-dotted,solid,NA,NA
0,0,0,0,0,0,0,0,0,1,solid,322,211,133,multi_slider,11,111111,False,square,1252,9,circle,striped,green,blue,cloud,polka-dotted,red
0,0,0,0,0,1,0,0,0,NA,NA,112,323,232,multi_slider,12,112111,True,cloud,843,8,red,solid,polka-dotted,square,striped,green,circle
0,1,NA,0,0,0,0,0,NA,NA,NA,323,112,323,multi_slider,13,212121,False,NA,909,6,green,striped,solid,square,red,cloud,NA
0,0,0,1,0,0,0,0,NA,NA,NA,312,121,123,multi_slider,14,111212,True,NA,1906,7,blue,red,striped,square,green,cloud,solid
0,0,0,0,0,0,0,0,1,0,striped,321,233,112,multi_slider,15,111111,False,cloud,1265,9,solid,square,blue,green,polka-dotted,circle,red
0,NA,NA,NA,NA,1,1,1,NA,NA,NA,313,313,313,multi_slider,16,323232,False,NA,1961,3,square,solid,green,NA,NA,NA,NA
0,1,NA,0,0,0,0,0,NA,NA,NA,222,312,332,multi_slider,17,321112,True,NA,415,6,square,polka-dotted,solid,circle,red,striped,NA
1,0.5,1,0.45,0.45,1,0.45,0.45,NA,NA,NA,333,222,122,multi_slider,3,121112,True,NA,953,7,polka-dotted,red,square,circle,green,cloud,striped
1,NA,NA,0,1,1,1,0.1,NA,NA,NA,223,213,233,multi_slider,4,323211,True,NA,2218,5,green,striped,polka-dotted,circle,solid,NA,NA
1,0.9,NA,0.85,0.95,0.15,0.5,0.7,NA,NA,NA,312,221,312,multi_slider,5,212121,False,NA,906,6,red,blue,striped,square,circle,solid,NA
1,0.2,NA,0.5,0.85,0.65,0.5,0.7,NA,NA,NA,313,133,233,multi_slider,6,113212,True,NA,1089,6,green,square,cloud,circle,polka-dotted,solid,NA
1,0.8,NA,0.9,0.85,0.65,0.25,0.5,NA,NA,NA,131,213,213,multi_slider,7,121212,False,NA,1654,6,cloud,polka-dotted,blue,solid,circle,green,NA
1,NA,NA,0.6,0.8,0.75,0.35,0.8,NA,NA,NA,311,332,312,multi_slider,8,213212,True,NA,561,5,solid,red,polka-dotted,blue,square,NA,NA
1,0.3,0.6,0.55,0.65,0.5,0.6,0.45,0.5,0.6,red,133,222,311,multi_slider,9,111111,False,cloud,1298,9,square,circle,green,striped,solid,blue,polka-dotted
