workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response
0,NA,mutual_understanding,321,232,233,2diff2NA,242560,2,6,2,diff,circle,0.6
0,NA,mutual_understanding,112,312,332,2sameNANA,74461,2,7,NA,same,square,0.1
0,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,8,NA,same,square,1
0,NA,mutual_understanding,333,112,222,1sameNANA,268730,1,9,NA,same,circle,1
0,1,mutual_understanding,333,322,311,3diff11,269301,3,10,1,diff,square,0.15
0,NA,mutual_understanding,211,311,321,2sameNANA,1261,2,11,NA,same,square,1
0,NA,mutual_understanding,121,231,232,1sameNANA,58480,1,12,NA,same,red,1
0,2,mutual_understanding,122,132,332,3diff12,79780,3,13,1,diff,red,0.7
0,NA,mutual_understanding,123,213,231,1sameNANA,150810,1,14,NA,same,polka-dotted,1
0,NA,mutual_understanding,231,332,212,2diff1NA,73251,2,15,1,diff,red,0.4
0,NA,mutual_understanding,132,232,222,3sameNANA,67820,3,16,NA,same,red,1
0,1,mutual_understanding,311,212,112,3diff21,15842,3,17,2,diff,solid,0.25
0,2,mutual_understanding,313,211,213,3diff22,131242,3,18,2,diff,solid,0.5
0,NA,mutual_understanding,133,332,232,3sameNANA,217610,3,19,NA,same,polka-dotted,0.85
0,NA,mutual_understanding,123,131,132,3sameNANA,144131,3,20,NA,same,cloud,0.8
1,NA,mutual_understanding,333,323,221,1sameNANA,285700,1,6,NA,same,circle,1
1,NA,mutual_understanding,232,212,211,3sameNANA,60600,3,7,NA,same,circle,0.7
1,NA,mutual_understanding,133,312,321,1sameNANA,208420,1,8,NA,same,blue,0.9
1,NA,mutual_understanding,212,121,231,2sameNANA,14451,2,9,NA,same,blue,0.7
1,NA,mutual_understanding,231,113,131,2sameNANA,84300,2,10,NA,same,cloud,0.85
1,2,mutual_understanding,233,213,113,3diff12,248922,3,11,1,diff,green,0
1,NA,mutual_understanding,332,223,113,2sameNANA,171050,2,12,NA,same,green,0.75
1,1,mutual_understanding,321,211,131,3diff11,3181,3,13,1,diff,blue,0.05
1,2,mutual_understanding,212,313,312,3diff22,120540,3,14,2,diff,solid,0.05
1,NA,mutual_understanding,223,232,133,2diff1NA,227170,2,15,1,diff,polka-dotted,0.05
1,NA,mutual_understanding,333,232,131,3sameNANA,272610,3,16,NA,same,polka-dotted,0.95
1,1,mutual_understanding,231,121,321,3diff21,4850,3,17,2,diff,blue,0.1
1,NA,mutual_understanding,211,222,232,3sameNANA,63962,3,18,NA,same,circle,0.95
1,NA,mutual_understanding,212,311,133,1sameNANA,207170,1,19,NA,same,polka-dotted,0.9
1,NA,mutual_understanding,311,212,232,2diff2NA,60760,2,20,2,diff,circle,0
2,NA,mutual_understanding,121,322,321,2sameNANA,37730,2,6,NA,same,square,0.75
2,1,mutual_understanding,233,213,113,3diff21,248921,3,7,2,diff,green,0.2
2,NA,mutual_understanding,333,331,332,1sameNANA,274450,1,8,NA,same,red,0.65
2,NA,mutual_understanding,223,213,211,3sameNANA,171200,3,9,NA,same,circle,0.3
2,NA,mutual_understanding,133,223,321,1sameNANA,226000,1,10,NA,same,square,0.7
2,2,mutual_understanding,133,112,111,3diff12,206002,3,11,1,diff,cloud,0.35
2,2,mutual_understanding,122,323,322,3diff22,187442,3,12,2,diff,striped,0.65
2,NA,mutual_understanding,123,213,231,1sameNANA,150810,1,13,NA,same,polka-dotted,0.25
2,NA,mutual_understanding,333,313,213,3sameNANA,280920,3,14,NA,same,green,0.6
2,NA,mutual_understanding,223,232,133,2diff1NA,227170,2,15,1,diff,polka-dotted,0.35
2,NA,mutual_understanding,312,211,221,2diff2NA,17230,2,16,2,diff,circle,0.1
2,NA,mutual_understanding,331,131,111,3sameNANA,7120,3,17,NA,same,blue,0.4
2,NA,mutual_understanding,332,223,113,2sameNANA,171050,2,18,NA,same,green,0.65
2,1,mutual_understanding,222,212,332,3diff11,76881,3,19,1,diff,red,0.3
2,NA,mutual_understanding,332,121,231,2sameNANA,70451,2,20,NA,same,blue,0.6
3,NA,mutual_understanding,323,211,212,2sameNANA,181731,2,6,NA,same,circle,0.5
3,1,mutual_understanding,313,333,233,3diff21,292052,3,7,2,diff,green,0.6
3,1,mutual_understanding,212,211,113,3diff11,86270,3,8,1,diff,solid,0.5
3,NA,mutual_understanding,313,132,123,1sameNANA,153570,1,9,NA,same,striped,0.5
3,NA,mutual_understanding,333,323,221,1sameNANA,285700,1,10,NA,same,circle,0.5
3,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,11,NA,same,square,0.7
3,NA,mutual_understanding,123,211,223,2diff1NA,175160,2,12,1,diff,circle,0.65
