"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","0.016","0.317","0.016","0.317","0.317","0.016","-1","-1","-1","22b2b","112","123","313","10","22","21"
"2","0.01","0.01","0.327","0.327","0.327","-1","-1","-1","-1","331","312","322","332","12","15","18"
"3","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","331","122","213","9","13","20"
"4","0.052","0.313","0.052","0.313","0.013","0.258","-1","-1","-1","22a2b","321","323","113","6","24","19"
"5","0.012","0.066","0.428","0.066","0.428","-1","-1","-1","-1","322b","222","232","332","14","17","18"
"6","0.001","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","311","331","232","133","9","17","25"
"7","0.003","0.213","0.213","0.262","0.048","0.262","-1","-1","-1","321","311","321","231","3","6","8"
"8","0.166","0.202","0.202","0.014","0.202","0.014","0.202","-1","-1","22b1","221","331","132","5","9","16"
"9","0.013","0.154","0.131","0.131","0.154","0.131","0.131","0.154","-1","211","131","123","212","7","22","11"
"10","0.146","0.146","0.209","0.04","0.209","0.04","0.209","-1","-1","22a1","212","123","323","11","22","24"
"11","0.429","0.429","0.047","0.047","0.047","-1","-1","-1","-1","331","311","312","313","3","12","21"
"12","0.817","0.031","0.031","0.031","0.031","0.031","0.031","-1","-1","311","111","212","313","1","11","21"
"13","0.721","0.04","0.04","0.049","0.102","0.049","-1","-1","-1","321","112","122","133","10","13","25"
"14","0.289","0.044","0.289","0.044","0.044","0.289","-1","-1","-1","22b2b","332","313","133","18","21","25"
"15","0.157","0.083","0.45","0.069","0.157","0.083","-1","-1","-1","22a2b","211","312","322","2","12","15"
"16","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","211","322","133","2","15","25"
"17","0.21","0.132","0.092","0.092","0.132","0.21","0.132","-1","-1","22a1","131","212","222","7","11","14"
"18","0.33","0.07","0.058","0.07","0.07","0.33","0.07","-1","-1","22b1","111","132","321","1","16","6"
"19","0.085","0.085","0.1","0.085","0.085","0.1","0.362","0.1","-1","211","232","313","123","17","21","22"
"20","0.533","0.17","0.064","0.17","0.064","-1","-1","-1","-1","322b","111","112","312","1","10","12"
"21","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","131","222","313","7","14","21"
"22","0.296","0.15","0.122","0.122","0.15","0.16","-1","-1","-1","321","222","123","323","14","22","24"
"23","0.211","0.123","0.211","0.123","0.123","0.211","-1","-1","-1","22b2b","111","132","231","1","16","8"
"24","0.279","0.279","0.148","0.148","0.148","-1","-1","-1","-1","331","133","233","333","25","26","27"
"25","0.282","0.197","0.162","0.197","0.162","-1","-1","-1","-1","322b","132","133","332","16","25","18"
"26","0.106","0.129","0.129","0.189","0.129","0.189","0.129","-1","-1","22b1","331","133","213","9","25","20"
"27","0.3","0.117","0.117","0.117","0.117","0.117","0.117","-1","-1","311","311","112","213","3","10","20"
"28","0.144","0.162","0.144","0.162","0.113","0.113","0.162","-1","-1","22a1","221","112","113","5","10","19"
"29","0.23","0.134","0.156","0.162","0.156","0.162","-1","-1","-1","22a2b","112","312","333","10","12","27"
"30","0.111","0.111","0.13","0.168","0.13","0.111","0.111","0.13","-1","211","211","132","333","2","16","27"
"31","0.636","0.12","0.067","0.055","0.055","0.067","-1","-1","-1","321","331","332","133","9","18","25"
"32","0.405","0.405","0.063","0.063","0.063","-1","-1","-1","-1","331","311","312","313","3","12","21"
"33","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","331","112","223","9","10","23"
"34","0.478","0.181","0.081","0.181","0.081","-1","-1","-1","-1","322b","211","221","222","2","5","14"
"35","0.097","0.097","0.139","0.194","0.139","0.194","0.139","-1","-1","22a1","121","321","233","4","6","26"
"36","0.068","0.083","0.083","0.3","0.083","0.3","0.083","-1","-1","22b1","211","312","122","2","12","13"
"37","0.161","0.099","0.398","0.082","0.161","0.099","-1","-1","-1","22a2b","112","132","313","10","16","21"
"38","0.091","0.091","0.108","0.311","0.108","0.091","0.091","0.108","-1","211","211","132","333","2","16","27"
"39","0.727","0.045","0.045","0.045","0.045","0.045","0.045","-1","-1","311","131","332","233","7","18","26"
