"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,3.6404247596125,0,0,0.988248968631214,0,0.940643678277178,0,3.55709900830624
"2",1,5.12112999908473,0,0,1.3211610885902,0,1.34572061721782,0,1.34521376395748
"3",2,7.04931665662241,0,0,6.47634383210674,0,6.48469045155441,0,6.4073547725662
"4",3,8.12639624646603,0,0,5.43398659974559,0,5.29466243772738,0,5.32526491612762
"5",4,11.6892240668826,0,0,3.18504654649456,0,3.07514751200823,0,3.32139987687416
"6",5,8.77654326956369,0,0,3.71324866821593,0,3.35153040690204,0,3.61311136769165
"7",6,6.44549333602901,0,0,5.95282649165886,0,5.9552528833193,0,5.95638397357407
"8",7,2.90387213665741,0,0,0.238805765976223,0,0.232357388083259,0,2.73089524223577
"9",8,7.43474583960148,0,0,7.01658271082588,0,6.87314505861865,0,6.87314505864013
"10",9,11.003922079786,0,0,5.83330165506266,0,5.80279201802068,0,5.81207083432681
"11",10,4.40234625154807,0,0,4.32332015552366,0,4.32669709510798,0,4.32663744847802
"12",11,1.17990604226276,0,0,0.724535775071099,0,0.716962112099594,0,0.560823419303639
"13",12,0.350975917593987,0,0,0.21214346255288,0,0.165007252307331,0,0.165007252306657
"14",13,10.8606873111045,0,0,3.59301189044898,0,3.30267773588559,0,3.48297635237471
"15",14,9.68943721676891,0,0,3.33817844443185,0,3.39448700536365,0,3.38486074205758
"16",15,10.4677704735027,0,0,3.13048775761767,0,2.99395393609992,0,3.02759078515862
"17",16,0.16557467605742,0,0,0.160075308983753,0,0.105851861883417,0,0.105851861883926
"18",17,1.64168833514449,0,0,0.829791633296627,0,0.82019998103912,0,0.829791629783801
"19",18,0.593198012529963,0,0,0.589783890772715,0,0.571175582495388,0,0.552488822065435
"20",19,10.725771123044,0,0,9.41974496599994,0,9.36118108999255,0,9.35253692039403
"21",20,0.549959349719656,0,0,0.627127875384508,0,0.549959367799434,0,0.549959353322589
"22",21,11.136047813714,0,0,3.95305915759804,0,3.68083977214751,0,3.83909365482468
"23",22,18.7085507987344,0,0,14.1863952547424,0,13.7957319796379,0,14.606566343584
"24",23,0.257027484001866,0,0,0.186149602938182,0,0.118652521935916,0,0.118652521935947
"25",24,2.64442248323851,0,0,2.74856476121459,0,2.6444225693776,0,2.58810361600016
"26",25,10.8845639397856,0,0,4.61459434565694,0,4.28331457118639,0,4.49553833214067
"27",27,0.912033110331945,0,0,0.921494002847545,0,0.889338980262799,0,0.889338980263026
"28",28,5.37859118289323,0,0,5.05332079276214,0,4.890026440234,0,4.8575586970641
"29",29,1.40246629432112,0,0,1.17387741972722,0,1.05477959011064,0,1.0547795901135
"30",30,12.2346601023821,0,0,1.39451685693594,0,1.31798566337089,0,1.6193870898008
"31",31,0.592027451489414,0,0,0.608205174963617,0,0.57767544239896,0,0.563110533608475
"32",32,3.60409810126175,0,0,2.37589103410246,0,2.18102727661104,0,2.18102727649706
"33",33,0.199800071238161,0,0,0.210805706790321,0,0.191816211206363,0,0.190255168942924
"34",34,1.79140859244278,0,0,1.85697996139192,0,1.77764783662665,0,1.7914085990049
"35",35,18.5171067167766,0,0,13.2931872986027,0,12.9159013699911,0,13.1516128266065
"36",36,3.20441533378099,0,0,2.64074496817695,0,2.4853814794644,0,2.48538147946076
"37",37,2.10330231207997,0,0,0.796277118259279,0,0.788359218573368,0,1.25447960673232
"38",38,0.243526260763302,0,0,0.252980367390259,0,0.23244621692339,0,0.21947897062862
"39",40,13.2188771137384,0,0,7.19024448026914,0,6.83513872039729,0,6.83513871892809
"40",41,1.07169129947086,0,0,0.778455107194698,0,0.756991725616449,0,0.557961606766953
"41",42,0.606534492051136,0,0,0.619219842436216,0,0.596022693876212,0,0.596022693876205
"42",43,4.00055782421529,0,0,2.60396191394363,0,2.2759106704398,0,2.2759106703181
"43",44,17.6536306307482,0,0,16.5658680487331,0,16.1990521505196,0,16.1990521505174
"44",45,6.28788552225827,0,0,6.37826202347846,0,6.24328630559116,0,6.28788555107026
"45",46,11.1363765808428,0,0,5.42988301230355,0,5.0464335842229,0,5.28360560774634
"46",47,3.57539262020606,0,0,3.46701227923031,0,3.44661103108088,0,3.37918846934692
"47",48,0.294330685182099,0,0,0.308776624147989,0,0.244997230322568,0,0.244997230322695
"48",49,5.43289294013999,0,0,4.65493932456974,0,4.66452592351345,0,4.61111783981854
"49",50,2.04446066663006,0,0,0.276737294878032,0,0.254967920055363,0,0.276737294735602
"50",51,6.71947286640178,0,0,4.72784577594264,0,4.38381964226723,0,4.38381964261664
"51",52,7.42298540802269,0,0,7.24222225663664,0,7.03988089241169,0,7.03988089240913
"52",53,0.464767436700494,0,0,0.54490991484449,0,0.464767458144895,0,0.441275451260711
