workerid,language,enjoyment,gender,age,comments,assess,education
0,english,1,Male,25,,Yes,2
1,English,1,Male,28,,Yes,3
2,english,2,Female,46,great survey,Yes,2
3,English,2,Male,39,nice,Yes,3
4,english,1,Male,25,,Yes,3
5,english,1,Male,25,good,Yes,2
6,United States,1,Female,32,,Yes,2
7,english,1,Male,33,N/A,Yes,3
8,English,2,Female,52,It was fun,Yes,3
