workerid,language,enjoyment,gender,age,comments,assess,education
0,English,2,Female,35,,Yes,2
1,english,1,Male,27,,Yes,1
2,English,2,Male,47,,Yes,3
3,English,2,Female,26,,Yes,2
4,English,2,Male,28,good ,Yes,2
5,English,1,Male,29,,Yes,3
6,english,2,Male,28,good,Yes,2
7,English,1,Female,50,good and simple,Yes,3
8,english,2,Female,56,I understood it to a point but seem like the more I did the more confused I got sorry ,Confused,2
