workerid,language,enjoyment,gender,age,comments,assess,education
0,english,1,Male,25,,Yes,3
1,English,2,Male,49,Good luck with your study.,Yes,3
2,English,2,Female,51,,Yes,4
3,ENGLISH,2,Female,54,,Yes,3
4,English,2,Female,65,,Yes,2
5,English,1,Female,55,,Yes,2
6,English,2,Male,56,,Yes,2
7,Spanish,2,Male,34,Good Survey ,Yes,3
8,,0,Male,26,,Yes,1
