date,workerid,amount
Thu Dec 20 09:23:19 PST 2018,A2A7O6KYJ9GS8A,0.5
Thu Dec 20 09:23:54 PST 2018,A20WI3VW3CBOWN,0.5
Thu Dec 20 09:25:43 PST 2018,A1LLHAR2HVO7G0,0.5
Thu Dec 20 09:27:23 PST 2018,A2NYCAWYA7F29S,0.5
Thu Dec 20 09:32:23 PST 2018,A1ROEDVMTO9Y3X,0.5
Thu Dec 20 09:42:35 PST 2018,A1CY7IOJ9YH136,0.5
Thu Dec 20 09:48:52 PST 2018,A5N551A5UQ4G2,0.5
Thu Dec 20 09:59:44 PST 2018,AAKBYJD64R6K,0.5
Thu Dec 20 09:59:58 PST 2018,A1F01FVEPYCPHO,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
