"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0.500502372530538,0,0,0,0,0.285886948052641,0.285672150900553,0.281043320392938
"2",1,10.1639155033817,0,0,0,0,5.67116028407248,3.26606266730795,3.26306143461064
"3",2,7.51071126821929,0,0,0,0,1.88782571969886,1.88296279892185,1.88224541313672
"4",3,5.37589248363494,0,0,0,0,1.68474322568577,1.72102457518035,1.68474333770371
"5",4,27.6312425716245,0,0,0,0,5.37566341378501,-9.00816980397262e-101,1.63947388026334e-101
"6",5,2.63531603917102,0,0,0,0,1.26838311596691,1.27036654328182,1.26838311594832
"7",6,11.2563907036205,0,0,0,0,2.59002512625624,2.58548495088753,2.58791077430938
"8",7,7.20394818182343,0,0,0,0,1.88670071576806,1.95007903661072,1.88078106513578
"9",8,3.35898214520232,0,0,0,0,0.901181690707177,0.844269475850017,0.842664920834478
"10",9,32.9583686600433,0,0,0,0,11.8491691199251,-5.01456789109176e-100,-4.04252788883091e-100
"11",10,8.6950174381823,0,0,0,0,2.70979937464053,0.515772973565455,0.513757891086001
"12",11,3.41818194313577,0,0,0,0,1.53796207860944,0.558001054146684,0.557999832277838
"13",12,7.21195740617494,0,0,0,0,1.56788196315997,1.54621009958389,1.53117572942437
"14",13,22.339291395421,0,0,0,0,7.94644050995072,5.31988246895292,5.31984613726266
"15",14,12.4622513606231,0,0,0,0,5.59411663286636,4.47276835096702,4.4723978825147
"16",15,4.53938228489608,0,0,0,0,1.29610789831199,1.36083210518549,1.29610789827647
"17",16,13.7526677819763,0,0,0,0,6.77541432529139,6.86790243273382,6.77541432534115
"18",17,26.7262296389664,0,0,0,0,8.24537218322058,7.13147605349144,7.09726837981662
"19",18,2.591011040781,0,0,0,0,0.811315828896361,0.816718865433274,0.754990696880243
"20",19,1.51741572922721,0,0,0,0,0.210047217747548,0.334763226945989,0.210047217745789
"21",20,2.07179868006691,0,0,0,0,1.14886012924778,1.20546431823703,1.14886012922726
"22",21,1.89881656495613,0,0,0,0,0.309349658831618,0.269364725275324,0.263599535204524
"23",22,22.9854660852027,0,0,0,0,6.54379656378787,5.12555412592556,5.09561296843208
"24",23,4.41241778706735,0,0,0,0,0.534698761533547,0.559863091726707,0.534698761665359
"25",24,0.882636697568925,0,0,0,0,0.0950097809747034,0.117487827430614,0.0950097809754993
"26",26,0.655495819924977,0,0,0,0,0.402155600330266,0.256317743066225,0.256326498810439
"27",27,28.9261306752215,0,0,0,0,5.85466290566581,0.576318460491133,0.576705141484562
"28",28,0.251495045271714,0,0,0,0,0.0905442037724598,0.0774612265453699,0.0905445116612179
