"","workerData","model","softness","obedience","alpha","type","cross_validated","Nr"
"78",0.554576123612118,0.333333333333333,"0","0",NA,"simpleRSA","no",1
"79",0.223159455995736,0.333333333333333,"0","0",NA,"simpleRSA","no",1
"80",0.222264420392145,0.333333333333333,"0","0",NA,"simpleRSA","no",1
"81",1,1,"0","0",NA,"simpleRSA","no",1
"82",0.681702979277588,0.5,"0","0",NA,"simpleRSA","no",1
"83",0.318297020722412,0.5,"0","0",NA,"simpleRSA","no",1
"84",1,1,"0","0",NA,"simpleRSA","no",1
"85",0.517007003566104,0.5,"0","0",NA,"simpleRSA","no",1
"86",0.482992996433896,0.5,"0","0",NA,"simpleRSA","no",1
"87",1,1,"0","0",NA,"simpleRSA","no",1
"88",1,1,"0","0",NA,"simpleRSA","no",1
"89",0.595630310406926,0.66667,"0","0",NA,"simpleRSA","no",1
"90",0.148041477522965,0,"0","0",NA,"simpleRSA","no",1
"91",0.256328212070108,0.33333,"0","0",NA,"simpleRSA","no",1
"92",0.649204319355159,0.66667,"0","0",NA,"simpleRSA","no",1
"93",0.124610578401297,0,"0","0",NA,"simpleRSA","no",1
"94",0.226185102243544,0.33333,"0","0",NA,"simpleRSA","no",1
"95",0.815307375868863,1,"0","0",NA,"simpleRSA","no",1
"96",0.184692624131137,0,"0","0",NA,"simpleRSA","no",1
"97",0.58513879002059,0.66667,"0","0",NA,"simpleRSA","no",1
"98",0.170989513527867,0,"0","0",NA,"simpleRSA","no",1
"99",0.243871696451543,0.33333,"0","0",NA,"simpleRSA","no",1
"100",0.790544454058774,1,"0","0",NA,"simpleRSA","no",1
"101",0.209455545941226,0,"0","0",NA,"simpleRSA","no",1
"102",0.808938743126552,1,"0","0",NA,"simpleRSA","no",1
"103",0.191061256873448,0,"0","0",NA,"simpleRSA","no",1
"104",0.648721418559514,0.5,"0","0",NA,"simpleRSA","no",1
"105",0.351278581440486,0.5,"0","0",NA,"simpleRSA","no",1
"106",0.666715648066873,0.66667,"0","0",NA,"simpleRSA","no",1
"107",0.114112660082399,0,"0","0",NA,"simpleRSA","no",1
"108",0.219171691850728,0.33333,"0","0",NA,"simpleRSA","no",1
"109",0.663770878169996,0.5,"0","0",NA,"simpleRSA","no",1
"110",0.336229121830004,0.5,"0","0",NA,"simpleRSA","no",1
"111",0.846861990650198,1,"0","0",NA,"simpleRSA","no",1
"112",0.153138009349802,0,"0","0",NA,"simpleRSA","no",1
"113",0.64303714749452,0.5,"0","0",NA,"simpleRSA","no",1
"114",0.35696285250548,0.5,"0","0",NA,"simpleRSA","no",1
"115",0.65894386044953,0.5,"0","0",NA,"simpleRSA","no",1
"116",0.34105613955047,0.5,"0","0",NA,"simpleRSA","no",1
"117",0.646139456969184,0.5,"0","0",NA,"simpleRSA","no",1
"118",0.353860543030816,0.5,"0","0",NA,"simpleRSA","no",1
"119",0.788195039941917,1,"0","0",NA,"simpleRSA","no",1
"120",0.211804960058083,0,"0","0",NA,"simpleRSA","no",1
