"","V1","V2","V3","V4","V5"
"1",0,0.644368949090684,5.8811045049607e-05,0.662991712741628,0.354224276059368
"2",1,0.605273813063526,2.58857674190847,0.495413844918805,1027.45774531997
"3",2,0.843497675307653,5.8811045049607e-05,0.806848988345369,0.242572136605628
"4",3,0.683684588393287,0.55566705828525,0.67989029058581,0.0476637219757322
"5",4,0.669991600753726,0.839870006820206,0.669981174794583,0
"6",5,1.52284638419061,5.8811045049607e-05,1.52503325644753,0.0081969007031817
"7",6,4.19905859479788,9977572274.37502,2.16811564557896,12489.6534993283
"8",7,0.190732151202976,5.8811045049607e-05,0.235068004911874,2455.13470829304
"9",8,0.211791589265968,5.8811045049607e-05,0.213841563449687,0.0376021236412605
"10",9,1.00111535959531,5.8811045049607e-05,1.00112469083742,0
"11",10,0.441551619860394,5.8811045049607e-05,0.534995351201716,2440.71943443831
"12",11,2.09728364603055,5.8811045049607e-05,1.62648794897633,15637.66612736
"13",12,9999669657.09033,5.8811045049607e-05,1759533.09731869,0
"14",14,0.753728701757589,9893258162.25387,0.427201712804539,364.45196110095
"15",15,1.60594202631917,5.8811045049607e-05,1.60593679699682,-1.77635683940025e-15
"16",16,1.37928387403671,7.24165959043776,1.36517944217855,1.05144676223947
"17",17,0.307127751454634,5.8811045049607e-05,0.314206811785534,0.729517104748125
"18",18,0.69654512901971,5.8811045049607e-05,0.669432532723206,0.294227677987144
"19",19,0.282352453782341,5.8811045049607e-05,0.330356029317244,0.470154321871653
"20",20,1.12090978511832,5.8811045049607e-05,0.75721485948841,1563.4732188965
"21",21,2.01370159374113,5.1468627670871,2.00580963749147,0.0283246113343539
"22",22,0.314195340443082,0.103830645666629,0.280255307326753,4.73737096555401
"23",23,0.420068879912605,9912191342.68616,0.311199586535309,171.345719052312
"24",24,0.151734900306465,5.8811045049607e-05,0.140965322080474,0.395588777229774
"25",25,2.89311723067978,9809461403.11128,1.09396385571238,2047.10562935571
"26",26,1.32305994846409,5.8811045049607e-05,1.23392164604696,6.84214721561657
"27",27,0.144575954194016,9974894627.1519,0.124712795647404,751.30833054085
"28",28,1.01307795394316,5.8811045049607e-05,0.245441278131926,4653.55628555895
"29",29,0.00236231749998259,5.8811045049607e-05,0.000869650664678152,0.0187894302370507
"30",30,1.82579628170056,5.8811045049607e-05,1.82579975420218,0
"31",32,0.789937434694353,5.8811045049607e-05,0.580804299463777,4.21627431489193
"32",33,0.335426874636235,5.8811045049607e-05,0.452912070463602,2004.5605336021
"33",34,9999465137.91316,9843051878.71471,1248759.77447568,0
"34",35,4.67517855462479,5.8811045049607e-05,4.76252336030447,641.814745620728
"35",36,0.193190163632276,5.8811045049607e-05,0.262713021203307,826.587746889815
"36",37,4.17746982136692,5.8811045049607e-05,4.07116941930063,4429.88429007881
"37",38,0.293410108244698,5.8811045049607e-05,0.0121457776621308,0.115521251476284
"38",39,4.42221078237701,0.210797981551596,0.674773201072301,9496.11983689834
"39",40,24.6994652364394,5.8811045049607e-05,24.6994859191041,0
"40",42,1.10838177983124,9840861471.94166,0.98628369877392,53398.4037058517
"41",43,0.77711535566613,5.8811045049607e-05,0.742911515362784,0.123543572582369
"42",44,1.78731304138225,5.8811045049607e-05,1.82793494705718,3.24200785490452
"43",45,1.34471344661113,5.8811045049607e-05,1.49602771489895,1615.09305697089
"44",46,14.7984749503302,5.8811045049607e-05,14.7986671284028,0
"45",48,0.547098766832981,5.8811045049607e-05,0.895315430123498,1.13128850083538
"46",49,0.280835865657065,5.8811045049607e-05,0.28081044631254,0
"47",50,1.0484619711876,5.8811045049607e-05,1.04845294377471,0
"48",51,1.15460024655096,5.8811045049607e-05,0.764520145363864,0.598980698925402
"49",52,0.568453845131216,5.8811045049607e-05,0.568443442748182,0
"50",53,0.696095542774999,5.8811045049607e-05,0.696108125208773,0
"51",54,0.886499428875498,0.418517236816876,0.868887659049839,0.639920618116224
"52",55,0.655773227287259,5.8811045049607e-05,0.66288925262683,1.15406460853895
"53",56,0.802726393852223,1.30593755044139,0.799228969098255,0.0797830055126724
"54",57,1.31390255846593,5.8811045049607e-05,1.38555741660578,1156.90576487178
"55",58,1.32665034698773,5.8811045049607e-05,1.30582389216913,2107.63778487646
"56",59,1.59949989207421,5.8811045049607e-05,1.59949307329915,0
"57",60,0.673512964421501,5.8811045049607e-05,0.673514101196091,0
"58",61,1.08874993728958,0.560061763042528,1.1325172806955,0.653964030055638
"59",62,1.30562009931099,5.8811045049607e-05,1.44662803728239,629.844216053073
"60",63,0.750671858566449,5.8811045049607e-05,0.750667983410417,0
"61",64,0.657991529620328,5.8811045049607e-05,0.385820395944195,130.236043439855
"62",65,9998613374.58117,5.8811045049607e-05,480637.514069937,0
"63",66,0.301976764940958,5.8811045049607e-05,0.703278964548392,1720.57885982837
"64",67,0.982664614634813,1.05399102545254,1.01890451906269,4.51473172300467
"65",68,0.568249871562675,5.8811045049607e-05,0.474194091672541,0.943623957852928
"66",69,0.893362180136429,1.56166440077422,0.867802804937401,0.579293684608571
"67",70,1.05151930050766,5.8811045049607e-05,1.05150732593885,0
"68",71,0.265030646591899,5.8811045049607e-05,0.173167890951839,63092.0761511943
"69",72,0.643631669674867,5.8811045049607e-05,0.643612946547803,0
"70",73,1.2143688187267,5.8811045049607e-05,1.21984089929319,838.631253286448
"71",74,2.25025300068499,5.8811045049607e-05,3.66466956488329,7291.71697146673
"72",75,0.625547852054186,0.256900701802905,0.455296088228705,0.735317169846243
"73",76,0.371909135829756,5.8811045049607e-05,0.266009272692094,1.47912331034926
"74",77,3.51171593428569,5.8811045049607e-05,3.19867072361926,1.59789135731546
"75",78,1.55801846134526,5.8811045049607e-05,1.57368867211205,0.119077352502122
"76",79,0.0783760418437405,5.8811045049607e-05,0.161888972262757,0.406268926490971
"77",80,0.673342972047799,5.8811045049607e-05,0.820920703669982,1.00910839002061
"78",81,0.657962601225651,5.8811045049607e-05,0.657943217403501,0
"79",82,0.473464738534854,9706382347.207,0.470297341912034,627.047971390408
"80",83,1.69860274302304,9817461979.69496,1.69860697207517,0
