"","workerid","uniform","default_param_iter","default_param_indep","iterative","independent","iterative_better","v8"
"1",0,22.7856019107233,138.314212343431,181.198663180312,19.6714413873733,22.5687157156237,1,0
"2",1,21.6461676275349,55.0100254350156,35.9233715122477,18.1131497399696,13.5036436328718,0,0
"3",2,20.4954393377278,80.9739804629145,34.5504552673659,21.0744640076449,11.5853821342316,0,0
"4",3,21.0708034826314,245.106887128714,8.14629812548242,244.541906038294,8.1462909251995,0,0
"5",4,22.0924547301634,241.516838664988,6.18117770248116,241.516836968544,6.18116621119956,0,0
"6",5,21.5816291063974,14.9436167273343,4.85204076246249,12.9934966058305,4.85203026391962,0,0
"7",6,21.0708034826314,243.977594020523,37.3652462708982,243.598123255785,14.5494166733196,0,0
"8",7,21.3584855550832,135.671186322491,124.692201893451,17.0677234255339,21.0075619267309,1,0
"9",8,21.2939470339456,354.119762740028,107.125989756522,247.909374355055,19.2152539760119,0,0
"10",9,21.135342003769,271.328683539196,51.2301581301562,246.314049802421,15.3892067359131,0,0
"11",10,21.1116254771516,342.863373985412,122.150137134287,248.215510478908,19.0545743188748,0,0
"12",11,22.5387418327918,799.222230281945,154.856709968815,705.18712339972,23.5166577462249,0,0
"13",12,21.1998805249065,211.960422940837,226.713737332046,17.4552037015076,17.2034098054307,0,0
"14",14,20.1545127507572,257.079096028868,51.6962444748744,245.150072280083,14.6784317629261,0,0
"15",15,21.5816291063974,70.6737036079607,34.3974045461866,19.2691045792602,11.8199805661402,0,0
"16",16,21.135342003769,470.868586865643,141.506531194893,470.85505401191,21.2284691616235,0,0
"17",17,22.5624583594091,259.08793962465,36.5558940275179,247.290221671428,14.1484679423074,0,0
"18",18,21.2939470339456,708.54744862628,50.0391200338954,700.336403979362,14.8409076372265,0,0
"19",19,20.442194823209,399.977275669079,169.278557442998,249.802188764739,20.4739078309851,0,0
"20",20,21.0062649614938,171.943115338514,168.467633027483,20.1509985585417,21.8051377315212,1,0
"21",21,21.3993075496034,254.83367165516,20.0108195146035,243.5323248628,9.45590754704291,0,0
"22",22,20.3776563020714,240.750056961905,21.4005797075654,238.510326175883,10.8001308914649,0,0
"23",23,21.7107061486725,148.903338226618,123.645703067607,21.3186492080328,19.1657406249888,0,0
"24",24,22.2102377658197,339.733961759731,182.24011872346,246.721089491155,22.7598430269226,0,0
"25",25,21.8284891843289,474.768629581069,64.9067487222212,474.767573003035,16.0306409891638,0,0
"26",26,21.9338496999867,545.664973421485,50.7859561349039,478.956369421565,14.6673352974297,0,0
"27",27,20.2722957864136,242.778298732259,22.0365663582369,242.778297194433,11.1992439869,0,0
"28",28,21.3584855550832,414.149368790228,242.604398716441,247.565561398167,17.9351854935843,0,0
"29",29,22.2102377658197,13.5956402330682,5.72706242507654,13.5956366555177,5.72705130992887,0,0
"30",30,20.6540443679045,13.5046190853667,5.03738091006595,12.794957497707,5.03737033734541,0,0
"31",32,22.2102377658197,514.946560098564,124.539150246109,477.240935196804,21.4325407143418,0,0
"32",33,22.8796684197624,212.668340611372,197.673200339359,22.1794431819,21.0735397629051,0,0
"33",34,20.8476599313172,529.948790086772,110.823819041433,477.343003988281,19.6997733042606,0,0
"34",35,20.3131177809339,312.207597579372,64.6359149168934,246.776956977147,15.9735758616309,0,0
"35",36,21.8047726577116,350.565197753682,122.607718896012,244.205969806051,20.003337892226,0,0
"36",37,21.3584855550832,267.708797479289,33.3559474959937,243.58373706722,10.1558134711058,0,0
"37",38,21.5816291063974,212.672984901393,241.562942449221,18.6517917833465,20.881392842319,1,0
"38",39,21.0062649614938,599.000246187747,182.470640432315,476.402783497147,20.4270256166883,0,0
"39",40,21.0708034826314,798.226097312991,197.220486998452,703.620726484479,21.3265879508347,0,0
"40",42,21.3584855550832,472.235984424516,51.5968871929938,472.235982147191,15.7287876075076,0,0
"41",43,21.1761639982892,700.599406256932,6.18117639752611,699.028755543796,6.18116621119956,0,0
"42",44,23.0087454620375,239.918653725205,32.0874416871378,239.918650593309,9.93642869660278,0,0
"43",45,20.9121984524547,510.067642700904,139.59352370004,471.689344882159,20.0232251913697,0,0
"44",46,21.0470869560141,559.635126250427,183.146943355313,476.544140885426,21.9232359112398,0,0
"45",48,21.135342003769,328.699279728346,186.037310581664,244.89549019156,19.4225574163485,0,0
"46",49,21.4762685907395,241.104037042921,48.0133700098803,239.533388192518,12.5879553454982,0,0
"47",50,21.8284891843289,55.604799113881,34.1668781036968,17.5043181271276,11.0621307051583,0,0
"48",51,22.1569932513009,128.115466772488,125.768923806757,21.0407386106127,20.9803520576179,0,0
"49",52,22.0516327356431,12.657709137974,6.18117623123401,11.9886271153306,6.18116621119956,0,0
"50",53,21.7639506631913,15.0085168330937,7.80650005189194,13.9401470418741,7.8064928516087,0,0
"51",54,22.5624583594091,72.9933301644703,66.1012558538098,20.3266198428643,17.3773081259239,0,0
"52",55,21.8284891843289,26.707846454523,18.6245219857963,15.0668988092841,7.73776330729353,0,0
"53",56,20.6777608945218,28.874659785005,21.5520542239456,16.4920334438974,10.6873489514626,0,0
"54",57,20.442194823209,272.276438498138,127.717199675408,246.530658364415,21.1361726200731,0,0
"55",58,21.8284891843289,355.028820871018,181.311403680448,246.125151886983,20.8207258777728,0,0
"56",59,21.8047726577116,240.979931431093,4.91266581923885,240.979522553994,4.91265488573605,0,0
"57",60,22.1569932513009,500.637677299123,64.0570831848063,475.239747518936,15.1982824732439,0,0
"58",61,21.1998805249065,270.943483482894,35.3394954408065,245.849135140936,12.2707870525706,0,0
"59",62,22.0279162090258,504.256598274325,49.4602914568022,473.241053528463,14.7592625139118,0,0
"60",63,21.6994121420538,69.2607890761879,33.8255066246117,18.8370193202119,11.248109307081,0,0
"61",64,22.0516327356431,259.70172020442,33.7261487260512,248.282936683576,11.6432511247642,0,0
"62",65,20.4954393377278,765.361219799102,153.330739371983,704.188290426978,20.0134180864478,0,0
"63",66,21.2531250394253,181.023720085054,166.675872122805,20.3486085123053,20.3516141153275,1,0
"64",67,21.0708034826314,328.214796611868,152.215281295605,246.937776676986,20.010060489553,0,0
"65",68,19.2382220188831,72.2923489767213,34.1668779374032,19.6430496980348,10.9661780953643,0,0
"66",69,21.9870942145055,699.43422257477,19.761871719387,699.434220651904,9.00241634199044,0,0
"67",70,22.2102377658197,254.657006400183,33.4419334347071,243.52350775149,11.4310609660339,0,0
"68",71,20.4954393377278,566.465708279502,181.742222291152,472.028352937002,19.5877034160862,0,0
"69",72,20.8884819258374,259.539573743471,36.1891623189729,247.268745527459,13.235148609521,0,0
"70",73,19.43764904358,486.403827967053,94.9400939954549,473.55698255761,18.995945425419,0,0
"71",74,22.2102377658197,684.801954985004,242.177044430534,476.493999684649,20.0792767433954,0,0
"72",75,20.4954393377278,1212.1013907935,183.032620540193,1158.77468952592,19.9022820269334,0,0
"73",76,21.4762685907395,326.680358199611,109.340054415566,246.669228607621,18.477694885598,0,0
"74",77,22.0516327356431,290.508058744384,22.5344612603965,251.309248273067,11.849486757147,0,0
"75",78,21.6994121420538,15.4202520920284,6.06685785296041,12.037758657169,6.06684938351966,0,0
"76",79,22.3801368026151,368.262836713421,212.497051206763,245.452609243862,22.5845582200031,0,0
"77",80,21.6994121420538,13.8017821084297,34.3621352462267,13.7981891167815,11.890875722167,0,0
"78",81,21.1885865182878,269.178599924798,21.0338477022332,244.315264284526,10.0766365515125,0,0
"79",82,21.0708034826314,470.793119486714,20.0108183990455,470.793117434582,9.35241004044435,0,0
"80",83,21.3584855550832,241.454500423698,6.8743226288209,240.697298448718,6.8743133917595,0,0
"81",84,22.7856019107233,421.430703392753,167.273127213544,250.879967865212,22.391385004515,0,0
"82",86,21.0708034826314,499.353599612664,21.7235291814459,474.006403695816,10.8250446394916,0,0
"83",87,22.5387418327918,270.734397693191,34.8247607895252,246.637485499527,12.6847853993281,0,0
"84",88,21.5170905852598,270.157101640827,6.12401808606087,245.226721230341,6.12400779735961,0,0
"85",89,21.922555693368,111.291416203423,108.246490890403,18.5705222514318,20.2222112473139,1,0
"86",90,22.0516327356431,242.491657136544,257.244971527752,15.6303872188098,15.3389719389955,0,0
"87",91,20.7298768956608,364.609082579907,113.037891115614,248.795655038376,20.3256140529566,0,0
"88",92,20.8476599313172,241.455233198426,20.0142845634736,241.265052749738,9.34369856199075,0,0
"89",93,21.0175589681126,54.3661316740343,51.0215253381082,17.6993807339852,15.8354596713838,0,0
"90",94,21.2531250394253,526.858137059361,110.399931963918,473.748129351967,19.5810729557291,0,0
"91",95,21.7639506631913,13.5773199051295,48.4188345013086,13.5682394496985,13.0564385859645,0,0
"92",96,21.463846070741,312.139186612226,122.826439049118,246.956870960474,20.3246363918718,0,0
"93",97,20.2722957864136,813.711746147462,183.665145012896,706.292219410949,20.7699588108436,0,0
"94",98,21.6053456330147,13.6526423523646,8.20345587916952,13.4624625632484,8.20344933903945,0,0
"95",99,21.3584855550832,16.8617153752404,21.4577361562976,14.6219864238312,10.6427421027402,0,0
