"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,0,2.87637796443792,2.2453222067525,0,0,0,0,0,0
"2",1,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"3",2,0,0,7.24397114784991,9.99994281926766,0,0,0,0,0,0
"4",3,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"5",4,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"6",5,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"7",6,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"8",7,0,0,4.02344531710074,3.35565512842386,0,0,0,0,0,0
"9",8,0,0,3.42179192010067,5.16705322053979,0,0,0,0,0,0
"10",9,0,0,9.40074356890577,9.84948461496157,0,0,0,0,0,0
"11",10,0,0,2.38397797158199,3.33762286984555,0,0,0,0,0,0
"12",11,0,0,0.407768886548232,0.587688513634084,0,0,0,0,0,0
"13",12,0,0,-9.99995023115618,-9.99995434499266,0,0,0,0,0,0
"14",14,0,0,8.39794760603027,7.98942177653495,0,0,0,0,0,0
"15",15,0,0,9.99992291131952,9.99992631970616,0,0,0,0,0,0
"16",16,0,0,3.81694588022207,0.402380435522453,0,0,0,0,0,0
"17",17,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"18",18,0,0,9.99992631970616,9.77799049203424,0,0,0,0,0,0
"19",19,0,0,0.283867851961646,0.903883462595421,0,0,0,0,0,0
"20",20,0,0,-1.21478576487839,0.440146667328572,0,0,0,0,0,0
"21",21,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"22",22,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"23",23,0,0,1.7386950726176,2.93499915044793,0,0,0,0,0,0
"24",24,0,0,1.36548509371068,0.228587029607824,0,0,0,0,0,0
"25",25,0,0,7.02914273172347,6.62043508475302,0,0,0,0,0,0
"26",26,0,0,4.2611762340646,7.92678588676106,0,0,0,0,0,0
"27",27,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"28",28,0,0,-9.99994229052461,-9.99994748694478,0,0,0,0,0,0
"29",29,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"30",30,0,0,9.99992631970616,9.99992631970616,0,0,0,0,0,0
"31",32,0,0,2.21146239393881,2.44487009063438,0,0,0,0,0,0
"32",33,0,0,-5.19757584956346,-4.52249784508038,0,0,0,0,0,0
"33",34,0,0,4.27953612399283,3.4537308403477,0,0,0,0,0,0
"34",35,0,0,7.72134205063545,8.48321553685873,0,0,0,0,0,0
"35",36,0,0,3.80333134063791,3.73981017324378,0,0,0,0,0,0
