,workerid,uniform,default_param_iter,default_param_indep,iterative,independent,iterative_better,v8,,,,
73,76,21.47626859,19.79630363,20.01534724,19.31408714,18.682774,0,0,-1.679964963,-1.460921349,-2.162181451,-2.79349459
74,77,22.05163274,22.35705212,20.01123188,17.89578432,11.6963255,0,0,0.305419381,-2.040400857,-4.155848413,-10.35530724
75,78,21.69941214,19.52738679,18.91823081,10.28779153,8.828246643,0,0,-2.172025351,-2.781181332,-11.41162062,-12.8711655
76,79,22.3801368,21.08908317,23.2086479,20.05887222,22.30306622,1,0,-1.291053631,0.828511099,-2.321264587,-0.077070579
77,80,21.69941214,19.35243877,19.63883751,13.64112101,12.98578295,0,0,-2.346973368,-2.060574633,-8.058291135,-8.713629189
78,81,21.18858652,19.37137063,18.65999791,13.20368736,10.2913746,0,0,-1.817215893,-2.52858861,-7.98489916,-10.89721192
79,82,21.07080348,20.50896541,18.89638382,14.69803082,10.34877671,0,0,-0.561838071,-2.17441966,-6.372772665,-10.72202677
80,83,21.35848556,20.00030253,18.98460171,13.0953172,10.01745785,0,0,-1.358183022,-2.373883844,-8.263168351,-11.3410277
81,84,22.78560191,22.78563558,22.37338057,22.77652464,22.37166577,0,0,3.36668E-05,-0.412221341,-0.009077272,-0.413936142
82,86,21.07080348,20.66882832,18.72461242,14.9871878,10.86510062,0,0,-0.401975162,-2.34619106,-6.083615684,-10.20570286
83,87,22.53874183,21.47333383,20.66840081,15.7239439,13.09495195,0,0,-1.065408003,-1.870341019,-6.814797937,-9.443789884
84,88,21.51709059,20.24548424,19.02989837,15.03652803,9.759334702,0,0,-1.271606342,-2.487192212,-6.48056256,-11.75775588
85,89,21.92255569,19.75222508,21.14051378,19.55634597,20.58254907,1,0,-2.17033061,-0.782041918,-2.366209724,-1.340006619
86,90,22.05163274,22.70210488,23.01382597,16.47599239,16.41284027,0,0,0.650472148,0.962193236,-5.575640345,-5.638792467
87,91,20.7298769,20.78666924,20.32085099,20.78416654,20.32036988,0,0,0.056792342,-0.409025909,0.054289641,-0.409507016
88,92,20.84765993,19.04504048,18.79455843,12.67958426,10.1200414,0,0,-1.802619451,-2.053101501,-8.168075673,-10.72761853
89,93,21.01755897,19.90459599,20.03918057,15.94144415,14.84908893,0,0,-1.112962983,-0.978378393,-5.076114818,-6.168470042
90,94,21.25312504,20.26241487,20.34818696,19.85081596,19.59321252,0,0,-0.990710171,-0.904938084,-1.402309074,-1.65991252
91,95,21.76395066,18.92383175,19.68879723,12.49259111,14.73000043,1,0,-2.84011891,-2.075153429,-9.271359558,-7.033950236
92,96,21.46384607,20.39145469,20.62169619,20.36451558,20.30718309,0,0,-1.072391376,-0.84214988,-1.09933049,-1.156662976
93,97,20.27229579,22.68439539,20.98282178,22.14726109,20.51622504,0,0,2.412099604,0.710525997,1.874965302,0.24392925
94,98,21.60534563,18.8746924,18.93560955,12.4955236,10.824496,0,0,-2.730653237,-2.669736085,-9.109822032,-10.78084963
95,99,21.35848556,20.16013555,19.14197538,14.19181744,10.97640996,0,0,-1.198350003,-2.216510174,-7.166668114,-10.38207559
,,,,,,,,,,,,
,,2035.686056,1949.142894,1913.409573,1616.650884,1474.638087,19,0,-86.54316191,-122.2764824,-419.0351714,-561.0479685
