"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"86",90,0,0,-0.166743332415587,-0.174665001475185,0,0,0,0,0,0
"87",91,0,0,-0.0249844762452848,0.000638989418009391,0,0,0,0,0,0
"88",92,0,0,9.99992631970616,0.206435280029077,0,0,0,0,0,0
"89",93,0,0,0.107441474349686,0.12808330202458,0,0,0,0,0,0
"90",94,0,0,0.0431780766425038,0.0468188698965669,0,0,0,0,0,0
"91",95,0,0,0.545979784064418,0.128570004190152,0,0,0,0,0,0
"92",96,0,0,0.0123237771244174,0.0351665689473827,0,0,0,0,0,0
"93",97,0,0,-0.0106693791566987,-0.0187664167188806,0,0,0,0,0,0
"94",98,0,0,9.99992631970616,3.81973814118437,0,0,0,0,0,0
"95",99,0,0,8.88550616104566,0.196629846151799,0,0,0,0,0,0
