workerid,language,enjoyment,gender,age,comments,assess,education
0,english,2,Male,35,good,Yes,3
1,English,1,Male,27,,Yes,3
2,english,1,Female,22,great thanks!,Yes,2
3,english,1,Male,32,,Yes,1
4,English,1,Female,34,None,Yes,1
5,English,2,Female,42,,Yes,2
6,English,1,Male,42,,Yes,2
7,english,1,Male,22,,Yes,3
8,english,1,Male,40,,Yes,2
