date,workerid,amount
Tue Jan 15 16:07:10 PST 2019,A1L3937MY09J3I,0.75
Tue Jan 15 16:07:15 PST 2019,A89R5XGMHOTJE,0.75
Tue Jan 15 16:09:15 PST 2019,A17IHC8O946XPF,0.75
Tue Jan 15 16:09:36 PST 2019,ARYHFQRAS0L7X,0.75
Tue Jan 15 16:11:26 PST 2019,A1H198MRIM37T1,0.75
Tue Jan 15 16:15:09 PST 2019,A1ZS2VL87B5K2I,0.75
Tue Jan 15 16:20:05 PST 2019,A3LL096CAY5WHB,0.75
Tue Jan 15 16:22:40 PST 2019,ABNNSRB6Y5EFR,0.75
Tue Jan 15 16:35:18 PST 2019,AVD6HMIO1HLFI,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
