"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0,1.62064504635465,2.6038168472438,99.999955221126,2.22589279312802,4.96561418575669,1.53119518889375,0.01,1.27584704128157,0.0830419649215221,1.56046453211341,0.00110980069674929,0.359566834251547
"2",1,0.0613882737674291,0.0668031484795978,99.999955221126,0.0788383686019398,0.420518783962954,0.0389597383069647,3.31304491262446,0,0.0668138448968106,0.0138283196156171,0.0600798055235123,0.361632405593032
"3",2,0.0947333693773467,0.122133619963805,99.999955221126,0.121336239009104,1.80398376793899,0.0951655808425928,1.12521717458026,0.0947351754774418,0,0.0922976940076197,0.00157690335345527,0.827297593483901
"4",3,0.0953318242745366,0.145907851402509,99.999955221126,0.13086486057261,1.6126136340432,0.0998769016725743,0.423886329296575,0.0953338213559559,0,0.0998774555811147,0,0.42386809619652
"5",4,5.8811045049607e-05,5.8811045049607e-05,0.0100462688384866,0.000640393768957083,0.0106083740805092,0,0.01,0,0.000618887287307177,0.000614356147498323,0.000614356147498323,0.0105836383401234
"6",5,0.358687433447591,0.558078534769402,99.999955221126,0.49744501800923,3.04325614560819,0.361044679781781,1.18942804734817,0.354262194864358,0.00254399479977631,0.338253468266269,0.0139436470432223,1.23438440161207
"7",6,0.0205257284325123,0.0291396321901222,99.999955221126,0.0218657798021963,2.23704145942039,0.0196560950680935,2.6382818157562,0.0184547338948149,0.00227039401231454,0.0190106651247933,0.00170671553824616,0.937062148645868
"8",7,0.0930394646858748,0.111630263570415,61.807288886486,0.108545068742816,2.59730877237287,0.0975432226473954,2.77012005305968,0.060826932697071,0.0305045378410887,0,0.108544763333935,2.59731069100321
"9",8,0.255371193611116,0.358111011762159,99.999955221126,0.314767671965064,2.14531903196657,0.254430630732614,0.889580519827552,0.191878800723955,0.0457535204889563,0.182441620734974,0.0539475434765039,1.05553483260117
"10",9,5.8811045049607e-05,5.8811045049607e-05,61.807288886486,0.000648221443407578,0.0106158103712372,0,23.9074238609209,0,0.000937517962247389,0.000636755056318723,0.000636755056318723,0.0106049173035028
"11",10,0.225367036377416,0.273982794701757,99.999955221126,0.280435918030179,0.14551079323372,0.234551287037244,0.01,0,0.273973768697184,0.215760175256855,0.000796123340757533,0.0434009721830565
"12",11,0.360995128307902,0.422662082621661,99.999955221126,0.447750664464645,0.469559605893171,0.341519779021758,0.238883312658908,0,0.422664703786922,0.125772531979227,0.202442389458438,0.338591803708649
"13",12,0.0607237521271917,0.079352656624113,0.0100462688384866,0.0781099094040611,1.42961116567998,0.0567916406010805,0.173937977437879,0.0434961120040161,0.0189095195496436,0.0570388962637414,0.00274879289472684,0.704215521624743
"14",13,0.17979468399056,0.217780117496586,0.0100462688384866,0.202058483171168,0.0551037131202803,0.176720211884088,0.859491601111507,0,0.21778995374309,0.150219265621389,0.000516254068911147,0.0152328494837662
"15",14,9998727685.00397,1.96817992385465,99.999955221126,1.45864656642956,0.0099999999999999,3777141.09192061,0.01,0,1.96819099070772,0.985295069310404,0.0144589765519814,0.01
"16",15,0.221688881464405,0.299964957928728,99.999955221126,0.269454954677183,2.14561653548608,0.22457917677957,0.01,0.20892444962619,0.00900615750233737,0.224579181395272,0,0.01
"17",16,0.239948499598558,0.348178220039488,99.999955221126,0.343802782628867,1.9061901261145,0.220392181043328,0.0930324632193994,0.23995230357807,0,0.220392249603143,0,0.0930278980769398
"18",17,0.160092135524747,0.230660417036666,99.999955221126,0.213186918868054,0.484512247674377,0.154248839289838,0.01,0.053635803063647,0.124874955069147,0.135828019614646,0.00129253489089742,0.158069389615967
"19",18,0.341436519161907,0.584326086782112,99.999955221126,0.490855309912256,2.18981064032716,0.319832096619422,0.01,0.258276204523625,0.0580379837948839,0.331848186172473,0.00111773788271451,0.341880801300217
"20",19,0.442684231266891,0.718566325438795,99.999955221126,0.646734426119934,2.27307030221211,0.428458786556896,0.01,0.394864584052954,0.0280827067387444,0.428458641616504,0,0.01
"21",20,0.293043095830431,0.474004021991025,99.999955221126,0.42351339991551,2.05992278809973,0.322521550513914,0.01,0.289031705994768,0.00293743452091342,0.32251938378579,0,0.01
"22",21,0.445791377967491,0.612784102899069,99.999955221126,0.536030737563852,2.68328473827946,0.439937218287484,0.305375805593641,0.304524756464804,0.0827417218516201,0.0342993396207061,0.445151680840441,2.3795928653089
"23",22,0.0950936539844593,0.123701091278638,99.999955221126,0.128660345227143,0.44551185715154,0.0924796203446931,0.666270671719897,0,0.123693519987273,0.0883416578207312,0.00223082307409366,0.186109905535194
