workerid,response6,response4,response5,response2,response3,response1,property1,property2,obj3,obj2,slide_number,condition,trial_type,target,utterance,item,pref1,pref2,pref3,pref4,pref5,pref6
0,0.05,0.65,0.25,0.15,0.15,0.7,color,shape,122,123,3,1/3,multi_slider,121,blue,178,blue things,red things,green things,clouds,circles,squares
0,0.3,0.05,0.05,0.75,0.3,0.3,texture,shape,312,332,4,1/3,multi_slider,322,red,155,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0.85,0,0,0.15,0.05,0.5,shape,color,111,312,5,2/2,multi_slider,311,solid,124,blue things,red things,green things,clouds,circles,squares
0,0,0,0.9,0.15,0.05,0.6,texture,shape,222,212,6,2/3,multi_slider,212,red,5,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0,0.2,0,0.7,0.05,0.1,texture,color,221,221,7,3/3,multi_slider,221,striped,274,solid things,striped things,polka-dotted things,blue things,red things,green things
0,0.55,0.05,0.05,0.3,0,0.5,shape,texture,231,131,8,1/1,multi_slider,321,square,201,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0.05,0.1,0.6,0.05,0.6,0.05,color,texture,223,221,9,2/3,multi_slider,223,circle,8,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.5,0,0,0,0,0.5,shape,texture,133,133,10,3/3,multi_slider,133,polka-dotted,260,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.8,0.05,0.05,0,0,0.6,shape,texture,221,321,11,1/1,multi_slider,131,blue,204,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.75,0,0,0.05,0.85,0.05,shape,color,313,211,12,2/2,multi_slider,313,solid,137,clouds,circles,squares,blue things,red things,green things
0,0.55,0,0,0,0.3,0,shape,texture,121,111,13,1/1,multi_slider,331,polka-dotted,211,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.5,0,0,0.05,0.45,0.2,color,texture,231,221,14,1/2,multi_slider,233,green,97,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0,0.5,0,0,0,0,shape,texture,113,113,15,3/3,multi_slider,113,green,253,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0,0.05,0.8,0,0,0.3,texture,color,122,131,16,2/2,multi_slider,121,blue,121,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.05,0.5,0.05,0.15,0.05,0.7,color,texture,333,312,17,1/2,multi_slider,311,solid,78,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0.05,0.05,0.9,0,0,0.95,texture,color,212,212,3,3/3,multi_slider,212,circle,282,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.95,0.05,0.05,0.85,0.05,0.2,texture,shape,223,213,4,1/3,multi_slider,233,green,163,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0.05,0.9,0.05,0.05,0.75,0.2,color,texture,131,133,5,2/3,multi_slider,131,cloud,21,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.05,0.9,0.1,0.65,0.35,0.05,color,shape,213,113,6,1/2,multi_slider,211,solid,84,clouds,circles,squares,blue things,red things,green things
1,0.05,0.95,0.05,0.05,0.25,0.85,color,texture,213,222,7,1/2,multi_slider,211,circle,87,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.1,0.7,0.1,0.05,0.85,0.3,texture,color,221,231,8,2/3,multi_slider,231,blue,13,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.25,0.5,0.3,0.1,0.8,0.3,shape,texture,121,231,9,1/1,multi_slider,311,square,244,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0.1,0.75,0.2,0.15,0.8,0.2,shape,color,122,123,10,1/1,multi_slider,321,square,217,clouds,circles,squares,blue things,red things,green things
1,0.9,0.15,0.05,0.2,0.85,0.15,color,texture,332,333,11,2/3,multi_slider,333,square,20,solid things,striped things,polka-dotted things,blue things,red things,green things
