workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response
0,NA,mutual_understanding,312,223,221,2diff2NA,159911,2,6,2,diff,striped,0.25
0,NA,mutual_understanding,333,133,233,3sameNANA,292451,3,7,NA,same,green,0
0,1,mutual_understanding,333,332,311,3diff11,273801,3,8,1,diff,square,0
0,NA,mutual_understanding,313,222,231,1sameNANA,122520,1,9,NA,same,blue,1
0,NA,mutual_understanding,313,322,122,2sameNANA,124310,2,10,NA,same,striped,0.3
0,1,mutual_understanding,123,133,233,3diff21,259781,3,11,2,diff,green,0
0,NA,mutual_understanding,333,313,312,2sameNANA,280110,2,12,NA,same,solid,0.35
0,NA,mutual_understanding,321,222,233,2diff1NA,238360,2,13,1,diff,circle,0.15
0,2,mutual_understanding,331,332,322,3diff12,77930,3,14,1,diff,square,0.15
0,NA,mutual_understanding,133,332,232,3sameNANA,217610,3,15,NA,same,polka-dotted,0
0,NA,mutual_understanding,221,232,333,1sameNANA,272460,1,16,NA,same,square,1
0,2,mutual_understanding,132,122,112,3diff22,53001,3,17,2,diff,cloud,0
0,NA,mutual_understanding,331,223,221,2sameNANA,157210,2,18,NA,same,striped,0.4
0,NA,mutual_understanding,213,312,322,1sameNANA,107140,1,19,NA,same,striped,1
0,NA,mutual_understanding,223,213,211,3sameNANA,171200,3,20,NA,same,circle,0
1,NA,mutual_understanding,323,133,111,2diff1NA,227701,2,6,1,diff,cloud,0.8
1,NA,mutual_understanding,213,312,311,3sameNANA,102610,3,7,NA,same,solid,0.15
1,NA,mutual_understanding,132,323,322,2sameNANA,189010,2,8,NA,same,striped,0.6
1,1,mutual_understanding,313,223,233,3diff21,255181,3,9,2,diff,green,0
1,NA,mutual_understanding,132,231,323,1sameNANA,188380,1,10,NA,same,green,0.55
1,2,mutual_understanding,322,222,122,3diff22,45422,3,11,2,diff,red,0.3
1,NA,mutual_understanding,223,212,131,1sameNANA,159100,1,12,NA,same,cloud,0.6
1,NA,mutual_understanding,313,222,231,1sameNANA,122520,1,13,NA,same,blue,0.25
1,NA,mutual_understanding,232,331,332,3sameNANA,80872,3,14,NA,same,polka-dotted,0.85
1,NA,mutual_understanding,232,133,313,2sameNANA,223050,2,15,NA,same,green,0.8
1,1,mutual_understanding,222,212,332,3diff11,76881,3,16,1,diff,red,0.6
1,NA,mutual_understanding,333,313,312,2sameNANA,280110,2,17,NA,same,solid,0.8
1,2,mutual_understanding,331,332,322,3diff12,77930,3,18,1,diff,square,0.3
