workerid,language,enjoyment,gender,age,comments,assess,education
0,English,2,Male,28,n/a,Yes,3
1,english,2,Female,25,fun study,Yes,1
2,english,0,Male,35,GOOD,Yes,3
3,English,2,Female,28,i like the experiment,Yes,4
4,English,1,Female,28,,Yes,3
5,English,1,Male,31,,Yes,3
6,English,2,Female,54,Good,Yes,3
7,English,1,Male,37,,Yes,2
8,english,2,Female,26,,Yes,3
