workerid,language,enjoyment,gender,age,comments,assess,education
0,english,1,Female,29,,Yes,2
1,English,1,Female,30,,Yes,3
2,English,2,Male,52,,Yes,2
3,English,2,Male,35,,Yes,2
4,English,0,Male,37,,Yes,1
5,English,1,Other,33,,Confused,2
6,english,2,Male,27,,Yes,2
7,English,2,Male,43,Thank you.,Yes,3
8,english,2,Female,34,"it was fun , it took me a second to really catch on but once I started I think I did good..thank you so much was fun",Yes,2
