"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1.96040923328861,0,0,1.59524054531043,1.59449414861926,1.59449414861926,1.61770347419516
"2",2,1.64982496057066,0,0,1.47006899540291,1.56882927501883,1.01730933075358,1.64982496477684
"3",3,1.9435705287357,0,0,1.03553668993427,1.87303938804306,0.73287361874333,0.732873618738001
"4",4,0.444797767031692,0,0,0.593780951344299,0.440606868629935,0.422569918929077,0.44479777048732
"5",6,0.0569290488674514,0,0,0.299652031348158,0.055723041996854,0.0566410940143448,0.0566410940143427
"6",7,0.715282958719186,0,0,0.595805309371729,0.581379192131006,0.577950201676074,0.442916738219752
"7",9,2.4811914486792,0,0,2.56629585954725,2.47768754887679,2.45823535520656,2.45823535520876
"8",10,3.15968851076086,0,0,2.87916360876142,2.88555183321906,2.87764220714608,2.87764220714608
"9",11,6.98063702740448,0,0,6.05068232690866,6.06100289559578,6.04873469505469,6.12386067340568
"10",12,1.32142631521827,0,0,1.45551008499435,1.18600828381571,1.32142632203258,1.32142631907213
"11",13,9.75378480821673,0,0,8.84452411467737,9.34842000192306,8.84919312848176,8.84982815148515
"12",14,1.38336592333256,0,0,1.3946862651282,1.37256240292239,1.37425968516992,1.35140055897108
"13",15,0.0884814730400553,0,0,0.27469024532508,0.0878007624248838,0.0878698229466125,0.0878007624247365
"14",16,0.500220652706194,0,0,0.593802012125857,0.499920933015082,0.480386829050953,0.480386829050947
"15",17,6.25160397591562,0,0,5.15409064965272,5.16039547079038,5.15206541004496,5.25334951633079
"16",18,0.804338970983126,0,0,1.17481247442128,0.804339282374188,0.804339115659067,0.804338975061726
"17",19,4.52681115056587,0,0,3.62694014351754,4.45265099796891,3.04827132129027,4.52681116465832
"18",20,1.2022466823704,0,0,1.33510235045158,1.18858811293541,1.12627912319154,1.20224668662238
"19",21,6.26117215115328,0,0,5.53268447261102,5.54563987639331,5.53079156576277,5.59117195622526
"20",23,0.0254706409328999,0,0,0.149342051515262,0.0252392320895335,0.0250441051368414,0.0250441051367766
"21",24,14.3955170355474,0,0,13.7821389276787,13.7804983989973,13.7804983989973,13.8268183968503
"22",25,11.6750443144467,0,0,11.4947134691241,11.4939094270753,11.4939094270753,11.4939094270753
"23",26,3.76424666032966,0,0,3.33126935227202,3.34063497951401,3.32978311898711,3.37854720742008
"24",27,2.02369913036262,0,0,1.50154716868087,1.92827046476754,1.05265040523861,2.02369913593411
"25",28,0.701202679519017,0,0,0.80772665987243,0.686169087195439,0.599809485614455,0.701202681854295
"26",29,6.90592276853562,0,0,5.53035992550657,5.52899372643532,5.52899372643532,5.60373040925031
"27",30,6.73666708806895,0,0,5.88347926150893,5.89328988404965,5.88141417583794,5.96284186721972
"28",31,2.10307841243453,0,0,2.14494593159836,2.06366210565214,2.10307843024811,2.10307842220961
"29",32,7.37765004644327,0,0,6.03188901282816,6.65769118515393,6.03679338247086,5.92186364194889
"30",33,7.79142078354021,0,0,8.64332344846352,7.51619611364129,7.79142151973308,7.79142081986448
"31",34,0.956826656462299,0,0,1.28924532978231,0.935804823725693,0.95682685449389,0.956826660322455
"32",35,26.9535816771119,0,0,25.1675343538973,25.1655741244323,25.1655741244323,25.2794773217914
"33",36,24.7563570997757,0,0,23.4706322326576,23.4749330056081,23.4688340069278,23.4688340069278
"34",37,1.19980259720921,0,0,1.64525853357039,1.00853124610364,1.19980271188552,1.19980260084772
"35",38,12.4946337973773,0,0,8.97435880685753,12.3639406410295,8.63085912790204,8.63085912875936
"36",39,0.549638407849176,0,0,0.843704032117398,0.549046204987399,0.54963847049392,0.549638411731894
"37",40,0.796809884340737,0,0,0.836503205265279,0.722269579458881,0.796810039209077,0.796809887800048
"38",42,7.70158002729553,0,0,6.57069015771721,6.5801452208572,6.56897256797868,6.64622495398316
"39",43,17.4256774742106,0,0,16.1456745439841,16.1443692481051,16.1443692481051,16.2250890049977
"40",44,3.96072551667358,0,0,4.13243768235958,3.66630708426122,3.96072554351731,3.96072553286495
"41",45,1.87111503754626,0,0,1.78571932648871,1.77303858239182,1.76686871230355,1.31865097274465
