"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0.480917157632199,-0.0574118012580205,0,0,0,0,0,0,0
"2",2,9998980192.71585,0.0685753275121924,0,0,0,0,0,0,0
"3",3,9999096805.44641,0.100944865786839,0,0,0,0,0,0,0
"4",4,9996884031.00555,0.0166017361608618,0,0,0,0,0,0,0
"5",6,11.4184622414477,0.00578898278005973,0,0,0,0,0,0,0
"6",7,0.908088827121479,-0.0538245885630862,0,0,0,0,0,0,0
"7",9,0.901225567698185,0.0158297622292345,0,0,0,0,0,0,0
"8",10,1.14994059851315,-0.17974743750279,0,0,0,0,0,0,0
"9",11,0.489269202539925,-0.456687053018307,0,0,0,0,0,0,0
"10",12,9999842677.25094,0.0698385041608492,0,0,0,0,0,0,0
"11",13,0.0241623288772212,0.0485546332459487,0,0,0,0,0,0,0
"12",14,0.570118146669316,0.0117945023075472,0,0,0,0,0,0,0
"13",15,8.11974375939485,-0.000848648877647122,0,0,0,0,0,0,0
"14",16,1.91677347422861,0.0144103017977459,0,0,0,0,0,0,0
"15",17,0.430232103502503,-0.215442660200544,0,0,0,0,0,0,0
"16",18,9996133597.62887,0.00277024504347992,0,0,0,0,0,0,0
"17",19,9998602090.21548,0.117441219899342,0,0,0,0,0,0,0
"18",20,9999176414.33477,0.027700819514176,0,0,0,0,0,0,0
"19",21,0.6462503270861,-0.203185629149217,0,0,0,0,0,0,0
"20",23,6.41273759049081,0.00600097209749816,0,0,0,0,0,0,0
"21",24,0.631002660413448,-0.20953701018651,0,0,0,0,0,0,0
"22",25,0.885788412999713,-0.0794340353242489,0,0,0,0,0,0,0
"23",26,0.819108780747786,-0.211557864031091,0,0,0,0,0,0,0
"24",27,9999480998.91801,0.0873423416780173,0,0,0,0,0,0,0
"25",28,9997745222.77896,0.0438391032876757,0,0,0,0,0,0,0
"26",29,0.231242407523761,-0.164054606699522,0,0,0,0,0,0,0
"27",30,0.591026580279419,-0.571354148868382,0,0,0,0,0,0,0
"28",31,9999153164.9612,0.0649764166599027,0,0,0,0,0,0,0
"29",32,0.0172150958038313,0.05394051644557,0,0,0,0,0,0,0
"30",33,9998604739.50403,0.0658753968617089,0,0,0,0,0,0,0
"31",34,9998641307.94298,0.000558303109746333,0,0,0,0,0,0,0
"32",35,0.232873296824461,-7.1080027786409,0,0,0,0,0,0,0
"33",36,0.313215279390775,-7.10748482997697,0,0,0,0,0,0,0
"34",37,9998585495.86502,0.0143636968669891,0,0,0,0,0,0,0
"35",38,9997391060.13462,0.166981410458309,0,0,0,0,0,0,0
"36",39,9992765933.73891,0.0146436681051613,0,0,0,0,0,0,0
"37",40,9998687783.14979,0.0596871862021772,0,0,0,0,0,0,0
"38",42,0.347285001593636,-0.386663884242947,0,0,0,0,0,0,0
"39",43,0.234933054518496,-0.191526515150312,0,0,0,0,0,0,0
"40",44,9989809616.71743,-0.00192296344631014,0,0,0,0,0,0,0
"41",45,1.86770193613869,-0.0974676370260501,0,0,0,0,0,0,0
"42",46,9997216002.99762,0.536597103874998,0,0,0,0,0,0,0
"43",47,0.231366926094159,-0.221853803872429,0,0,0,0,0,0,0
"44",49,0.579392975986319,-0.418627595146817,0,0,0,0,0,0,0
"45",50,2.24947522264498,-0.189673888895156,0,0,0,0,0,0,0
"46",51,9998683510.69641,0.13663542489532,0,0,0,0,0,0,0
"47",52,0.458190746575433,0.00485661707385647,0,0,0,0,0,0,0
"48",53,9998830116.21683,0.211566925512989,0,0,0,0,0,0,0
"49",54,0.204372720158467,-0.189776466009231,0,0,0,0,0,0,0
"50",55,0.370332868306509,-0.22404966750065,0,0,0,0,0,0,0
"51",56,0.285014649009356,-0.142014010224856,0,0,0,0,0,0,0
"52",57,9999136493.26825,0.242820894198643,0,0,0,0,0,0,0
"53",58,0.0191185379566444,0.0465063504688511,0,0,0,0,0,0,0
"54",59,0.556806643759688,-0.0888374190537333,0,0,0,0,0,0,0
"55",60,0.0190762605287324,0.0523442335808041,0,0,0,0,0,0,0
"56",61,0.0296076886195686,0.038722847205575,0,0,0,0,0,0,0
"57",62,9934648481.68353,0.00162130560229704,0,0,0,0,0,0,0
"58",63,9984765461.29408,0.010027423966824,0,0,0,0,0,0,0
"59",64,0.306206376908239,-0.170288855613695,0,0,0,0,0,0,0
"60",66,9993315999.80067,0.0691778787894448,0,0,0,0,0,0,0
"61",67,1.64651342148078,0.00638735108963053,0,0,0,0,0,0,0
"62",68,0.408451431592016,-0.433255632243011,0,0,0,0,0,0,0
"63",69,0.817585676317331,-0.05975652406282,0,0,0,0,0,0,0
"64",70,9998514065.00123,0.03699290283779,0,0,0,0,0,0,0
"65",71,9996337223.41429,0.0241823901429001,0,0,0,0,0,0,0
"66",72,3.01784115996091,-0.0678240609348148,0,0,0,0,0,0,0
"67",73,9998910680.94484,0.0524668403851137,0,0,0,0,0,0,0
"68",74,0.0796039625103692,0.0186974525071375,0,0,0,0,0,0,0
"69",75,0.238379811672838,-0.0147142278832426,0,0,0,0,0,0,0
