"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"70",76,0.257545755426767,-0.151185270164707,0,0,0,0,0,0,0
"71",77,0.29636430771409,-0.257615744547013,0,0,0,0,0,0,0
"72",78,9996226202.46804,0.0484830419176436,0,0,0,0,0,0,0
"73",79,9999567280.19119,0.067786007843122,0,0,0,0,0,0,0
"74",80,0.705066819130229,-0.0291786350133474,0,0,0,0,0,0,0
"75",81,0.893818580547397,-0.123322937168188,0,0,0,0,0,0,0
"76",82,9999277781.49275,0.0683230630112251,0,0,0,0,0,0,0
"77",83,9999540791.20951,0.0582067674486738,0,0,0,0,0,0,0
"78",84,0.950717990819901,-7.12579794969624,0,0,0,0,0,0,0
"79",85,9993392315.82569,0.225763684499432,0,0,0,0,0,0,0
"80",86,9998875610.22588,0.0548183017259817,0,0,0,0,0,0,0
"81",87,0.0200132050695924,0.0514216595537027,0,0,0,0,0,0,0
"82",88,9999287503.97122,0.211318705612932,0,0,0,0,0,0,0
