"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,5.57586511806322e-05,0,0,0,0,0,0.0224189445643685,0.870233725019741
"2",2,0,0,0.0686295587515577,2.20137959729819,10,0.412700700801886,10,5156.55869859405,4466.77970021337,10
"3",3,0,0,0.101014068861706,1.9339605230195,10,0.273072996728122,10,0.273072948053692,0,10
"4",4,0,0,0.0165914355813629,3.49913887867885,10,1.36243197808055,10,1630.12467721798,2006.258675051,0
"5",6,0,0,0.00581447354168028,3.17798936400589,5.52159667407056,10.4494249007837,0,10.4494397770214,0,0
"6",7,0,0,5.57586511806322e-05,0.144653263611116,0,0.125090390449107,0,0,0.0315501460575611,4.01060271194376
"7",9,0,0,0.0158344040994563,2.84832885579644,0,1.38689049633597,10,1.38689900520137,0,10
"8",10,0,0,5.57586511806322e-05,0.000823192642155034,0.0614104626732741,0,0,0,0,0
"9",11,0,0,5.57586511806322e-05,0.000735194567594558,0.0664374573287402,0,0,0,0.0188069671987731,0.888838795334367
"10",12,0,0,0.0699245277062186,1.25136968017047,10,40478864.801038,0,5037.22191347401,6087.40848710403,10
"11",13,0,0,0.0485841184433904,0.000675818023128364,0.228557291334929,0.00310092562995837,0.508607025067382,0.0035762508040179,0,0.532599927627085
"12",14,0,0,0.011804999226296,0.848608370078401,0,0.587175877397329,0.973985681258747,0.00064446536436354,0.231406629302255,1.04966021942518
"13",15,0,0,5.57586511806322e-05,7.84290603133905,0,6.25266748981605,0,0,7.84302140232616,0
"14",16,0,0,0.0144146510500231,9.78728751664939,0,1.4533211245541,10,1.45332099706894,0,10
"15",17,0,0,5.57586511806322e-05,0.000823306844421279,0.0447142781123698,0,0,0,0.0112041410788527,0.884104299727298
"16",18,0,0,0.00276774293125799,117647.951740895,10,371050.003208847,2.79150787905458e-06,2268.9695570397,2398.64178469349,0
"17",19,0,0,0.117549871882387,2.15496448803663,10,0.242833864462524,10,3186.25117690098,3040.10561604141,0
"18",20,0,0,0.0276945007717772,2.98077716487249,10,0.901649657948856,10,2294.25022187398,2579.77643157514,0
"19",21,0,0,5.57586511806322e-05,0.000716811527477596,0.111419361266651,0,0,0,0.0245388170042209,0.93263516385082
"20",23,0,0,0.00603211380402236,10.676912878308,0,6.13594157305238,0,6.13600086681178,0,0
"21",24,0,0,5.57586511806322e-05,-4.33680868994202e-19,0,0,0,0,0.0283020834090103,0.910754786717154
"22",25,0,0,5.57586511806322e-05,0,0,0,0,0,0,0
