"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1.96040923328861,0,1.23019140864079,1.23019144073759,0,0,0
"2",2,1.64982496057066,0,1.47006898024433,1.47006898254287,0,0,0
"3",3,1.9435705287357,0,1.03553668060971,1.03553669561315,0,0,0
"4",4,0.444797767031692,0,0.593780928688538,0.593780933031887,0,0,0
"5",6,0.0569290488674514,0,0.299652003290232,0.29965200521946,0,0,0
"6",7,0.715282958719186,0,0.258512359600182,0.258512360501469,0,0,0
"7",9,2.4811914486792,0,2.56629584125705,2.56629589303507,0,0,0
"8",10,3.15968851076086,0,1.09967502175415,1.09967502172216,0,0,0
"9",11,6.98063702740448,0,1.86084667251987,1.86084667277913,0,0,0
"10",12,1.32142631521827,0,1.45551004840668,1.45551005062492,0,0,0
"11",13,9.75378480821673,0,8.84452411301747,8.84452414512305,0,0,0
"12",14,1.38336592333256,0,1.39468626485111,1.39468627728676,0,0,0
"13",15,0.0884814730400553,0,0.27455070865703,0.274550709729689,0,0,0
"14",16,0.500220652706194,0,0.593802008208442,0.593802023468144,0,0,0
"15",17,6.25160397591562,0,2.51055058573577,2.51055058572978,0,0,0
"16",18,0.804338970983126,0,1.17481247407406,1.17481247404005,0,0,0
"17",19,4.52681115056587,0,3.62694013023865,3.62694016241611,0,0,0
"18",20,1.2022466823704,0,1.33510234221322,1.33510234246763,0,0,0
"19",21,6.26117215115328,0,3.27502868693847,3.27502868691519,0,0,0
"20",23,0.0254706409328999,0,0.149342041723721,0.14934207355071,0,0,0
"21",24,14.3955170355474,0,11.4743181834882,11.4743181917705,0,0,0
"22",25,11.6750443144467,0,10.961913732906,10.961913733183,0,0,0
"23",26,3.76424666032966,0,1.49235738928928,1.49235738924284,0,0,0
"24",27,2.02369913036262,0,1.50154716709676,1.50154716829157,0,0,0
"25",28,0.701202679519017,0,0.80772665980445,0.807726666790246,0,0,0
"26",29,6.90592276853562,0,3.98880659066828,3.98880659084844,0,0,0
"27",30,6.73666708806895,0,1.81402019805496,1.81402019803662,0,0,0
"28",31,2.10307841243453,0,2.14494593136852,2.14494598542317,0,0,0
"29",32,7.37765004644327,0,6.03188901090173,6.03188901702947,0,0,0
"30",33,7.79142078354021,0,8.64332340495999,8.64332342181044,0,0,0
"31",34,0.956826656462299,0,1.2892453278833,1.28924532805143,0,0,0
"32",35,26.9535816771119,0,20.1254292299931,20.1254292299931,0,0,0
"33",36,24.7563570997757,0,19.1855341247714,19.1855341247714,0,0,0
"34",37,1.19980259720921,0,1.64525853233037,1.64525872802958,0,0,0
"35",38,12.4946337973773,0,8.97435880656385,8.97435886054071,0,0,0
"36",39,0.549638407849176,0,0.843704022404269,0.843704069803297,0,0,0
"37",40,0.796809884340737,0,0.836503183499717,0.836503193942438,0,0,0
"38",42,7.70158002729553,0,3.3628649846824,3.36286498467358,0,0,0
"39",43,17.4256774742106,0,14.5073688094922,14.507368809675,0,0,0
"40",44,3.96072551667358,0,4.13180615994394,4.13180618778901,0,0,0
"41",45,1.87111503754626,0,0.724831135120325,0.724831141564475,0,0,0
"42",46,14.6644983445061,0,3.8646813226716,3.86468132302041,0,0,0
"43",47,8.15160306878016,0,4.86376210895657,4.86376210895744,0,0,0
"44",49,5.3777795448625,0,1.81147000697266,1.81147000697869,0,0,0
"45",50,4.75712086378666,0,2.43398780182811,2.43398780187893,0,0,0
"46",51,9.6226039644018,0,6.48921502674414,6.48921503001606,0,0,0
"47",52,1.1733604908448,0,1.19129354763694,1.19129359195226,0,0,0
"48",53,11.7575499504766,0,7.05726911686276,7.05726913741053,0,0,0
"49",54,6.03929408449852,0,2.44377205334914,2.44377205347275,0,0,0
"50",55,5.11073820970768,0,2.07493809843719,2.07493809840141,0,0,0
"51",56,6.09742255694712,0,3.72082450397736,3.72082451292477,0,0,0
"52",57,15.0111195696534,0,6.04244460604494,6.04244460606271,0,0,0
"53",58,8.36721329482357,0,6.70231842849727,6.70231848848621,0,0,0
"54",59,1.87750883347903,0,0.867816299612164,0.867816301403494,0,0,0
"55",60,10.0250130050473,0,8.80025316026351,8.80025324056263,0,0,0
"56",61,9.7691070969115,0,8.86769451285659,8.86769451942245,0,0,0
"57",62,0.0399399372543288,0,0.155050654892545,0.155050682180326,0,0,0
"58",63,0.0301480276642264,0,0.183767306688386,0.183767327927333,0,0,0
"59",64,5.84330089502594,0,2.83012934232049,2.83012934562876,0,0,0
"60",66,3.78383622199938,0,3.47048909133609,3.47048914030795,0,0,0
"61",67,0.639977621815907,0,0.810494621169104,0.810494630504921,0,0,0
"62",68,7.69051461823177,0,2.7073300219756,2.70733002203002,0,0,0
"63",69,0.855014086062857,0,0.543871777578108,0.543871785834804,0,0,0
"64",70,1.8770498166768,0,2.24901138077049,2.2490113832601,0,0,0
"65",71,0.83830648012713,0,1.10120167222116,1.10120167273066,0,0,0
"66",72,2.26144750306697,0,1.71812018797143,1.71812021674908,0,0,0
"67",73,0.388185251182734,0,0.532820224660924,0.532820224783238,0,0,0
"68",74,4.03415154737914,0,3.55074694901357,3.55074700807656,0,0,0
"69",75,10.3414023653689,0,9.88849771286603,9.88849772905503,0,0,0
"70",76,4.70056017485279,0,2.05773512256356,2.0577351237991,0,0,0
"71",77,5.86523143762994,0,2.6128240778724,2.61282407915365,0,0,0
"72",78,8.68727578871468,0,8.66136374143876,8.66136382452406,0,0,0
"73",79,5.77583158439859,0,6.63777203958016,6.63777203959296,0,0,0
"74",80,0.532853675854362,0,0.371963902800201,0.371963905373859,0,0,0
"75",81,2.16909848918293,0,0.724813513820372,0.724813585693523,0,0,0
"76",82,2.20136326567,0,1.77029665281503,1.77029665280444,0,0,0
"77",83,1.2530057886899,0,1.34203579737684,1.34203580919261,0,0,0
"78",84,4.98153586021774,0,0.53608175379219,0.53608175379219,0,0,0
"79",85,13.8680374143167,0,9.3651099052865,9.3651099059686,0,0,0
"80",86,3.41713958610729,0,4.14252603199982,4.14252604074526,0,0,0
"81",87,8.42063982115697,0,7.42892434682457,7.42892434836345,0,0,0
"82",88,12.0733914659446,0,7.42182853805697,7.42182856744471,0,0,0
