workerid;Uniform-KL;P-only-KL;L-only-KL;OL-KL;PL-KL;POL-KL;PrefOnly;LambdaOnly;Obed(O.&lambda);Lambda(O&L);Pref(P&L);Lambda(P&L);Pref(P,O,L);Obed(P&O&L);Lambda(P,O,L)
54;6.039294084;5.275597454;2.443739799;2.443739799;2.443739799;4.448999743;0.20437272;-0.1897765;0;-0.1897811;0;-0.1897796;0;0.00144155;0.92243709
64;5.843300895;5.466317618;2.829635986;2.829635982;2.829635982;4.838080022;0.30620638;-0.1702889;0;-0.1702812;0;-0.1702812;0;0.00053495;0.87066205
29;6.905922769;6.340315216;3.988134112;5.535676556;3.988134112;5.625941516;0.23124241;-0.1640546;0.00079033;0.04166062;0;-0.1640589;0;0.00230624;0.88866343
76;4.700560175;4.20973347;2.05735975;3.502791439;2.057359749;3.59001569;0.25754576;-0.1511853;0.00083808;0.03471926;0;-0.1511927;0;0.00039548;0.76500504
56;6.097422557;5.694788201;3.721275386;3.721275377;3.721275377;5.0957654;0.28501465;-0.142014;0;-0.1420306;0;-0.1420292;0;0.00063052;0.8336522
75;10.34140237;10.15137665;9.888524734;9.923833895;9.887740719;9.939203719;0.23837981;-0.0147142;0.00050868;0.15737346;0.00081891;-0.1289155;0;0.00065953;0.94581842
74;4.034151547;3.61632762;3.55097329;3.602825871;3.5500871;3.485706953;0.07960396;0.01869745;0.00072206;0.18309429;0.00114613;0.16584138;0.00096668;0.04797798;0.59298138
61;9.769107097;8.938205195;8.867630911;9.071082088;8.875145024;8.647662401;0.02960769;0.03872285;0.00069151;0.18508324;0.0017743;0.3538376;0.00098853;0.01388633;0.60317134
58;8.367213295;6.782614119;6.702126967;7.042743614;6.711893482;6.30132734;0.01911854;0.04650635;0.00065085;0.18625225;0.00183479;0.43536101;0.0003883;0.02127167;0.78680397
13;9.753784808;8.872259704;8.844520583;9.347160387;8.849117458;8.715840027;0.02416233;0.04855463;0.00066998;0.22649777;0.00285816;0.49934198;-8.67E-19;0.00781381;0.46511202
87;8.420639821;7.464003022;7.429077848;7.877482666;7.436520895;7.344387866;0.02001321;0.05142166;0.00067214;0.25050822;0.00228743;0.50099584;0.00023594;0.00648266;0.89460716
60;10.02501301;8.84659512;8.800079614;9.337407622;8.81185277;8.728577338;0.01907626;0.05234423;0.00069379;0.26858679;0.00229679;0.51756945;0.00099723;0.00181428;0.55525128
32;7.377650046;6.06124848;6.031725205;6.653183508;6.035716143;5.832998856;0.0172151;0.05394052;0.00068523;0.27133772;0.00289439;0.56184671;0.00060374;0.02474192;0.75034034
52;1.173360491;1.119103967;1.191293132;1.115690646;1.118358108;1.118358108;0.45819075;0.00485662;0.2395206;2.52121581;0.40921005;0.59399889;0.4092089;0;0.59401732
14;1.383365923;1.373960982;1.394669699;1.37236183;1.373960555;1.349797983;0.57011815;0.0117945;0.95062917;-0.6315042;0.5734185;1.01582218;0.00062725;0.22740777;1.06475718
67;0.639977622;0.632230601;0.810477134;0.629241232;0.631666482;0.631664542;1.64651342;0.00638735;1.06450153;3.42002671;1.69309017;3.43131184;1.69790041;0.0196945;3.90259499
73;0.388185251;0.388185251;0.532904984;0.366271955;0.388185467;0.388185255;9998910681;0.05246684;2.33491136;10;507067.311;9.99999635;2984.92455;4636.15032;-10
4;0.444797767;0.444797767;0.593787375;0.440411976;0.422772147;0.432118011;9996884031;0.01660174;3.28408621;10;1.374463;10;0.0008527;44.981403;-10
16;0.500220653;0.499306306;0.593807696;0.499679606;0.480854731;0.480854731;1.91677347;0.0144103;12.7418229;-8.5873838;1.48960256;10;1.48960378;0;10
39;0.549638408;0.549638408;0.843657516;0.549045249;0.549638451;0.54963841;9992765934;0.01464367;15.8077491;10;575004.983;10;1687.23568;2020.18572;-10
28;0.70120268;0.70120268;0.807755845;0.685840492;0.598383209;0.701202683;9997745223;0.0438391;3.89866797;10;0.66188131;10;1810.92633;4228.54664;-10
3;1.943570529;1.943570529;1.035763799;1.866166434;0.751319222;0.751319222;9999096805;0.10094487;1.68813883;10;0.28685286;10;0.28685284;0;10
40;0.796809884;0.796809884;0.836584962;0.717049625;0.796810067;0.796809886;9998687783;0.05968719;1.36551422;10;652371.791;10;4943.70726;5219.28341;10
71;0.83830648;0.83830648;1.101201307;0.7789242;0.838306497;0.838306481;9996337223;0.02418239;1.78707842;10;3948331.26;10;5381.54031;5299.36752;10
34;0.956826656;0.956826656;1.289244638;0.933297933;0.956826687;0.95682666;9998641308;0.0005583;0.88617179;10;1727339.17;10;2297.74616;2510.10286;-10
2;1.649824961;1.649824961;1.47036191;1.562632766;1.037509903;1.649824968;9998980193;0.06857533;2.01451698;10;0.45474216;10;3544.08452;3566.32294;-10
27;2.02369913;2.02369913;1.501776481;1.904017125;1.083922515;2.023699139;9999480999;0.08734234;1.00224298;10;0.35939352;10;3522.50045;3546.02543;-10
20;1.202246682;1.202246682;1.335003984;1.188073972;1.122747189;1.202246686;9999176414;0.02770082;2.84366707;10;0.89832098;10;2279.03661;2712.83791;-10
83;1.253005789;1.253005789;1.342107926;1.192903891;1.253006045;1.253005792;9999540791;0.05820677;2.40887519;10;887383.888;10;6648.13829;4745.18855;-10
12;1.321426315;1.321426315;1.455837798;1.1619827;1.321426618;1.321426319;9999842677;0.0698385;1.05801808;10;911776.146;10;5334.09095;6160.02057;-10
82;2.201363266;2.201363266;1.770159741;2.048349068;1.504905297;1.504905297;9999277781;0.06832306;0.58438274;10;0.40793798;10;0.40793788;0;10
70;1.877049817;1.877049817;2.248982614;1.770756162;1.877049819;1.877049823;9998514065;0.0369929;0.86488515;10;76977638.4;10;2948.84471;3690.09653;-10
9;2.481191449;2.475867498;2.566238708;2.476349143;2.457323957;2.457323957;0.90122557;0.01582976;2.82697353;-1.9324495;1.37487318;10;1.3748733;0;10
19;4.526811151;4.526811151;3.628080335;4.44344677;3.170947891;4.526811165;9998602090;0.11744122;1.80958152;10;0.28179972;10;3038.92861;3166.61255;-10
66;3.783836222;3.783836222;3.470998045;3.771681802;3.280074867;3.783836235;9993316000;0.06917788;5.82305869;10;0.46835323;10;1905.07006;1483.32245;-10
86;3.417139586;3.417139586;4.142801804;3.14655937;3.417140096;3.417139599;9998875610;0.0548183;1.01314442;10;643508.655;10;3195.65645;3321.51347;-10
46;14.66449834;14.66449834;3.864380853;14.65804458;3.782584939;3.897289571;9997216003;0.5365971;13.3033077;10;0.02859524;10;0.00080948;0;3.6012428
79;5.775831584;5.775831584;6.637733762;5.089701367;5.775832108;5.775831606;9999567280;0.06778601;0.50515836;10;880411.964;10;3082.89537;3033.49314;-10
57;15.01111957;15.01111957;6.045883045;14.90086594;5.857982809;5.921466517;9999136493;0.24282089;1.62229172;10;0.11669811;10;0.00563779;0;2.86242148
51;9.622603964;9.622603964;6.488295464;9.60278566;6.293385309;6.293385309;9998683511;0.13663542;4.81987191;10;0.21546122;10;0.21546311;0;10
53;11.75754995;11.75754995;7.060248478;11.63513065;6.572574847;6.572574847;9998830116;0.21156693;1.69798389;10;0.12779911;10;0.12779897;0;10
88;12.07339147;12.07339147;7.423376004;11.97321774;7.112861184;7.112861181;9999287504;0.21131871;1.77212631;10;0.12630877;10;0.12630475;0;10
33;7.791420784;7.791420784;8.643647129;7.43557616;7.791421498;7.791420818;9998604740;0.0658754;0.84976085;10;742931.551;10;2619.46616;2549.3124;-10
78;8.687275789;8.687275789;8.661558429;8.687275844;8.297147672;8.687275817;9996226202;0.04848304;556786.808;10;0.57804999;10;1377.43714;1236.77046;-10
38;12.4946338;12.4946338;8.974358888;12.35627542;8.707145023;8.707145023;9997391060;0.16698141;2.07896369;10;0.18679485;10;0.18679314;0;10
85;13.86803741;13.86803741;9.367990155;13.77072055;9.217328416;9.348091813;9993392316;0.22576368;2.31550884;10;0.11239924;10;0.00380031;0;2.46950074
