"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"11","332","311","311","321","3","3","6","0.077","0.038","0.115","0.769","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"12","22a2a","113","322","322","19","15","15","0.063","0.286","0.079","0.238","0.063","0.27","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"13","322b","223","213","222","23","20","14","0","0.095","0.452","0.143","0.31","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"14","22a1","333","122","222","27","13","14","0.058","0.198","0.07","0.163","0.174","0.174","0.163","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"15","22b2b","322","333","132","15","27","16","0.081","0.258","0.081","0.226","0.113","0.242","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"16","332","323","223","223","24","23","23","0.267","0.267","0.2","0.267","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"17","211","313","232","131","21","17","7","0.188","0.145","0.188","0.174","0.116","0.058","0.072","0.058","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"18","322a","232","312","312","17","12","12","0.364","0.218","0.091","0.255","0.073","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"19","22b2b","223","121","113","23","4","19","0.232","0.089","0.232","0.107","0.107","0.232","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"20","333","232","232","232","17","17","17","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"21","22a2a","331","331","112","9","9","10","0.236","0.091","0.255","0.091","0.236","0.091","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"22","111","223","111","332","23","1","18","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"23","311","113","333","223","19","27","23","0.444","0.089","0.089","0.089","0.111","0.089","0.089","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"24","311","332","122","212","18","13","11","0.455","0.091","0.091","0.091","0.091","0.091","0.091","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"25","332","222","222","122","14","14","13","0.345","0.345","0.224","0.086","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"26","22a2a","131","131","213","7","7","20","0.191","0.074","0.294","0.074","0.294","0.074","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"27","322a","132","322","322","16","15","15","0.333","0.233","0.1","0.233","0.1","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"28","322a","131","131","122","7","7","13","0.345","0.241","0.086","0.241","0.086","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"29","333","131","131","131","7","7","7","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"30","22a1","132","122","311","16","13","3","0.278","0.093","0.259","0.093","0.093","0.093","0.093","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"31","22a2b","132","111","311","16","1","3","0.234","0.078","0.25","0.094","0.25","0.094","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"32","22a2a","231","122","122","8","13","13","0.258","0.065","0.274","0.065","0.274","0.065","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"33","322b","231","331","321","8","9","6","0.333","0.267","0.067","0.267","0.067","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"34","322b","122","112","322","13","10","15","0.322","0.271","0.085","0.254","0.068","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"35","22a1","313","232","222","21","17","14","0.25","0.077","0.308","0.077","0.096","0.096","0.096","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"36","22b1","313","233","132","21","26","16","0.308","0.096","0.308","0.058","0.058","0.077","0.096","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"37","332","122","122","132","13","13","16","0.351","0.333","0.246","0.07","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"38","22a1","322","321","133","15","6","25","0.294","0.078","0.294","0.078","0.098","0.078","0.078","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"39","333","131","131","131","7","7","7","0.322","0.339","0.339","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"40","322b","123","113","313","22","19","21","0.311","0.262","0.082","0.262","0.082","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"41","333","112","112","112","10","10","10","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"42","321","311","112","113","3","10","19","0.385","0.077","0.269","0.077","0.096","0.096","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"43","331","231","131","331","8","7","9","0.358","0.358","0.094","0.094","0.094","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
