"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"341","321","233","132","332","26","16","18","0.2","0.2","0.2","0.2","0.2","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"342","22b1","112","123","232","10","22","17","0","0.2","0","0.2","0.2","0.2","0.2","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"343","22a2a","223","132","132","23","16","16","0.174","0.233","0.186","0","0.174","0.233","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"344","22a2a","333","111","111","27","1","1","0.042","0.278","0.069","0.278","0.056","0.278","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"345","322a","133","323","323","25","24","24","0","0.082","0.408","0.102","0.408","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"346","22a2a","332","332","223","18","18","23","0.212","0.091","0.303","0.091","0.212","0.091","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"347","311","312","132","222","12","16","14","0.4","0.1","0.1","0.1","0.1","0.1","0.1","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"348","333","313","313","313","21","21","21","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"349","331","132","232","332","16","17","18","0.364","0.364","0.091","0.091","0.091","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"350","322b","323","223","222","24","23","14","0.308","0.308","0.077","0.231","0.077","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"351","333","233","233","233","26","26","26","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"352","211","311","213","132","3","20","16","0.286","0.102","0.102","0.102","0.102","0.102","0.102","0.102","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"353","22a2b","123","323","311","22","24","3","0.222","0.079","0.222","0.079","0.317","0.079","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"354","22b1","112","133","311","10","25","3","0.308","0.077","0.308","0.077","0.077","0.077","0.077","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"355","322b","231","221","223","8","5","23","0.333","0.233","0.1","0.233","0.1","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"356","22a2a","333","121","121","27","4","4","0.317","0.079","0.222","0.079","0.222","0.079","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"357","322a","212","221","221","11","5","5","0.345","0.241","0.086","0.241","0.086","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"358","22a2b","333","323","121","27","24","4","0.246","0.088","0.246","0.088","0.246","0.088","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"359","211","313","122","221","21","13","5","0.364","0.091","0.091","0.091","0.091","0.091","0.091","0.091","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"360","22a2a","211","323","323","2","24","24","0.231","0.077","0.308","0.077","0.231","0.077","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"361","111","221","113","332","5","19","18","0.179","0.06","0.167","0.167","0.095","0.06","0.095","0.083","0.095","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"362","322b","222","221","122","14","5","13","0.233","0.217","0.15","0.167","0.233","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"363","322b","232","222","132","17","14","16","0.298","0.211","0.123","0.246","0.123","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"364","22a1","222","131","133","14","7","25","0.184","0.105","0.237","0.079","0.132","0.105","0.158","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"365","22a2a","123","123","211","22","22","2","0.188","0.116","0.203","0.188","0.188","0.116","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"366","333","131","131","131","7","7","7","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"367","332","212","222","222","11","14","14","0.345","0.345","0.138","0.172","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"368","322a","211","233","233","2","26","26","0.333","0.233","0.1","0.217","0.117","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"369","321","232","312","322","17","12","15","0.323","0.113","0.194","0.081","0.177","0.113","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"370","22a2b","321","323","111","6","24","1","0.259","0.13","0.222","0.093","0.111","0.185","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"371","111","221","112","333","5","10","27","0.098","0.098","0.122","0.122","0.098","0.146","0.098","0.122","0.098","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"372","22a2b","131","113","213","7","19","20","0.167","0.143","0.119","0.214","0.19","0.167","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"373","22a2b","211","213","321","2","20","6","0.224","0.172","0.138","0.207","0.121","0.138","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"374","22a2a","211","211","133","2","2","25","0.206","0.19","0.159","0.127","0.111","0.206","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"375","22a1","323","112","212","24","10","11","0.194","0.119","0.09","0.104","0.194","0.119","0.179","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"376","22a1","323","123","231","24","22","8","0.08","0.227","0.08","0.227","0.08","0.08","0.227","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"377","22a1","133","322","222","25","15","14","0.062","0.25","0.062","0.25","0.062","0.062","0.25","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"378","321","111","112","133","1","10","25","0","0.056","0.236","0.236","0.236","0.236","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"379","333","222","222","222","14","14","14","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"380","22b2b","233","331","313","26","9","21","0.1","0.233","0.1","0.233","0.233","0.1","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"381","22a2a","133","322","322","25","15","15","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"382","322a","131","131","122","7","7","13","0","0","0.5","0","0.5","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"383","321","232","221","211","17","5","2","0","0.236","0.236","0.236","0.236","0.056","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"384","211","321","233","113","6","26","19","0.026","0.139","0.139","0.139","0.139","0.139","0.139","0.139","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"385","22a2a","321","321","132","6","6","16","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"386","22a2a","232","313","313","17","21","21","0","0.339","0","0.322","0","0.339","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"387","332","232","232","233","17","17","26","0","0","0","1","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"388","22b1","211","112","332","2","10","18","0.045","0.182","0.045","0.182","0.182","0.182","0.182","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"389","321","111","213","313","1","20","21","0","0.262","0.215","0.215","0.262","0.046","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"390","333","111","111","111","1","1","1","0","0","1","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"391","322b","332","312","313","18","12","21","0","0","0.476","0.048","0.476","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"392","321","313","123","133","21","22","25","0","0.25","0.25","0.25","0.25","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"393","22a2a","312","312","231","12","12","8","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"394","211","311","131","222","3","7","14","0","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"395","111","331","222","113","9","14","19","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"396","22b2b","331","233","221","9","26","5","0","0.333","0","0.333","0.333","0","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"397","22b1","221","111","313","5","1","21","0","0.2","0","0.2","0.2","0.2","0.2","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"398","332","213","212","212","20","11","11","0","0","1","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"399","321","221","222","323","5","14","24","0","0","0.25","0.25","0.25","0.25","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"400","333","232","232","232","17","17","17","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"401","22a2a","222","131","131","14","7","7","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"402","321","222","231","211","14","8","2","0","0.333","0","0.333","0.333","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"403","321","312","332","323","12","18","24","0","0.25","0.25","0.25","0","0.25","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"404","111","112","233","321","10","26","6","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"405","211","311","123","233","3","22","26","0","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"406","322b","212","211","111","11","2","1","0.364","0.145","0.273","0.109","0.109","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"407","333","122","122","122","13","13","13","0.129","0.645","0.226","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"408","22a2a","211","211","133","2","2","25","0.188","0.021","0.354","0.104","0.25","0.083","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"409","22b1","331","312","113","9","12","19","0.125","0","0.425","0.125","0.15","0.125","0.05","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"410","22a2b","333","132","313","27","16","21","0.196","0.089","0.196","0.071","0.107","0.339","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"411","211","331","113","223","9","19","23","0.164","0.123","0.096","0.233","0.068","0.096","0.164","0.055","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"412","333","111","111","111","1","1","1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"413","22a2b","311","321","123","3","6","22","0.191","0.118","0.074","0.132","0.191","0.294","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"414","111","132","313","221","16","21","5","0.038","0.051","0.101","0.089","0.228","0.127","0.114","0.139","0.114","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"415","22b1","222","121","133","14","4","25","0.265","0.088","0.206","0.118","0.118","0.118","0.088","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"416","332","222","212","212","14","11","11","0.317","0.302","0.063","0.317","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"417","22a2a","333","111","111","27","1","1","0.197","0.082","0.279","0.115","0.213","0.115","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"418","22a2b","231","331","323","8","9","24","0.246","0.062","0.2","0.108","0.2","0.185","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"419","331","122","123","121","13","22","4","0.385","0.385","0.077","0.077","0.077","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"420","22b1","132","322","221","16","15","5","0.224","0.143","0.224","0.122","0.102","0.082","0.102","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"421","321","221","223","322","5","23","15","0.241","0.205","0.072","0.12","0.241","0.12","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"422","111","322","133","211","15","25","2","0","0","0.333","0","0","0.333","0","0","0.333","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"423","331","311","331","321","3","9","6","0.333","0.333","0","0.333","0","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"424","322b","213","212","222","20","11","14","0.333","0","0.333","0.333","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"425","333","131","131","131","7","7","7","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"426","333","323","323","323","24","24","24","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"427","332","232","232","233","17","17","26","0.333","0.333","0","0.333","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"428","22a2a","222","131","131","14","7","7","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"429","321","311","331","323","3","9","24","0.333","0.333","0","0","0.333","0","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"430","311","113","212","311","19","11","3","0.333","0","0.333","0","0","0.333","0","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"431","332","333","333","332","27","27","18","0.333","0.333","0","0.333","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"432","22a2a","333","111","111","27","1","1","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"433","22a2b","312","212","331","12","11","9","0","0.333","0","0.333","0.333","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"434","321","112","212","313","10","11","21","0.333","0","0","0.333","0","0.333","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"435","332","313","313","333","21","21","27","0.333","0.333","0","0.333","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"436","333","132","132","132","16","16","16","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"437","322a","311","311","212","3","3","11","0.333","0.333","0","0.333","0","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"438","322a","311","311","322","3","3","15","0.333","0.333","0","0.333","0","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"439","22b1","213","221","112","20","5","10","0","0.333","0.333","0","0","0","0.333","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"440","22a1","131","121","312","7","4","12","0.333","0","0.333","0","0.333","0","0","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"441","332","211","221","221","2","5","5","0.25","0.25","0.25","0.25","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"442","321","231","233","212","8","26","11","0.5","0","0","0","0","0.5","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"443","332","131","131","231","7","7","8","0.333","0.333","0.333","0","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"444","333","131","131","131","7","7","7","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"445","22a2a","222","222","331","14","14","9","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"446","322b","322","312","311","15","12","3","0.25","0.25","0.25","0.25","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"447","321","123","111","131","22","1","7","0.333","0","0","0.333","0","0.333","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"448","321","233","232","211","26","17","2","0.333","0.333","0","0","0.333","0","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"449","22a2a","333","121","121","27","4","4","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"450","22a2a","123","123","311","22","22","3","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"451","22a2a","221","221","312","5","5","12","0.092","0.092","0.185","0.185","0.231","0.215","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"452","111","133","221","312","25","5","12","0.133","0.071","0.051","0.163","0.122","0.061","0.163","0.102","0.133","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"453","22a2a","223","223","112","23","23","10","0.232","0.188","0.203","0.101","0.159","0.116","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"454","22b1","313","111","122","21","1","13","0.056","0.09","0.146","0.169","0.213","0.135","0.191","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"455","22a2b","212","232","131","11","17","7","0.085","0.099","0.225","0.183","0.211","0.197","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"456","22a1","222","113","313","14","19","21","0.169","0.169","0.096","0.06","0.181","0.181","0.145","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"457","321","221","322","122","5","15","13","0.25","0.191","0.206","0.191","0.103","0.059","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"458","321","323","113","133","24","19","25","0.076","0.197","0.197","0.091","0.197","0.242","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"459","322b","132","112","212","16","10","11","0.203","0.271","0.203","0.254","0.068","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"460","22b1","133","111","332","25","1","18","0.088","0.225","0.075","0.1","0.162","0.175","0.175","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
