"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0,0,4.32306370572064,2.40103134762485,0,0,0.000520076300464927,0.412991461637303,0,0,0,0,0
"2",1,0,-9.99992631970616,2.0285149411445,0,0,85255244.077138,-10,0,0,0,0,0
"3",2,0,-9.99992631970616,2.6914787862424,0,0,0.000625485022317886,2.57982847940472,0,0,0,0,0
"4",3,0,-9.99992631970616,9.99992631970616,0,0,482338.940143857,10,0,0,0,0,0
"5",4,0,-9.99992631970616,4.0827103254631,0,0,265205.005978172,10,0,0,0,0,0
"6",5,0,-4.44089209850063e-16,7.31599227427131,0,0,99716.752418739,10,0,0,0,0,0
"7",6,0,9.99992631970616,9.99992631970616,0,0,509390.666570921,10,0,0,0,0,0
"8",7,0,-4.44089209850063e-16,9.76996261670138e-15,0,0,0,-9.26203371298795e-15,0,0,0,0,0
"9",8,0,-9.99992631970616,2.0942902785192,0,0,0.000397429787757199,6.9706199791139,0,0,0,0,0
"10",9,0,-5.46967102487392,2.19896467942745,0,0,0.00052047178022989,0.366230358715705,0,0,0,0,0
"11",10,0,-3.5527136788005e-15,5.39312728468899,0,0,0.622106479409477,-4.41421471449716e-08,0,0,0,0,0
"12",11,0,0.32493586952988,-1.97501531693581,0,0,0.000804835013114722,0.2481450333757,0,0,0,0,0
"13",12,0,-1.50580642395218,2.74581070615446,0,0,2.77555756156289e-17,0.434334239068743,0,0,0,0,0
"14",14,0,1.33226762955019e-15,8.2235182979774,0,0,0.295178847077149,-2.21390930919442e-10,0,0,0,0,0
"15",15,0,-4.44089209850063e-16,-1.33226762955019e-15,0,0,0,2.278400684861e-14,0,0,0,0,0
"16",16,0,-9.99992631970616,1.60972063935651,0,0,561910.467332477,10,0,0,0,0,0
"17",17,0,-9.99992631970616,2.73911312952661,0,0,0.00070190376267029,1.34329062125764,0,0,0,0,0
"18",18,0,-1.35947703159751,0.724662206558878,0,0,715186.831706398,10,0,0,0,0,0
"19",19,0,-3.12130278952879,4.51797684999782,0,0,264069.612678911,-10,0,0,0,0,0
"20",20,0,-0.856961574285766,6.25226612434097,0,0,198119.265582108,-0.387056905814932,0,0,0,0,0
"21",21,0,5.77315972805081e-15,-8.88178419700125e-16,0,0,0,2.33189897536824e-14,0,0,0,0,0
"22",22,0,-0.403534391395492,-0.196999807971395,0,0,37400.9001437375,10,0,0,0,0,0
"23",23,0,-3.15203940637107,-3.7943395003493,0,0,1.33820845999122,10,0,0,0,0,0
"24",24,0,-9.99992631970616,2.85210253483429,0,0,0.000655701786508798,1.20667830061625,0,0,0,0,0
"25",25,0,-4.44089209850063e-16,-1.33226762955019e-15,0,0,0,6.09588990663363e-14,0,0,0,0,0
"26",27,0,-9.99992631970616,2.47203756837714,0,0,0.00064279283151647,1.01457802772368,0,0,0,0,0
"27",28,0,-3.70176670969918,2.62050792906898,0,0,0.000556645568780491,0.475930689126559,0,0,0,0,0
"28",29,0,4.44089209850063e-16,9.99992631970616,0,0,0,5.73423182735223e-14,0,0,0,0,0
"29",30,0,9.27947525704372,2.47019797601328,0,0,0.000995069357285638,2.81662336450935,0,0,0,0,0
"30",31,0,7.99360577730113e-15,4.79616346638068e-14,0,0,0,3.1632282389804e-14,0,0,0,0,0
"31",32,0,-0.248423815646972,2.14874778000143,0,0,0.000500309615282169,0.368593730429642,0,0,0,0,0
"32",33,0,4.44089209850063e-15,2.08675751968514,0,0,0.000686454622151264,0.424007583347957,0,0,0,0,0
