"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"68","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","222","222","331","14","14","9"
"69","0.061","0.061","0.072","0.061","0.061","0.072","0.539","0.072","-1","211","213","132","322","20","16","15"
"70","0.26","0.109","0.26","0.109","0.076","0.076","0.109","-1","-1","22a1","212","213","331","11","20","9"
"71","0.033","0.186","0.298","0.186","0.298","-1","-1","-1","-1","322a","132","111","111","16","1","1"
"72","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","133","311","222","25","3","14"
"73","0.036","0.151","0.128","0.128","0.151","0.128","0.128","0.151","-1","211","113","221","232","19","5","17"
"74","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","212","133","133","11","25","25"
"75","0.01","0.165","0.165","0.165","0.165","0.165","0.165","-1","-1","311","213","123","333","20","22","27"
"76","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","221","221","221","5","5","5"
"77","0.033","0.186","0.298","0.186","0.298","-1","-1","-1","-1","322a","232","232","131","17","17","7"
"78","0.019","0.089","0.246","0.2","0.2","0.246","-1","-1","-1","321","113","213","333","19","20","27"
"79","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","331","112","23","9","10"
"80","0.033","0.186","0.298","0.186","0.298","-1","-1","-1","-1","322a","132","132","123","16","16","22"
"81","0.03","0.03","0.035","0.03","0.03","0.035","0.778","0.035","-1","211","132","312","221","16","12","5"
"82","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","233","233","233","26","26","26"
"83","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","213","213","131","20","20","7"
"84","0.334","0.075","0.053","0.053","0.075","0.334","0.075","-1","-1","22a1","321","212","232","6","11","17"
"85","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","133","133","133","25","25","25"
"86","0.011","0.013","0.013","0.469","0.013","0.469","0.013","-1","-1","22b1","331","232","112","9","17","10"
"87","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","322","131","213","15","7","20"
"88","0.469","0.013","0.011","0.013","0.013","0.469","0.013","-1","-1","22b1","113","323","332","19","24","18"
"89","0.469","0.013","0.011","0.013","0.013","0.469","0.013","-1","-1","22b1","132","113","322","16","19","15"
"90","0.98","0.002","0.002","0.002","0.013","0.002","-1","-1","-1","321","313","323","133","21","24","25"
"91","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","313","313","313","21","21","21"
"92","0.107","0.107","0.153","0.164","0.153","0.164","0.153","-1","-1","22a1","121","221","313","4","5","21"
"93","0.104","0.104","0.122","0.22","0.122","0.104","0.104","0.122","-1","211","221","323","132","5","24","16"
"94","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","321","113","113","6","19","19"
"95","0.361","0.195","0.125","0.195","0.125","-1","-1","-1","-1","322b","221","223","323","5","23","24"
"96","0.104","0.104","0.122","0.22","0.122","0.104","0.104","0.122","-1","211","123","332","231","22","18","8"
"97","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","331","331","112","9","9","10"
"98","0.361","0.195","0.125","0.195","0.125","-1","-1","-1","-1","322b","332","132","322","18","16","15"
"99","0.164","0.153","0.164","0.153","0.107","0.107","0.153","-1","-1","22a1","321","212","213","6","11","20"
"100","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","122","333","211","13","27","2"
"101","0.146","0.168","0.14","0.204","0.14","0.204","-1","-1","-1","22a2b","132","111","332","16","1","18"
"102","0.177","0.185","0.227","0.185","0.227","-1","-1","-1","-1","322b","133","131","331","25","7","9"
"103","0.119","0.119","0.14","0.119","0.119","0.14","0.106","0.14","-1","211","332","111","221","18","1","5"
"104","0.119","0.119","0.14","0.119","0.119","0.14","0.106","0.14","-1","211","233","123","312","26","22","12"
"105","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","131","312","23","7","12"
"106","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","123","123","312","22","22","12"
"107","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","111","223","332","1","23","18"
"108","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","312","312","231","12","12","8"
"109","0.232","0.232","0.307","0.23","-1","-1","-1","-1","-1","332","313","213","213","21","20","20"
"110","0.164","0.161","0.257","0.161","0.257","-1","-1","-1","-1","322a","311","221","221","3","5","5"
"111","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","232","121","121","17","4","4"
"112","0.25","0.25","0.214","0.286","-1","-1","-1","-1","-1","332","212","212","222","11","11","14"
"113","0.2","0.154","0.246","0.154","0.246","-1","-1","-1","-1","322a","213","333","333","20","27","27"
