"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"263","0.29","0.197","0.158","0.197","0.158","-1","-1","-1","-1","322b","213","223","313","20","23","21"
"264","0.29","0.197","0.158","0.197","0.158","-1","-1","-1","-1","322b","331","333","233","9","27","26"
"265","0.11","0.11","0.129","0.173","0.129","0.11","0.11","0.129","-1","211","132","323","221","16","24","5"
"266","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","111","332","23","1","18"
"267","0.31","0.119","0.119","0.146","0.16","0.146","-1","-1","-1","321","233","333","132","26","27","16"
"268","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","131","312","23","7","12"
"269","0.31","0.146","0.119","0.119","0.146","0.16","-1","-1","-1","321","112","121","131","10","4","7"
"270","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","221","112","333","5","10","27"
"271","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","112","112","321","10","10","6"
"272","0.072","0.141","0.323","0.141","0.323","-1","-1","-1","-1","322b","221","211","212","5","2","11"
"273","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","332","223","111","18","23","1"
"274","0.076","0.257","0.076","0.257","0.257","0.076","-1","-1","-1","22b2b","123","213","112","22","20","10"
"275","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","133","311","222","25","3","14"
"276","0.034","0.193","0.193","0.238","0.105","0.238","-1","-1","-1","321","313","323","331","21","24","9"
"277","0.104","0.258","0.104","0.258","0.063","0.213","-1","-1","-1","22a2b","233","123","121","26","22","4"
"278","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","222","222","222","14","14","14"
"279","0.072","0.141","0.323","0.141","0.323","-1","-1","-1","-1","322b","132","232","212","16","17","11"
"280","0.144","0.144","0.305","0.407","-1","-1","-1","-1","-1","332","132","132","112","16","16","10"
"281","0.605","0.074","0.06","0.06","0.074","0.126","-1","-1","-1","321","123","233","213","22","26","20"
"282","0.692","0.051","0.051","0.051","0.051","0.051","0.051","-1","-1","311","333","232","131","27","17","7"
"283","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","331","331","331","9","9","9"
"284","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","222","131","131","14","7","7"
"285","0.692","0.051","0.051","0.051","0.051","0.051","0.051","-1","-1","311","311","323","332","3","24","18"
"286","0.099","0.099","0.141","0.189","0.141","0.189","0.141","-1","-1","22a1","133","311","211","25","3","2"
"287","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","221","112","333","5","10","27"
"288","0.094","0.094","0.11","0.094","0.094","0.11","0.295","0.11","-1","211","311","123","233","3","22","26"
"289","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","322","322","322","15","15","15"
