"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","0.084","0.172","0.084","0.172","0.142","0.172","0.172","-1","-1","22b1","222","123","111","14","22","1"
"2","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","331","123","123","9","22","22"
"3","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","231","322","113","8","15","19"
"4","0.112","0.163","0.28","0.163","0.28","-1","-1","-1","-1","322b","233","133","113","26","25","19"
"5","0.095","0.184","0.129","0.129","0.184","0.095","0.184","-1","-1","22a1","222","311","331","14","3","9"
"6","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","112","323","231","10","24","8"
"7","0.112","0.163","0.28","0.163","0.28","-1","-1","-1","-1","322b","322","321","122","15","6","13"
"8","0.112","0.163","0.28","0.163","0.28","-1","-1","-1","-1","322b","133","113","132","25","19","16"
"9","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","222","222","331","14","14","9"
"10","0.046","0.159","0.159","0.159","0.159","0.159","0.159","-1","-1","311","231","311","121","8","3","4"
"11","0.183","0.183","0.272","0.363","-1","-1","-1","-1","-1","332","311","311","321","3","3","6"
"12","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","113","322","322","19","15","15"
"13","0.112","0.163","0.28","0.163","0.28","-1","-1","-1","-1","322b","223","213","222","23","20","14"
"14","0.129","0.129","0.184","0.095","0.184","0.095","0.184","-1","-1","22a1","333","122","222","27","13","14"
"15","0.11","0.224","0.11","0.224","0.224","0.11","-1","-1","-1","22b2b","322","333","132","15","27","16"
"16","0.317","0.317","0.209","0.157","-1","-1","-1","-1","-1","332","323","223","223","24","23","23"
"17","0.106","0.106","0.124","0.204","0.124","0.106","0.106","0.124","-1","211","313","232","131","21","17","7"
"18","0.385","0.118","0.189","0.118","0.189","-1","-1","-1","-1","322a","232","312","312","17","12","12"
