"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0.427577889389648,0,0,0.741819273080945,0.427577905378715,0.363578816209769,0,0.42757789310636
"2",1,4.10947291453855,0,0,0.606744075765894,4.10947319073993,0.608245842067867,0,4.10947293394986
"3",2,4.5361146537244,0,0,2.06993179955077,4.53611465465962,2.01406719214104,0,4.53611467041065
"4",3,0.0213434023987523,0,0,0.273451860561594,0.0212095057968273,0.0207629292991022,0,0.0207629289227137
"5",4,2.22555637023842,0,0,2.55427834396849,2.22555643987307,2.22555648863823,0,2.22555638006118
"6",6,19.8428818185786,0,0,18.1175955506975,19.8428818406419,18.2604286207513,0,19.8428818898078
"7",7,5.51346030213169,0,0,5.95799668373169,5.51346052634726,5.51346055077337,0,5.51346032783271
"8",8,0.459619827427203,0,0,0.716803981003084,0.459354786702707,0.456832758835062,0,0.456832758835045
"9",9,1.79172664763015,0,0,1.95913471069882,1.77056984835475,1.75277201765569,0,1.73482402912831
"10",10,1.97717844853825,0,0,2.56348655632761,1.97717868695664,1.97717850848812,0,1.97717845738999
"11",11,10.0438405338932,0,0,6.25600390719104,9.03453750861109,6.41444469013695,0,6.38228706366695
"12",12,11.9096460344915,0,0,4.39621235601357,4.39621232735001,3.80404933795214,0,4.59368813776124
"13",13,21.0062649614938,0,0,14.548206931931,14.5482069327656,14.5921214571687,0,14.8166398328889
"14",14,0.51589293474483,0,0,0.566801838196623,0.514322172190156,0.230514405319127,0,0.230514405319201
"15",15,4.18728255788137,0,0,3.31756061046195,4.16745479133676,3.28459621155049,0,3.2717860334614
"16",16,1.43108988162372,0,0,1.31401391009334,1.41480782752517,0.946542807106651,0,0.946542807107985
"17",17,12.8962134622779,0,0,3.98476814618115,3.98476813346513,3.51000451908436,0,4.99206626107616
"18",18,1.50640384099514,0,0,0.581363926298086,1.50381896225126,0.508827600536109,0,0.508827602968858
"19",19,19.6762511188043,0,0,13.2726236660352,19.6751134327688,13.2943537039082,0,12.9413905044944
