workerid,language,enjoyment,gender,age,comments,assess,education
0,english,2,Male,27,,Yes,1
1,English,1,Male,43,Thanks,Yes,3
2,english,1,Female,35,,Yes,3
3,English,1,Male,25,,Yes,1
4,English,1,Male,24,,Yes,2
5,english,1,Male,33,N/A,Yes,2
6,english,2,Female,36,,Yes,3
7,enlish,1,Male,29,,Yes,2
8,English,2,Male,33,No comments,Yes,3
