workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response
0,NA,mutual_understanding,212,121,231,2sameNANA,14451,2,6,NA,same,blue,0.5
0,NA,mutual_understanding,113,331,133,2diff1NA,218570,2,7,1,diff,polka-dotted,0.5
0,NA,mutual_understanding,131,212,222,2diff2NA,33760,2,8,2,diff,circle,0.5
0,1,mutual_understanding,222,221,123,3diff11,141270,3,9,1,diff,striped,0.5
0,NA,mutual_understanding,133,212,221,1sameNANA,207310,1,10,NA,same,striped,0.5
0,NA,mutual_understanding,123,121,322,1sameNANA,142430,1,11,NA,same,square,0.5
0,NA,mutual_understanding,332,312,122,1sameNANA,75730,1,12,NA,same,cloud,0.5
0,2,mutual_understanding,321,123,121,3diff22,134311,3,13,2,diff,striped,0.5
0,2,mutual_understanding,322,223,123,3diff12,176440,3,14,1,diff,striped,0.5
0,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,15,NA,same,square,0.5
0,NA,mutual_understanding,232,212,211,3sameNANA,60600,3,16,NA,same,circle,0.5
0,NA,mutual_understanding,311,332,322,3sameNANA,77331,3,17,NA,same,square,0.5
0,NA,mutual_understanding,312,111,113,3sameNANA,87172,3,18,NA,same,solid,0.5
0,1,mutual_understanding,331,321,322,3diff21,39760,3,19,2,diff,square,0.5
0,NA,mutual_understanding,122,223,233,2sameNANA,254361,2,20,NA,same,circle,0.5
1,2,mutual_understanding,133,112,111,3diff12,206002,3,6,1,diff,cloud,0.15
1,2,mutual_understanding,313,312,311,3diff22,119702,3,7,2,diff,square,0.5
1,NA,mutual_understanding,322,122,232,3sameNANA,66382,3,8,NA,same,red,0.7
1,NA,mutual_understanding,313,213,211,2diff2NA,131201,2,9,2,diff,circle,0.8
1,NA,mutual_understanding,123,121,322,1sameNANA,142430,1,10,NA,same,square,1
1,NA,mutual_understanding,322,232,131,2sameNANA,65710,2,11,NA,same,polka-dotted,0.8
1,NA,mutual_understanding,221,321,331,3sameNANA,7082,3,12,NA,same,blue,0.75
1,1,mutual_understanding,221,121,123,3diff21,133970,3,13,2,diff,striped,0.5
1,1,mutual_understanding,231,221,212,3diff11,14560,3,14,1,diff,circle,0.6
1,NA,mutual_understanding,232,111,311,2sameNANA,56141,2,15,NA,same,solid,0.65
1,NA,mutual_understanding,333,111,312,2sameNANA,265541,2,16,NA,same,solid,0.85
1,NA,mutual_understanding,322,132,231,1sameNANA,55320,1,17,NA,same,blue,1
1,NA,mutual_understanding,113,223,232,2diff1NA,170901,2,18,1,diff,circle,0.6
1,NA,mutual_understanding,132,231,323,1sameNANA,188380,1,19,NA,same,green,1
1,NA,mutual_understanding,133,122,112,3sameNANA,209900,3,20,NA,same,cloud,0.65
2,NA,mutual_understanding,311,211,121,3sameNANA,382,3,6,NA,same,blue,0.2
2,2,mutual_understanding,121,311,331,3diff12,6181,3,7,1,diff,blue,0
2,NA,mutual_understanding,333,323,221,1sameNANA,285700,1,8,NA,same,circle,0.5
2,NA,mutual_understanding,333,111,312,2sameNANA,265541,2,9,NA,same,solid,0.75
2,1,mutual_understanding,233,221,212,3diff11,234932,3,10,1,diff,circle,0.4
2,2,mutual_understanding,321,123,121,3diff22,134311,3,11,2,diff,striped,0.5
2,1,mutual_understanding,111,221,231,3diff21,4181,3,12,2,diff,blue,0.1
2,NA,mutual_understanding,332,312,222,1sameNANA,76930,1,13,NA,same,circle,0.7
2,NA,mutual_understanding,231,221,223,3sameNANA,156562,3,14,NA,same,circle,0.75
2,NA,mutual_understanding,323,331,132,2sameNANA,188441,2,15,NA,same,polka-dotted,0.8
2,NA,mutual_understanding,222,331,131,2diff2NA,32011,2,16,2,diff,polka-dotted,0.3
2,NA,mutual_understanding,212,311,313,3sameNANA,118772,3,17,NA,same,solid,0.9
2,NA,mutual_understanding,313,222,321,2sameNANA,122310,2,18,NA,same,striped,0.85
2,NA,mutual_understanding,132,221,122,2diff1NA,52540,2,19,1,diff,striped,0.05
2,NA,mutual_understanding,121,231,232,1sameNANA,58480,1,20,NA,same,red,0.9
3,1,mutual_understanding,322,312,333,3diff11,270261,3,6,1,diff,square,0.15
3,NA,mutual_understanding,123,311,331,2sameNANA,136031,2,7,NA,same,square,0.5
3,NA,mutual_understanding,333,112,222,1sameNANA,268730,1,8,NA,same,circle,1
