"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","objectNames.1","objectNames.2","objectNames.3","objectNames.4","objectNames.5","objectNames.6","objectNames.7","objectNames.8","objectNames.9"
"34", 1, 2, 7,"322b",3,2,1,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,dotted,blue
"35", 1, 2, 8,"322b",3,2,1,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,dotted,blue
"36", 1, 2, 9,"321",3,2,1,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,dotted,blue
"37", 1, 2,10,"322b",2,1,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,solid,red
"38", 1, 2,11,"322b",2,1,3,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,solid,red
"39", 1, 2,12,"321",2,1,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,solid,red
"40", 1, 2,13,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,striped,red
"41", 1, 2,14,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,striped,red
"42", 1, 2,15,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,striped,red
"43", 1, 2,16,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,dotted,red
"44", 1, 2,17,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,dotted,red
"45", 1, 2,18,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,dotted,red
"46", 1, 2,19,"322b",2,1,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,solid,green
"47", 1, 2,20,"322b",2,1,3,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,solid,green
"48", 1, 2,21,"321",2,1,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,solid,green
"49", 1, 2,22,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,striped,green
"50", 1, 2,23,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,striped,green
"51", 1, 2,24,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,striped,green
"52", 1, 2,25,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,cloud,dotted,green
"53", 1, 2,26,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,circle,solid,blue,circle,dotted,green
"54", 1, 2,27,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,solid,blue,square,dotted,green
"55", 1, 3, 1,"332",3,2,1,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,solid,blue
"56", 1, 3, 2,"331",3,2,1,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,solid,blue
"57", 1, 3, 3,"332",3,2,1,1,3,2,NA,cloud,solid,blue,square,solid,blue,square,solid,blue
"58", 1, 3, 4,"322b",3,2,1,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,striped,blue
"59", 1, 3, 5,"321",3,2,1,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,striped,blue
"60", 1, 3, 6,"322b",3,2,1,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,striped,blue
"61", 1, 3, 7,"322b",3,2,1,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,dotted,blue
"62", 1, 3, 8,"321",3,2,1,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,dotted,blue
"63", 1, 3, 9,"322b",3,2,1,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,dotted,blue
"64", 1, 3,10,"322b",2,1,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,solid,red
"65", 1, 3,11,"321",2,1,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,solid,red
"66", 1, 3,12,"322b",2,1,3,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,solid,red
"67", 1, 3,13,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,striped,red
"68", 1, 3,14,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,striped,red
"69", 1, 3,15,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,striped,red
"70", 1, 3,16,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,dotted,red
