workerid,language,enjoyment,gender,age,comments,assess,education
0,English,2,Female,35,,Yes,2
1,Russian,2,Female,22,,Yes,3
2,"English, Thai",1,Male,24,,Yes,2
3,English,1,Female,30,,Yes,2
4,english,2,Male,22,Great study,Yes,3
5,English,2,Male,28,Thank you. Cool task.,Yes,1
6,english,0,Female,58,,Yes,2
7,English,1,Female,51,I am pretty certain I understood how to do this hit. I did my very best.,Yes,2
8,English,2,Female,38,fun,Yes,3
