workerid,response6,response4,response5,response2,response3,response1,property1,property2,obj3,obj2,slide_number,condition,trial_type,target,utterance,item,pref1,pref2,pref3,pref4,pref5,pref6
0,0,0.2,0.95,0.05,0.95,0.05,texture,color,312,332,3,1/1,multi_slider,323,green,226,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.95,0.05,0,0,0.05,1,shape,texture,131,121,4,1/1,multi_slider,311,solid,223,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0,0,0.9,0,0,1,texture,color,232,232,5,1/3,multi_slider,212,solid,177,solid things,striped things,polka-dotted things,blue things,red things,green things
0,0.95,0.05,0,0,0.05,0.95,shape,texture,221,311,6,1/1,multi_slider,131,blue,208,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.05,0.25,0,0,0.95,0.05,texture,color,131,131,7,1/1,multi_slider,113,cloud,236,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0,0.95,0,0,0,0.95,shape,texture,331,211,8,1/2,multi_slider,111,cloud,69,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.95,0.05,0.05,0.05,0,0.9,texture,color,131,111,9,1/3,multi_slider,121,striped,184,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.9,0,0.1,0,0.95,0,shape,texture,231,331,10,2/3,multi_slider,331,square,10,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0.8,0.1,0.05,0.05,0.95,0.05,texture,color,333,333,11,3/3,multi_slider,333,square,296,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.05,0.05,0.9,0.05,0.05,0.9,shape,color,213,211,12,1/1,multi_slider,112,red,234,clouds,circles,squares,blue things,red things,green things
0,0.05,0.95,0.05,1,0.05,0.05,texture,color,123,123,13,1/1,multi_slider,112,red,247,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.05,0.9,0,0.05,0,0.95,shape,color,211,211,14,1/3,multi_slider,111,solid,173,clouds,circles,squares,blue things,red things,green things
0,0.05,0.95,0.05,0.95,0.05,0.05,color,shape,212,211,15,2/3,multi_slider,211,circle,3,clouds,circles,squares,blue things,red things,green things
0,0.05,0.05,0.9,0.05,0,0.95,shape,color,132,331,16,2/2,multi_slider,132,polka-dotted,140,clouds,circles,squares,blue things,red things,green things
0,0.9,0,0.05,0.1,0.95,0.05,color,texture,332,333,17,2/3,multi_slider,333,square,20,blue things,red things,green things,solid things,striped things,polka-dotted things
