workerid,language,enjoyment,gender,age,comments,assess,education
0,English,1,Male,38,,Yes,3
1,,1,Male,48,,Yes,2
2,English,1,Male,39,,Yes,1
3,English,1,Female,37,n/a,Yes,3
4,English,1,Male,34,,Yes,3
5,english,2,Female,24,,Yes,3
6,English,1,Male,18,,Yes,2
7,English,0,Male,32,,Yes,2
8,English,2,Male,27,I hope my input helps your research! Thank you!,Yes,1
