"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.580991175276732,0.402597672930956,0.573277717308401,0.36507975773816,0.563846415875966,0.402597672508939,0.573090403564969,0.402597672563077,0.571821664335065,0.402597672528106,0.571941631246902,0.402597672612991,0.568608307251188,0.402597672524669,0.576941617005285,0.425685628665388,0.573277739794944,0.425685610367355,0.580991175276724,0.402597672930951,0.573090403564969,0.402597672563077,0.571421824542266,0.402597672568584,0.571821664335065,0.402597672528106,0.576941615426179,0.393939692072094,0.569713011832745,0.402597672525875
"2",0.897020877432859,0.833331846164328,0.897020877432859,0.833331846164328,0.926664499303545,0.833336844603177,0.897024659862907,0.916657803489907,0.890156204264993,0.833331384363683,0.939043189269437,0.833332544299995,0.903079171307742,0.874996097108012,0.901267813455797,0.83333009169232,0.903078409775117,0.833331870777127,0.897020877432861,0.833331846164318,0.903489375117519,0.833334386710434,0.897020877432857,0.833331846164336,0.897020877432857,0.833331846164336,0.903078160238011,0.722221402274577,0.897020934411483,0.791665449043851
"3",0.766007782176923,0.736393746402385,0.769790087757328,0.736393759003895,0.739965759466883,0.736393691998136,0.752928294910005,0.736393734912249,0.789060844578495,0.736393832906745,0.752928290324248,0.897616161205864,0.752928237844331,0.753570575899973,0.752928303058757,0.70079300346537,0.739790367044471,0.708332595264612,0.721392033062064,0.736393745302258,0.766007782176923,0.736393746402385,0.739790438116985,0.692459584082299,0.739965759466878,0.736393691998129,0.739790438116988,0.692459584082278,0.78906084457311,0.736393832896417
"4",0.777381984063709,0.490968811661648,0.733516236868729,0.490968824892095,0.788726425551938,0.543513838302357,0.777606903728323,0.49096881143297,0.733516236868729,0.490968824892095,0.774977589818434,0.543513841793392,0.803922650052035,0.490969222473143,0.803922650052035,0.490969222473143,0.774977591573685,0.490968825994374,0.785125642250101,0.490968830485921,0.770544735158225,0.539682433560273,0.766358144258824,0.337165154181249,0.759185976390112,0.490968980820313,0.759185976390112,0.490968980820313,0.754061351772098,0.490968901215555
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",0.681335180483619,0.460176594458806,0.682545068156256,0.460176596133386,0.673852454082518,0.460176593612233,0.660322923372203,0.421374662801312,0.642027442548129,0.460176270124364,0.682545349174627,0.491887346529301,0.66890875327464,0.459149287875206,0.668908759718645,0.460176610796103,0.684196335915885,0.460176597462856,0.676814411199437,0.46017659207572,0.673852453878805,0.471001294606444,0.684196335915885,0.460176597462856,0.692153124967451,0.460176059909685,0.655726233966151,0.460176590572642,0.692153124964084,0.460176059914048
"7",0.744046779583123,0.740739824453183,0.778910485867591,0.78787764104114,0.825395563220254,0.787877640214639,0.684981137796129,0.833331733988403,0.760316508477609,0.787877640569237,0.730159302137643,0.799999358121849,0.760316483517996,0.799998802639279,0.707482358124597,0.78787764234785,0.71088375205005,0.787877651226432,0.744046755259733,0.76666563025237,0.684981137796129,0.833331733988403,0.744046484372666,0.833331943900735,0.744046779583112,0.740739824453133,0.825395563220254,0.787877640214639,0.684981137796129,0.833331733988403
"8",0.795358205947486,0.648249426484972,0.811638006922174,0.645433950793861,0.77426158599761,0.648249063679875,0.744575015043054,0.648249424939981,0.736638555895228,0.648249425652643,0.811638006922174,0.645433950793861,0.760744020148799,0.648250032811845,0.795358200795834,0.679740887367448,0.774261305943012,0.586376179614526,0.77027478374124,0.66146145259582,0.736638555895224,0.648249425652662,0.774261374052956,0.651564127482234,0.795358205947492,0.648249426484937,0.774261305943012,0.586376179614526,0.790833355940671,0.646407751280113
"9",0.688805268414917,0.54516695931017,0.698256429456776,0.545166939330442,0.685492211146811,0.545166941494788,0.714338237717954,0.545166941824271,0.692904439582631,0.502877122856318,0.71433823771795,0.545166941824294,0.668872020605132,0.545166966874006,0.692904440432753,0.605690690519283,0.680932421212604,0.545166942571797,0.693096550439116,0.555608808078284,0.70305716770766,0.571646083677577,0.668872020605132,0.545166966874006,0.693096550439116,0.555608808078284,0.679373512682659,0.534145908392971,0.692904433481437,0.504617330214018
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
